scrip,company,headline,summary,published_date,source,url
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Bajaj Holdings & Investment Ltd Sees Significant Open Interest Surge Amid Mixed Price Action - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxQVjd5SFhPVzNUTXdQTE5fb3pLb3kybU9aUHpwY3piU1FqcnBqMVYxZmN5eHVLQnR2SEpieU9QRFlVV3Fkek1aazRncjBoSHBFTHJwWjV3SGIyVkVZdklwbnU1Ml9NcHVRZEREbFltODAxbEtUb2w1UVF3dmxhcGdEcl9DWXIxZ2UxVXVoNzV3NV9sVUdTU3N0OFRQRzE0QXcyV3VGSERuQzJHQTh5c05qMFo1ejRGSmRpM1ZaQmlXejJteGpwTFBiRlVlUFZkU3lGYUxlOUFZbDRndGpKNHZuUE5n?oc=5"" target=""_blank"">Bajaj Holdings & Investment Ltd Sees Significant Open Interest Surge Amid Mixed Price Action</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-25 09:38:49,Markets Mojo,https://news.google.com/rss/articles/CBMi4gFBVV95cUxQVjd5SFhPVzNUTXdQTE5fb3pLb3kybU9aUHpwY3piU1FqcnBqMVYxZmN5eHVLQnR2SEpieU9QRFlVV3Fkek1aazRncjBoSHBFTHJwWjV3SGIyVkVZdklwbnU1Ml9NcHVRZEREbFltODAxbEtUb2w1UVF3dmxhcGdEcl9DWXIxZ2UxVXVoNzV3NV9sVUdTU3N0OFRQRzE0QXcyV3VGSERuQzJHQTh5c05qMFo1ejRGSmRpM1ZaQmlXejJteGpwTFBiRlVlUFZkU3lGYUxlOUFZbDRndGpKNHZuUE5n?oc=5
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Bajaj Holdings & Investment Ltd Q3 Results - Mint,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxNM2JGQWZlb05QZ2h4dWJuWFBLMXF0QWVTd2FHaG10ZFlVZzRBX0dObDdOYmJKd1ZWbkxqekJBUjdnQ2NiWGNoT0tfR1ZEdktuQzh1MEVVRGktaEVpMUg3TXdkZEh5T2V1aE1xSG9KS2FXVy1EcTBiQ2lRY0NRdXY4LWk0OGU3QnNaMnlpYXMwZGE0elBxbUtWVU1n?oc=5"" target=""_blank"">Bajaj Holdings & Investment Ltd Q3 Results</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",2025-12-22 19:21:17,Mint,https://news.google.com/rss/articles/CBMimgFBVV95cUxNM2JGQWZlb05QZ2h4dWJuWFBLMXF0QWVTd2FHaG10ZFlVZzRBX0dObDdOYmJKd1ZWbkxqekJBUjdnQ2NiWGNoT0tfR1ZEdktuQzh1MEVVRGktaEVpMUg3TXdkZEh5T2V1aE1xSG9KS2FXVy1EcTBiQ2lRY0NRdXY4LWk0OGU3QnNaMnlpYXMwZGE0elBxbUtWVU1n?oc=5
BAJAJHLDNG,Bajaj Holdings & Investment Limited,"Bajaj Holdings Q3 Results FY26: PAT up 15% to ₹2,016 Cr | CIC Shift, BFS Stake Sale & Insurance Buy - PSU Connect","<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxQS2FwNUt3WHVzcnFwTjZRR1RxZWFpMWlVN0JycGo4NUI2YWJtclZQQWlyZEFsNm94ZEJNNFlNeFZGNThXNktyeGt6aDBVMkFEMUJ2UHNUT2ZkSVhSa2k5WklCamFaTU40MjdhSHc3QlhaRDg1TEtBc2FFRkFweXpvek5XaGFhUGs5cFV2bW9paGNsY0ZlMjk3UVhQa2kyd00?oc=5"" target=""_blank"">Bajaj Holdings Q3 Results FY26: PAT up 15% to ₹2,016 Cr | CIC Shift, BFS Stake Sale & Insurance Buy</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PSU Connect</font>",2026-02-04 08:00:00,PSU Connect,https://news.google.com/rss/articles/CBMinwFBVV95cUxQS2FwNUt3WHVzcnFwTjZRR1RxZWFpMWlVN0JycGo4NUI2YWJtclZQQWlyZEFsNm94ZEJNNFlNeFZGNThXNktyeGt6aDBVMkFEMUJ2UHNUT2ZkSVhSa2k5WklCamFaTU40MjdhSHc3QlhaRDg1TEtBc2FFRkFweXpvek5XaGFhUGs5cFV2bW9paGNsY0ZlMjk3UVhQa2kyd00?oc=5
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Bajaj Holdings & Investment Ltd Sees Sharp Open Interest Surge Amid Mixed Market Signals - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxQOU1vY2RUUjcyMTNtbnQ2UENoYUNKVjFZR084LVlBd2tWYk0tRlJjR3RUUkVXaU95MU1zYnNtUHN0RnpWZDhHdXI2T1E5aS1EUFhWM1NUcGxESkRmQmdsMU5wclYzeHM2eUNGQXJnMi1NVE5HOFBLMDlrQ0FjMXFfTllrbUxhRUVKalhucTBvTC1lQWhGU3FVN3ZtUkJ2eTJ1cURNUGZqQ0VJYkx3OVZRRUNfdzc2U3NUM1JSMy1PYzdhenNRZEVTZVNTeUJ3MWxaQVlnN29NVjJrWWc0?oc=5"" target=""_blank"">Bajaj Holdings & Investment Ltd Sees Sharp Open Interest Surge Amid Mixed Market Signals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-25 07:44:56,Markets Mojo,https://news.google.com/rss/articles/CBMi3AFBVV95cUxQOU1vY2RUUjcyMTNtbnQ2UENoYUNKVjFZR084LVlBd2tWYk0tRlJjR3RUUkVXaU95MU1zYnNtUHN0RnpWZDhHdXI2T1E5aS1EUFhWM1NUcGxESkRmQmdsMU5wclYzeHM2eUNGQXJnMi1NVE5HOFBLMDlrQ0FjMXFfTllrbUxhRUVKalhucTBvTC1lQWhGU3FVN3ZtUkJ2eTJ1cURNUGZqQ0VJYkx3OVZRRUNfdzc2U3NUM1JSMy1PYzdhenNRZEVTZVNTeUJ3MWxaQVlnN29NVjJrWWc0?oc=5
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Bajaj Holdings & Investment Ltd Q1 Results - Mint,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxPekJRN25QQjFPdEgzLU1POHI3eU5aS2dlOWZaSEQxcF9xVXhQWHlMbVlmRE44WFBWcXBocG51eUlwNDlFOFdUblI1MVdFbzJ1UnZKVnA1VXFxX2JXeC1FbThGTk5Wb1BsSnFlS2JjUndCenU3b1pHWEVGdFBOX2dHMDlkQTVLb2p1emowT0x1VVMxR09ZVUx3U2lB?oc=5"" target=""_blank"">Bajaj Holdings & Investment Ltd Q1 Results</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",2025-12-22 19:25:08,Mint,https://news.google.com/rss/articles/CBMimgFBVV95cUxPekJRN25QQjFPdEgzLU1POHI3eU5aS2dlOWZaSEQxcF9xVXhQWHlMbVlmRE44WFBWcXBocG51eUlwNDlFOFdUblI1MVdFbzJ1UnZKVnA1VXFxX2JXeC1FbThGTk5Wb1BsSnFlS2JjUndCenU3b1pHWEVGdFBOX2dHMDlkQTVLb2p1emowT0x1VVMxR09ZVUx3U2lB?oc=5
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Bajaj Holdings & Investment Ltd Sees Sharp Open Interest Surge Amid Mixed Market Signals - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxOWXhVNFd4TGFSdF9DZERVZG03cVoyaDZxRURPUl8xZjFCRGR5NXdhcVBJYjlqM3VSSnRYaFVVTDZUbnpSSHdZWmFGQmRHaGhjTzAxVEI5X0lVV1BzT3hzVWNQdzloX2laS0luNWhlVy1nLU10cEIzbkFBNnhwRWZIRGxlRWM1ZERyUUZTVmZocC1GVElqbkxaNmxRdVdhdW04TkM5aDIyUzl5bFp5V01jcDhXb2xvZFBHZHNUSEVUb1hKWDk1bUZVV0RXYzJyZ1FKZWFRWlBHQzhFSjlQ?oc=5"" target=""_blank"">Bajaj Holdings & Investment Ltd Sees Sharp Open Interest Surge Amid Mixed Market Signals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-25 08:44:24,Markets Mojo,https://news.google.com/rss/articles/CBMi3AFBVV95cUxOWXhVNFd4TGFSdF9DZERVZG03cVoyaDZxRURPUl8xZjFCRGR5NXdhcVBJYjlqM3VSSnRYaFVVTDZUbnpSSHdZWmFGQmRHaGhjTzAxVEI5X0lVV1BzT3hzVWNQdzloX2laS0luNWhlVy1nLU10cEIzbkFBNnhwRWZIRGxlRWM1ZERyUUZTVmZocC1GVElqbkxaNmxRdVdhdW04TkM5aDIyUzl5bFp5V01jcDhXb2xvZFBHZHNUSEVUb1hKWDk1bUZVV0RXYzJyZ1FKZWFRWlBHQzhFSjlQ?oc=5
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Bajaj Holdings & Investment Ltd Q4 Results - Mint,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxPWkhOOFdEdWcxcmF0OWRqSUVDNEF5NGdLdFpNYS1GcUc0UzF5VkFUNWl5NWhYZDVFLWROU25LT1hLRjYwdVN6cFN2alRkOElaSXNGMThfQVV0cFoyWXJDZ2ZGa2lycHZ5MnBuMzlzTTZsT2l2OWN5WnNIUnphU1k4R3Y4ZFJ2cHFvSVlsdGxUMnNsWXpyd0tIajZn?oc=5"" target=""_blank"">Bajaj Holdings & Investment Ltd Q4 Results</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",2025-12-22 19:22:43,Mint,https://news.google.com/rss/articles/CBMimgFBVV95cUxPWkhOOFdEdWcxcmF0OWRqSUVDNEF5NGdLdFpNYS1GcUc0UzF5VkFUNWl5NWhYZDVFLWROU25LT1hLRjYwdVN6cFN2alRkOElaSXNGMThfQVV0cFoyWXJDZ2ZGa2lycHZ5MnBuMzlzTTZsT2l2OWN5WnNIUnphU1k4R3Y4ZFJ2cHFvSVlsdGxUMnNsWXpyd0tIajZn?oc=5
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Bajaj Holdings & Investment Ltd Sees Significant Open Interest Surge Amid Mixed Market Signals - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxNR0hFeHMxaS00WjdHUmtfUG03TDM1OHZ3RGV4UkpnN280cHN1X19kSWx0LUV2emxnczZoWVZxLS1fMlMzYVJkQ0ZzTUlBNXZuclU5TWFkMGxBSnBTNzczOUZUaXpaTzlhRmUyZllEOXVpbHhmeURWZFlVWjNBbDgwWHQ5b3VLUV9VMEY5bUtGZEtSQUFwNUI3WjlwdUZOaHJjODF2a2hNUWxSY2RneFRaWmxNRzBvdVg1Y1JOX182UWoyRFB4Q25kSURGWW12YXhMNlRiaU0xazJaOFd3cUVHNHpXZ0g?oc=5"" target=""_blank"">Bajaj Holdings & Investment Ltd Sees Significant Open Interest Surge Amid Mixed Market Signals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-25 06:46:26,Markets Mojo,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNR0hFeHMxaS00WjdHUmtfUG03TDM1OHZ3RGV4UkpnN280cHN1X19kSWx0LUV2emxnczZoWVZxLS1fMlMzYVJkQ0ZzTUlBNXZuclU5TWFkMGxBSnBTNzczOUZUaXpaTzlhRmUyZllEOXVpbHhmeURWZFlVWjNBbDgwWHQ5b3VLUV9VMEY5bUtGZEtSQUFwNUI3WjlwdUZOaHJjODF2a2hNUWxSY2RneFRaWmxNRzBvdVg1Y1JOX182UWoyRFB4Q25kSURGWW12YXhMNlRiaU0xazJaOFd3cUVHNHpXZ0g?oc=5
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Bajaj Holdings & Investment Ltd Sees Significant Open Interest Surge Amid Mixed Market Signals - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxQU1YwVFNmYnFlbTZOYS0yNGFWeFh5d00zSGREUG82bmx1R2VPYTBlUmpoczltb194SER0SDQ2VnFMc1hZQmZVM1RKdnRfNGNKTVVCa01ISDF3Uy1nM3h6YUdLX3YyQ2g0bWFlLWhoeXJENnhuLWZIbjlPeHZ4SC1RNmltdFlacTVONkpKVXhOMXZsVWxLRURKemo5X3hQMjVRMVJfaGQ5dmt0Q0dvTjhvOWx1LUdmc1JEYlR0RDRlc3ozTlBVX0xzZWZHbHBUOTExdENCR2J1N2tTM2pjdk1VZmEyTzU?oc=5"" target=""_blank"">Bajaj Holdings & Investment Ltd Sees Significant Open Interest Surge Amid Mixed Market Signals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-25 06:14:15,Markets Mojo,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQU1YwVFNmYnFlbTZOYS0yNGFWeFh5d00zSGREUG82bmx1R2VPYTBlUmpoczltb194SER0SDQ2VnFMc1hZQmZVM1RKdnRfNGNKTVVCa01ISDF3Uy1nM3h6YUdLX3YyQ2g0bWFlLWhoeXJENnhuLWZIbjlPeHZ4SC1RNmltdFlacTVONkpKVXhOMXZsVWxLRURKemo5X3hQMjVRMVJfaGQ5dmt0Q0dvTjhvOWx1LUdmc1JEYlR0RDRlc3ozTlBVX0xzZWZHbHBUOTExdENCR2J1N2tTM2pjdk1VZmEyTzU?oc=5
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Bajaj Holdings & Investment Ltd Sees Sharp Open Interest Surge Amid Bullish Market Signals - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxQR2ZYdWFjazRfS29nTVhBYmNVNFZOQzd0cldVcXVHcS1XUmp1Z0xmNEJXWEMxamZZOFZyQTN1RC0tQ1pFN2ppTkZPLXZRc2E1T2JPSUxNUEJtSVBoVThqcmlLT2Q0c1NUSGFPbDJwbWZWNlY4UTZQaVhVUDRiX0k0Wmc2Znh6cFdadkYtWFhFczVhTDZPSkpYeFY1TkRaZF9xbUF2dzJNenVwMWxRSVZRd1ZVNE5NYnFqT01OUTkyRWVHdFB3U1Rqbks5YjVQdDU4N2FhVmctajN4d0NSaERj?oc=5"" target=""_blank"">Bajaj Holdings & Investment Ltd Sees Sharp Open Interest Surge Amid Bullish Market Signals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-23 11:59:55,Markets Mojo,https://news.google.com/rss/articles/CBMi3wFBVV95cUxQR2ZYdWFjazRfS29nTVhBYmNVNFZOQzd0cldVcXVHcS1XUmp1Z0xmNEJXWEMxamZZOFZyQTN1RC0tQ1pFN2ppTkZPLXZRc2E1T2JPSUxNUEJtSVBoVThqcmlLT2Q0c1NUSGFPbDJwbWZWNlY4UTZQaVhVUDRiX0k0Wmc2Znh6cFdadkYtWFhFczVhTDZPSkpYeFY1TkRaZF9xbUF2dzJNenVwMWxRSVZRd1ZVNE5NYnFqT01OUTkyRWVHdFB3U1Rqbks5YjVQdDU4N2FhVmctajN4d0NSaERj?oc=5
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Bajaj Holdings & Investment Ltd Sees Notable Surge in Derivatives Open Interest Amid Mixed Price Action - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxPSzVTRXdPRXFmRHBOQXlQb2tucklSUUdjdXI0Y3V6ZTFOWHZrWm5pbWFZRzdvNWRvcmJsT09ZMVY4LUlyMnc0ZGdTV0JZT2d6TlRIWGFhcXpsdGZVV0lQbnJ0NzUtbzJQMXdaSGhDNGxsMDQxcW1GNE9BRWhfcHE4aml3R2ZhN2J0ODVYd1RuV19zUDNPMGxjdldRd05zZWl3bEdpNkNjVXdoTEVsLXlRaWdCWkpuNFBTczlQdDNCejFUR2phT1pLeTF3WnlWd2pqa21DSmlVVjZ5aVdGanBoeGFTTm1xcDdLTzB2V2xIZzE?oc=5"" target=""_blank"">Bajaj Holdings & Investment Ltd Sees Notable Surge in Derivatives Open Interest Amid Mixed Price Action</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-19 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMi8AFBVV95cUxPSzVTRXdPRXFmRHBOQXlQb2tucklSUUdjdXI0Y3V6ZTFOWHZrWm5pbWFZRzdvNWRvcmJsT09ZMVY4LUlyMnc0ZGdTV0JZT2d6TlRIWGFhcXpsdGZVV0lQbnJ0NzUtbzJQMXdaSGhDNGxsMDQxcW1GNE9BRWhfcHE4aml3R2ZhN2J0ODVYd1RuV19zUDNPMGxjdldRd05zZWl3bEdpNkNjVXdoTEVsLXlRaWdCWkpuNFBTczlQdDNCejFUR2phT1pLeTF3WnlWd2pqa21DSmlVVjZ5aVdGanBoeGFTTm1xcDdLTzB2V2xIZzE?oc=5
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Bajaj Holdings & Investment Ltd Sees Sharp Open Interest Surge Amid Bullish Market Signals - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxQQVVPbkFibmZ6Mk8tZUVGaFZDNUF5UWhndHNHbWg2dTFodW9veFRhQzlsWU5zV21PYUNOeDU0RzJZYjNlMFpqaVNGQlY4TEdYUVdiOWkwYVA0Zi13NUtGcm5jWkZiVEk2MXZ5WGJXek5NNnF6enUzVTRCcjM1ekVUQ1RQYUowazYzbzVZbmxxNk4ySEJ3c2Q3VUZmWC1IaGFXZHRlakI4SjVLSWd2Nm02cEtwdEFQQnFRMWs3Skw1NXRwM3NLdm1uMmxzUkVHOGpRakFjcU1nZE9iUm5FUWk4?oc=5"" target=""_blank"">Bajaj Holdings & Investment Ltd Sees Sharp Open Interest Surge Amid Bullish Market Signals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-23 12:03:57,Markets Mojo,https://news.google.com/rss/articles/CBMi3wFBVV95cUxQQVVPbkFibmZ6Mk8tZUVGaFZDNUF5UWhndHNHbWg2dTFodW9veFRhQzlsWU5zV21PYUNOeDU0RzJZYjNlMFpqaVNGQlY4TEdYUVdiOWkwYVA0Zi13NUtGcm5jWkZiVEk2MXZ5WGJXek5NNnF6enUzVTRCcjM1ekVUQ1RQYUowazYzbzVZbmxxNk4ySEJ3c2Q3VUZmWC1IaGFXZHRlakI4SjVLSWd2Nm02cEtwdEFQQnFRMWs3Skw1NXRwM3NLdm1uMmxzUkVHOGpRakFjcU1nZE9iUm5FUWk4?oc=5
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Bajaj Holdings & Investment Ltd Sees Notable Surge in Derivatives Open Interest Amid Mixed Price Action - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxONFZDeGEtSE5nX05zaEl4eFNkeVhCYlI5bWtXVGNhVlFvOHFCTWM2by0tWkFnd1d3UEtoTVBCcmdYXzloci1SN1pKOFpDcUNpLTVTeDlUbk5BVDFQMzQ5TjljcDRFZ19yNndXdTdpR2tSWDctc05IaXV1M2VhZnlnaFNJczdDRl8xT05MaGdpSDFmRDk1elNpNGpvQ09zclhQR1Mtd1hXaXZ1bjhMTlZpakdLY1E3N3dZZFlwV3NscmFYXzJYSnRtRTB6cm84ZmZ2NkUtRUNRTFZRNnJQNFJiM3B1aFdPWDJQd0hqZE1icks?oc=5"" target=""_blank"">Bajaj Holdings & Investment Ltd Sees Notable Surge in Derivatives Open Interest Amid Mixed Price Action</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-19 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMi8AFBVV95cUxONFZDeGEtSE5nX05zaEl4eFNkeVhCYlI5bWtXVGNhVlFvOHFCTWM2by0tWkFnd1d3UEtoTVBCcmdYXzloci1SN1pKOFpDcUNpLTVTeDlUbk5BVDFQMzQ5TjljcDRFZ19yNndXdTdpR2tSWDctc05IaXV1M2VhZnlnaFNJczdDRl8xT05MaGdpSDFmRDk1elNpNGpvQ09zclhQR1Mtd1hXaXZ1bjhMTlZpakdLY1E3N3dZZFlwV3NscmFYXzJYSnRtRTB6cm84ZmZ2NkUtRUNRTFZRNnJQNFJiM3B1aFdPWDJQd0hqZE1icks?oc=5
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Bajaj Holdings & Investment Ltd Sees Sharp Open Interest Surge Amid Mixed Market Signals - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxQZFNESFVGZ1JlRE0xTmYwTmdqczJBWTBZa3Z5Z0MzS1RTV2xMWE8wZXZBMEpTU2pZRXd0NXFZVk16NEl3YzRfaWF1Qnkwa1BwVVBwNWRMY1RCZUZGM295endjODRUcDlFQkN6UDRIZFJmajlwNEFkNllUQmtXTm16LUQ4OHd4dWY4M3c0Mlp4c1p4R0l1RHdQQmRtcS1CZ0gtT1ZMVWwtVEVDaV94SnBZbkU3RXMwOW1EbHlsdHRNc24ybVdnSzk2dUxFc1lWLWg0R0Q4aDF1UjFZR2JN?oc=5"" target=""_blank"">Bajaj Holdings & Investment Ltd Sees Sharp Open Interest Surge Amid Mixed Market Signals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-05 09:40:04,Markets Mojo,https://news.google.com/rss/articles/CBMi3AFBVV95cUxQZFNESFVGZ1JlRE0xTmYwTmdqczJBWTBZa3Z5Z0MzS1RTV2xMWE8wZXZBMEpTU2pZRXd0NXFZVk16NEl3YzRfaWF1Qnkwa1BwVVBwNWRMY1RCZUZGM295endjODRUcDlFQkN6UDRIZFJmajlwNEFkNllUQmtXTm16LUQ4OHd4dWY4M3c0Mlp4c1p4R0l1RHdQQmRtcS1CZ0gtT1ZMVWwtVEVDaV94SnBZbkU3RXMwOW1EbHlsdHRNc24ybVdnSzk2dUxFc1lWLWg0R0Q4aDF1UjFZR2JN?oc=5
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Bajaj Holdings & Investment Ltd Sees Sharp Open Interest Surge Amid Bullish Derivatives Activity - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxQZm84bDZhR1JiQnhjNXpXRENwOTZjMGNPWTFpaE1BZ25wdVVMdE9DQ1l0TE4ydHNmTnZ3ZFJTN3Z6Uk5KQWplZno2MDd2NF83bExYTGV6bmQ5bkNIVkVxYzRQYzhFaEl4OHlVcnRFbFBOdjJlcnp1NmdxbU5SUWg5RWpyejRTZmNBQi1vYWdRc2pPdWlJSWM1c08tYTlGY05GZkVSRG14OXVTMTc1aUxDQ2U1ck1fczF1TGdoUXVTcXBQaVAzZjZkTllFMEhzdEItRTcwOHhpT2xJZTlQN0R5LTBjNUY2QjA?oc=5"" target=""_blank"">Bajaj Holdings & Investment Ltd Sees Sharp Open Interest Surge Amid Bullish Derivatives Activity</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-05 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMi5wFBVV95cUxQZm84bDZhR1JiQnhjNXpXRENwOTZjMGNPWTFpaE1BZ25wdVVMdE9DQ1l0TE4ydHNmTnZ3ZFJTN3Z6Uk5KQWplZno2MDd2NF83bExYTGV6bmQ5bkNIVkVxYzRQYzhFaEl4OHlVcnRFbFBOdjJlcnp1NmdxbU5SUWg5RWpyejRTZmNBQi1vYWdRc2pPdWlJSWM1c08tYTlGY05GZkVSRG14OXVTMTc1aUxDQ2U1ck1fczF1TGdoUXVTcXBQaVAzZjZkTllFMEhzdEItRTcwOHhpT2xJZTlQN0R5LTBjNUY2QjA?oc=5
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Bajaj Holdings & Investment Ltd Sees Sharp Open Interest Surge Amid Mixed Market Signals - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxQZExNVThuZ1VfTG9UYjYwSVRwcVpYQ2ZNSGZncVhoN01TaUVEWEdqMzlfUlV2V2hES3pfRVFpU1NfcEJHdGl4NFA0c09EQl95UjZmYk55cHRoQnhFdGhDYlBMZmN2emROa0FuLTd6M0tVTTJjYjcyT3ZZMVR4OVItX1lUOHJ4OElFZllUUVpvWDlHaENHSUF4UTE0VkphMXZxNlZBX1hsZGY2OWNYUnc1Y1NDVk03a0dGQms4UGpfVGtyWTBlNGVrQ05XTDIwOGlWakV4T3RJNUFJNDgw?oc=5"" target=""_blank"">Bajaj Holdings & Investment Ltd Sees Sharp Open Interest Surge Amid Mixed Market Signals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-05 04:43:33,Markets Mojo,https://news.google.com/rss/articles/CBMi3AFBVV95cUxQZExNVThuZ1VfTG9UYjYwSVRwcVpYQ2ZNSGZncVhoN01TaUVEWEdqMzlfUlV2V2hES3pfRVFpU1NfcEJHdGl4NFA0c09EQl95UjZmYk55cHRoQnhFdGhDYlBMZmN2emROa0FuLTd6M0tVTTJjYjcyT3ZZMVR4OVItX1lUOHJ4OElFZllUUVpvWDlHaENHSUF4UTE0VkphMXZxNlZBX1hsZGY2OWNYUnc1Y1NDVk03a0dGQms4UGpfVGtyWTBlNGVrQ05XTDIwOGlWakV4T3RJNUFJNDgw?oc=5
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Bajaj Holdings & Investment Ltd Sees Sharp Open Interest Surge Amid Mixed Market Signals - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxNVllIT0R4RHVOUHlkdThIQ2xWUVlfUm1NbVRuV0hycDhEWU5LVml6THFpWHY5OC1aemRnOFE4aksxeTZKdWxLQnlGODUwc3BVeGp0enNsQzR4ZnpZVUdNcFBpMXRpRF8yTERSNUpFWG56eE1sRFJ5a0ZDNE1iSThXRHJOb3V1R2hRYnoxc1hQYXBuSVZpWlBuYkxkY2YyQzFrRGtERXRpbXZwaV81QnRNS19EOGFlUk1hbTdwNXF1SENHRnlHUjdKVWNXZ1VaVmEydHFodUs4MVZ6elpo?oc=5"" target=""_blank"">Bajaj Holdings & Investment Ltd Sees Sharp Open Interest Surge Amid Mixed Market Signals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-05 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMi3AFBVV95cUxNVllIT0R4RHVOUHlkdThIQ2xWUVlfUm1NbVRuV0hycDhEWU5LVml6THFpWHY5OC1aemRnOFE4aksxeTZKdWxLQnlGODUwc3BVeGp0enNsQzR4ZnpZVUdNcFBpMXRpRF8yTERSNUpFWG56eE1sRFJ5a0ZDNE1iSThXRHJOb3V1R2hRYnoxc1hQYXBuSVZpWlBuYkxkY2YyQzFrRGtERXRpbXZwaV81QnRNS19EOGFlUk1hbTdwNXF1SENHRnlHUjdKVWNXZ1VaVmEydHFodUs4MVZ6elpo?oc=5
