scrip,company,headline,summary,published_date,source,url
MUTHOOTFIN,Muthoot Finance Limited,Investing in Muthoot Finance (NSE:MUTHOOTFIN) three years ago would have delivered you a 286% gain - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxQVkUzaWt0aFhYMW5CSDJOM3lPdlpnTWxFRUo3RjBvMEdQNkJITHV3OGNtNWtHUHdOWjZ4RkJqRmpCQlRkZms5LV9idHJiUTdabnZURUVfWGVaTEhqTHZ2ajN2LXN1WG0zQjFRQmRtOWdXMG5wdTRvRlN0TVdXZHlMcHlSTmdVLXFER2ZEdi12UlhqcjREckFJSGF4cV84U1Vna0xDVWppbGRUMjFaVnBCX1dEWXhIYzd5dUUxVmJuaWtmV2dVTWZrYnYtYW9HQWJXZ1FqQnp1UXJ4ZXkzanVXdzlfd05GcmdCdGYwRXNmNA?oc=5"" target=""_blank"">Investing in Muthoot Finance (NSE:MUTHOOTFIN) three years ago would have delivered you a 286% gain</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-13 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi7wFBVV95cUxQVkUzaWt0aFhYMW5CSDJOM3lPdlpnTWxFRUo3RjBvMEdQNkJITHV3OGNtNWtHUHdOWjZ4RkJqRmpCQlRkZms5LV9idHJiUTdabnZURUVfWGVaTEhqTHZ2ajN2LXN1WG0zQjFRQmRtOWdXMG5wdTRvRlN0TVdXZHlMcHlSTmdVLXFER2ZEdi12UlhqcjREckFJSGF4cV84U1Vna0xDVWppbGRUMjFaVnBCX1dEWXhIYzd5dUUxVmJuaWtmV2dVTWZrYnYtYW9HQWJXZ1FqQnp1UXJ4ZXkzanVXdzlfd05GcmdCdGYwRXNmNA?oc=5
MUTHOOTFIN,Muthoot Finance Limited,The Truth About Muthoot Finance Ltd: Is This Silent Money Giant Actually Worth Your Cash? - AD HOC NEWS,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxNc3JrV1lJc192OE9tQm1MN2hmZVBwNXE3TTJPMGJUaHZpc1MxbDZDNksyZHMydldJZkRUUWk5UGdCTTI1MjhhZXB4djFQTTR5Y1FxNWl5MTdpbFNYcVhOb1pKV0l6VTVHdzlUSGhRVldYWmJRdzM5VDRDX0RRdXlPRlROMzJBZnBGVGNQM1VTRmJJRlUyMV9fQnpJSzEyNTFmcFhXT29ubHRGVlBRN0xaTEI3bTFUMmxQN2Vibk1SVWxoZzA?oc=5"" target=""_blank"">The Truth About Muthoot Finance Ltd: Is This Silent Money Giant Actually Worth Your Cash?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AD HOC NEWS</font>",2026-01-06 08:00:00,AD HOC NEWS,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNc3JrV1lJc192OE9tQm1MN2hmZVBwNXE3TTJPMGJUaHZpc1MxbDZDNksyZHMydldJZkRUUWk5UGdCTTI1MjhhZXB4djFQTTR5Y1FxNWl5MTdpbFNYcVhOb1pKV0l6VTVHdzlUSGhRVldYWmJRdzM5VDRDX0RRdXlPRlROMzJBZnBGVGNQM1VTRmJJRlUyMV9fQnpJSzEyNTFmcFhXT29ubHRGVlBRN0xaTEI3bTFUMmxQN2Vibk1SVWxoZzA?oc=5
MUTHOOTFIN,Muthoot Finance Limited,"Muthoot Finance Q2 profit surges 87% to Rs 2,345 crore; stock hits record high - Business Today","<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxNS25UNmo4UDhSdzg1Y3kzSWpkbFBYdl8yVnk2TmcyUUF1UzE5YnpELWk4QVV4Wi16aG9YZDF2ZEQwY3ZvUk5QeFNpZ2RoVF8wRVNhLXNuTzI4MTlJT0hkR3E0U1lwUXdwUTNmMHI0Sll5QVBNc1dQMkVoU2VfOGxPUktUa1MxMTR2cTR0cmg4UmlSbWVCRHF1b05rSzRuUE1oTGdGalFBLTdSUkxTUzJKSmhEODFFeWg4ZzU0b0lGNzFQZXJBV1g1NnFIQTU3TDFpS3c1eUh5RGl6QXPSAeABQVVfeXFMTUJIX1lUMUYyb21kckxYNk1PS1RENGFaVWtnX1ljQzVEdkVZUDdFUjdjRTAyZXZXbFBRQTlNOWF3R3pGd19EOTR0aVFqaWtnZUY0SkpBTVBaX3VvZFVaYjdlZFdBeE0xV0lLYnRSNUUtZmlrTDQ3NVpRZTJKVWdFZWpLZjR1bTBiYWZxV01SWGRfNW83YXYyNXB4RGgtbEk4am5vbjlFVHNGRHpxcEhoR0I1eWlhaGxKcWQ1NmxzNE80MXhscDNXMDNhSy1lRHNaNUpwcERieHVpc2QzM1lhMDQ?oc=5"" target=""_blank"">Muthoot Finance Q2 profit surges 87% to Rs 2,345 crore; stock hits record high</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2025-11-13 08:00:00,Business Today,https://news.google.com/rss/articles/CBMi2wFBVV95cUxNS25UNmo4UDhSdzg1Y3kzSWpkbFBYdl8yVnk2TmcyUUF1UzE5YnpELWk4QVV4Wi16aG9YZDF2ZEQwY3ZvUk5QeFNpZ2RoVF8wRVNhLXNuTzI4MTlJT0hkR3E0U1lwUXdwUTNmMHI0Sll5QVBNc1dQMkVoU2VfOGxPUktUa1MxMTR2cTR0cmg4UmlSbWVCRHF1b05rSzRuUE1oTGdGalFBLTdSUkxTUzJKSmhEODFFeWg4ZzU0b0lGNzFQZXJBV1g1NnFIQTU3TDFpS3c1eUh5RGl6QXPSAeABQVVfeXFMTUJIX1lUMUYyb21kckxYNk1PS1RENGFaVWtnX1ljQzVEdkVZUDdFUjdjRTAyZXZXbFBRQTlNOWF3R3pGd19EOTR0aVFqaWtnZUY0SkpBTVBaX3VvZFVaYjdlZFdBeE0xV0lLYnRSNUUtZmlrTDQ3NVpRZTJKVWdFZWpLZjR1bTBiYWZxV01SWGRfNW83YXYyNXB4RGgtbEk4am5vbjlFVHNGRHpxcEhoR0I1eWlhaGxKcWQ1NmxzNE80MXhscDNXMDNhSy1lRHNaNUpwcERieHVpc2QzM1lhMDQ?oc=5
MUTHOOTFIN,Muthoot Finance Limited,Muthoot Finance Limited (NSE:MUTHOOTFIN) Looks Inexpensive But Perhaps Not Attractive Enough - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxQcm9zNFZfRmJUVUU0bGM0eDVkbkFWRU5YMzB3TW5ULUJYWkx1b3RHUkRyRmNvTDRtWHVEM2hYWVd2SG81T2tWeEJ5WDZPOGFZcHZkaUViRnJPTnFZRnhqUjBnbjRtZmNzZDhYeW4zVVR2dnM2enAzR3lZUzFaZm5mTTdSd0diT3hYaE40RW5vUXlpem5qRkFUSnM5R1NxcDZsNWpJTWdDM04zUDZRMjhyQzVRczYtTlZxMk1HcEVjZ20yOFNFQWtUcFRHTnV2R1hJaWJ1eWx0amhqV3VNMUMyc2RRN2tfbzBZUWFRMmdR0gHzAUFVX3lxTE5Yak1QNFZYYVY3NF9DN3d3WWhSRnExZjVTNkE5S3ByUzRhb1EzSUpmWnVhMEhTeXlWZnBwSFRBWmpWcGFZRUdlY3I4TlZ1ZXQ3T2ZqUGN6QUJZblRYYWd1cmpNM0g2VncxZFZHdHFUM0RwbXZwOEYtVWRFSHBVMGpZZU1YZW9yeFZlQXFQT05md0NsbWlSWDZGRFFJaWVaV2dEdmtfbHhPSkdUTF9OQ1NuZ2hSU19oMGp1b2djd05aWE1wLXJSaDl5dEJKVE1hdGNyOW1PeUFRa1REam1qcHAyN09GcTFrLXVORjhfUHZGZFA4OA?oc=5"" target=""_blank"">Muthoot Finance Limited (NSE:MUTHOOTFIN) Looks Inexpensive But Perhaps Not Attractive Enough</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-03 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi7gFBVV95cUxQcm9zNFZfRmJUVUU0bGM0eDVkbkFWRU5YMzB3TW5ULUJYWkx1b3RHUkRyRmNvTDRtWHVEM2hYWVd2SG81T2tWeEJ5WDZPOGFZcHZkaUViRnJPTnFZRnhqUjBnbjRtZmNzZDhYeW4zVVR2dnM2enAzR3lZUzFaZm5mTTdSd0diT3hYaE40RW5vUXlpem5qRkFUSnM5R1NxcDZsNWpJTWdDM04zUDZRMjhyQzVRczYtTlZxMk1HcEVjZ20yOFNFQWtUcFRHTnV2R1hJaWJ1eWx0amhqV3VNMUMyc2RRN2tfbzBZUWFRMmdR0gHzAUFVX3lxTE5Yak1QNFZYYVY3NF9DN3d3WWhSRnExZjVTNkE5S3ByUzRhb1EzSUpmWnVhMEhTeXlWZnBwSFRBWmpWcGFZRUdlY3I4TlZ1ZXQ3T2ZqUGN6QUJZblRYYWd1cmpNM0g2VncxZFZHdHFUM0RwbXZwOEYtVWRFSHBVMGpZZU1YZW9yeFZlQXFQT05md0NsbWlSWDZGRFFJaWVaV2dEdmtfbHhPSkdUTF9OQ1NuZ2hSU19oMGp1b2djd05aWE1wLXJSaDl5dEJKVE1hdGNyOW1PeUFRa1REam1qcHAyN09GcTFrLXVORjhfUHZGZFA4OA?oc=5
MUTHOOTFIN,Muthoot Finance Limited,"Muthoot Fin, Manappuram gain upto 8% ahead of RBI releasing gold loan norms - Business Standard","<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxPT1Z4ZWRpbjFPbW9MaG5mZG90dkxSNGxEeVU4cWxmRWRkT0VVMXd5V2w2cWZnVG1VVDlGb0pITC0wc3Q3ZzBTTW5PZEFfYVlJaUk5ZmM1OTJKVU91ODFYUUdiUHQ2eWQ5Rl8zbEVjakZNbEdHVFZzb2ZOWkkzdGFWV0JQTXZvU29hY1FKQ1hRTTB5U2hwTElEU3ZWUDJLLUZBS1d5eTRRUTJ1SWtCQllFUHlCYnFEUmVwVjZrTzBYSWkwRnBfRjIzV2Z0cDV6Q1BLMElGQlE4SdIB3AFBVV95cUxOekRQWXFub2cyYWtVTUhqQnlhSl9LMHY4VGczS0xwdnBWTDIzX1d2bGFST05OTXEwZDRxV01CTE5kNlpxbm52RWgtQVFfaTN0TFRoMEpuU3lXaUFWTlBOUG9TR09LTE1TM2xJWWg1QVJRdy11emxVSE9PTnpqNlRBZlBlaXVYUFM5SUkwSTBkTlNsUUVfbHNxNnB3aDVSUXJWRjM2Ulc5R3RPdVZOYk1LUmw1SVo1TXZ1RUN0Tzh6cnlYNThvcTJDWUhhOXA5OEMxZVZxN1FpcXY4emR0?oc=5"" target=""_blank"">Muthoot Fin, Manappuram gain upto 8% ahead of RBI releasing gold loan norms</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-06-06 07:00:00,Business Standard,https://news.google.com/rss/articles/CBMi1wFBVV95cUxPT1Z4ZWRpbjFPbW9MaG5mZG90dkxSNGxEeVU4cWxmRWRkT0VVMXd5V2w2cWZnVG1VVDlGb0pITC0wc3Q3ZzBTTW5PZEFfYVlJaUk5ZmM1OTJKVU91ODFYUUdiUHQ2eWQ5Rl8zbEVjakZNbEdHVFZzb2ZOWkkzdGFWV0JQTXZvU29hY1FKQ1hRTTB5U2hwTElEU3ZWUDJLLUZBS1d5eTRRUTJ1SWtCQllFUHlCYnFEUmVwVjZrTzBYSWkwRnBfRjIzV2Z0cDV6Q1BLMElGQlE4SdIB3AFBVV95cUxOekRQWXFub2cyYWtVTUhqQnlhSl9LMHY4VGczS0xwdnBWTDIzX1d2bGFST05OTXEwZDRxV01CTE5kNlpxbm52RWgtQVFfaTN0TFRoMEpuU3lXaUFWTlBOUG9TR09LTE1TM2xJWWg1QVJRdy11emxVSE9PTnpqNlRBZlBlaXVYUFM5SUkwSTBkTlNsUUVfbHNxNnB3aDVSUXJWRjM2Ulc5R3RPdVZOYk1LUmw1SVo1TXZ1RUN0Tzh6cnlYNThvcTJDWUhhOXA5OEMxZVZxN1FpcXY4emR0?oc=5
MUTHOOTFIN,Muthoot Finance Limited,"AMFI Rejig: Muthoot Fin, LG India set to enter 'largecap' category; REC, Bajaj Housing may see downgrade - CNBC TV18","<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxNOVI3ZU9lUllWNVlzVXJ2ZHlSd2h4bVl4YV9jSDdPa2xqSWttYm5BcWVLSFRMWWxBME9fMFhNRG9JbHl4OHNQTWF3a2NKT1NTN016NHgxSDZ4ODhiTzcydDcxa0R5WGJSdFBqOS14OGtlYjVDNG1vVWpkMHhvanFoUnJ0cEQwcFVTWENXSEZ5U1NaSzZkcGYyWnZXc3BndDdOa2NvVFpOLVhaa3dOQVYyclh5MlJ6Rl9VdGZzc2pjbUFoYTUtYzJzZ01pc1lJNU5kZjBGYTY4U0t5aVIz0gHiAUFVX3lxTE9ncmxhMjZ0cEVBM2lZX25LQmFEVVhvZ3ZrY1UzRnlmbDlQYndQY3A3TGdkMXBXeTEtZFNXMFRxWXNkX1loSHhoR0pScHowOFRFOERyMjJSaGpNMDJZQ1BhbnExdEFwR0thb1N6MEo1S0NhLUtRWWZXQjNVajROV3VERmVsbmJwMFBpNXhucDhZSWx4YnBaekFPM2t1elNJMXNOcW9MTlEzNUt1bWlMblM1QUhEeVFfb2lyWVZFTkkzTmR6VG9JTklCbVhmWmF1dlBEV2VydHM4dTBPc01HajRvYXc?oc=5"" target=""_blank"">AMFI Rejig: Muthoot Fin, LG India set to enter 'largecap' category; REC, Bajaj Housing may see downgrade</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",2025-12-05 08:00:00,CNBC TV18,https://news.google.com/rss/articles/CBMi3AFBVV95cUxNOVI3ZU9lUllWNVlzVXJ2ZHlSd2h4bVl4YV9jSDdPa2xqSWttYm5BcWVLSFRMWWxBME9fMFhNRG9JbHl4OHNQTWF3a2NKT1NTN016NHgxSDZ4ODhiTzcydDcxa0R5WGJSdFBqOS14OGtlYjVDNG1vVWpkMHhvanFoUnJ0cEQwcFVTWENXSEZ5U1NaSzZkcGYyWnZXc3BndDdOa2NvVFpOLVhaa3dOQVYyclh5MlJ6Rl9VdGZzc2pjbUFoYTUtYzJzZ01pc1lJNU5kZjBGYTY4U0t5aVIz0gHiAUFVX3lxTE9ncmxhMjZ0cEVBM2lZX25LQmFEVVhvZ3ZrY1UzRnlmbDlQYndQY3A3TGdkMXBXeTEtZFNXMFRxWXNkX1loSHhoR0pScHowOFRFOERyMjJSaGpNMDJZQ1BhbnExdEFwR0thb1N6MEo1S0NhLUtRWWZXQjNVajROV3VERmVsbmJwMFBpNXhucDhZSWx4YnBaekFPM2t1elNJMXNOcW9MTlEzNUt1bWlMblM1QUhEeVFfb2lyWVZFTkkzTmR6VG9JTklCbVhmWmF1dlBEV2VydHM4dTBPc01HajRvYXc?oc=5
MUTHOOTFIN,Muthoot Finance Limited,"Gold loan stocks like Muthoot Fin, Manappuram rally up to 4% for second day. What should investors do? - The Economic Times","<a href=""https://news.google.com/rss/articles/CBMiqAJBVV95cUxNTkwtWUhWa1dGb09IV2FUQm4xNDV5X25Tc3BVY3ZJQk01TmxSbldvdWtPUzRmaHAtQWJsaE0wQkRtdm5wUkV4SmtndDUwT092WFRlOWc0SGJGdnRKZ0dRczFHZ0RjVUs3RkRGRTJVZWxTSzU1S0tGT1Z1ZWsxYk1qTGRVd1o4blZtb3lLM1gxUkxwSjU3TDN6UjNzVWE4QXRlcHpZUkdiUzIycDF3QWNKanBUWmtjS09IQmhlQTVXTllJSHBCb1Y5RmdtRDlPdVQ2WTVWRU9vTTRlek1Zd0Nibl8xck5JS0JxQ1YxckJIUkZuU2hCUHZXUzNpTUVsOFhGWVVldDJoOFV5MlF0aGtsWjIxS1VMbHd0N1hodDBmUVVjX1VuQy0wctIBrgJBVV95cUxPZm56V2xjWjNzNjNEZmIwSzlSU1diTmE3UHVpWVJmUVJ0cmo2UEpmY2x2T2lwY05sSldaSktlT1RKTEphWG5oMGZCRE5nNTdjMGRwU2RqYVpmQXAzbUdRNk5SYWdXdF9Dak9lSDl0QjR0dXlpZkJZR0U4N2hjV3k0SDZ1ZUpBMzhNeXdPT2ZVeFB4aVhRV1V4ZWNNOG5aSXp0dEQ4VTgtajlWOEMxQmRCeTZPcnJSWGh0T3FabDJLQzg5TV9iS2tIQmpPMHV2MVBoRUE5dnNJblZWaU1ETVlSejktRWMtUGQ3Ni1uTnhTWC1sYml4YWV0UmtnUDhkZzUyMEV2b3pyd0dpUUtiN0V6ei1XSDU1d1dORWUzaWlIbDVNZG9ULTJWTFhGWEQxQQ?oc=5"" target=""_blank"">Gold loan stocks like Muthoot Fin, Manappuram rally up to 4% for second day. What should investors do?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",2025-06-09 07:00:00,The Economic Times,https://news.google.com/rss/articles/CBMiqAJBVV95cUxNTkwtWUhWa1dGb09IV2FUQm4xNDV5X25Tc3BVY3ZJQk01TmxSbldvdWtPUzRmaHAtQWJsaE0wQkRtdm5wUkV4SmtndDUwT092WFRlOWc0SGJGdnRKZ0dRczFHZ0RjVUs3RkRGRTJVZWxTSzU1S0tGT1Z1ZWsxYk1qTGRVd1o4blZtb3lLM1gxUkxwSjU3TDN6UjNzVWE4QXRlcHpZUkdiUzIycDF3QWNKanBUWmtjS09IQmhlQTVXTllJSHBCb1Y5RmdtRDlPdVQ2WTVWRU9vTTRlek1Zd0Nibl8xck5JS0JxQ1YxckJIUkZuU2hCUHZXUzNpTUVsOFhGWVVldDJoOFV5MlF0aGtsWjIxS1VMbHd0N1hodDBmUVVjX1VuQy0wctIBrgJBVV95cUxPZm56V2xjWjNzNjNEZmIwSzlSU1diTmE3UHVpWVJmUVJ0cmo2UEpmY2x2T2lwY05sSldaSktlT1RKTEphWG5oMGZCRE5nNTdjMGRwU2RqYVpmQXAzbUdRNk5SYWdXdF9Dak9lSDl0QjR0dXlpZkJZR0U4N2hjV3k0SDZ1ZUpBMzhNeXdPT2ZVeFB4aVhRV1V4ZWNNOG5aSXp0dEQ4VTgtajlWOEMxQmRCeTZPcnJSWGh0T3FabDJLQzg5TV9iS2tIQmpPMHV2MVBoRUE5dnNJblZWaU1ETVlSejktRWMtUGQ3Ni1uTnhTWC1sYml4YWV0UmtnUDhkZzUyMEV2b3pyd0dpUUtiN0V6ei1XSDU1d1dORWUzaWlIbDVNZG9ULTJWTFhGWEQxQQ?oc=5
MUTHOOTFIN,Muthoot Finance Limited,"Muthoot Finance, Manappuram Finance: Fall in gold prices pose risk; fresh target prices - Business Today","<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxPZHA2VWhjekJ2S2VycTNDTjdvRVRGcEI3TW5xX1QzWU1VU255LVhLYTctM2I5TjROTG1YYkdEelZDTUpLaHc4WGotVzZzZ3B2aHBadjZWalV0ZUdrZjJfYUtyWW1HNWJDbWFxcXROTHhTa2prT0loWVk5VGJFb2dFREk4YlV5eXBRMXdZVWRVdTZwc2FXUmVsRnNTTHowQUlEWVBBNldVQzFJdTdHbTlJQkJRUU1kTEdfQ1J1LXZvdC1FQmVWRWJDaDlGNERKNjk3RzIxTlk5bFI3LS04VE5sWVgtMlNRZ03SAewBQVVfeXFMUDhkQWlQZEhCN2xhQ2wydnJCMV9HLU1UdkltX25zR2pTZGRNYUxfMEZ6WGVJRjhTdGpyOHNSZHF2dkJZRkVGYXFGWmFqMEszNlk0NmNPa0d6TXFsamloVFZhZ3l0MjVHaXdQVkV0eWVFVzlTVHJfU0pYTk5ZcHBWellSWmpQQ3hHMWN0MXQ1SjR0U2dlYUJLQkNzTlUxVDVDdktjUTlLXzJwMjlhcnhsVENLNEVCZUNKUVp2UzUyNlJUaDJ2YjNvUms3TkVaRDRKTmNhZDlBNTZIejZ3VnJxSGx1YlJNWTZjV2ktMng?oc=5"" target=""_blank"">Muthoot Finance, Manappuram Finance: Fall in gold prices pose risk; fresh target prices</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2025-06-11 07:00:00,Business Today,https://news.google.com/rss/articles/CBMi5wFBVV95cUxPZHA2VWhjekJ2S2VycTNDTjdvRVRGcEI3TW5xX1QzWU1VU255LVhLYTctM2I5TjROTG1YYkdEelZDTUpLaHc4WGotVzZzZ3B2aHBadjZWalV0ZUdrZjJfYUtyWW1HNWJDbWFxcXROTHhTa2prT0loWVk5VGJFb2dFREk4YlV5eXBRMXdZVWRVdTZwc2FXUmVsRnNTTHowQUlEWVBBNldVQzFJdTdHbTlJQkJRUU1kTEdfQ1J1LXZvdC1FQmVWRWJDaDlGNERKNjk3RzIxTlk5bFI3LS04VE5sWVgtMlNRZ03SAewBQVVfeXFMUDhkQWlQZEhCN2xhQ2wydnJCMV9HLU1UdkltX25zR2pTZGRNYUxfMEZ6WGVJRjhTdGpyOHNSZHF2dkJZRkVGYXFGWmFqMEszNlk0NmNPa0d6TXFsamloVFZhZ3l0MjVHaXdQVkV0eWVFVzlTVHJfU0pYTk5ZcHBWellSWmpQQ3hHMWN0MXQ1SjR0U2dlYUJLQkNzTlUxVDVDdktjUTlLXzJwMjlhcnhsVENLNEVCZUNKUVp2UzUyNlJUaDJ2YjNvUms3TkVaRDRKTmNhZDlBNTZIejZ3VnJxSGx1YlJNWTZjV2ktMng?oc=5
MUTHOOTFIN,Muthoot Finance Limited,We Discuss Why The CEO Of Muthoot Finance Limited (NSE:MUTHOOTFIN) Is Due For A Pay Rise - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxNdkdrWXdPNUVFQlZlWEo2Y2RTQm1GRk05NWQzWTJzWWw1aHFvaW1DT0g1LW84RVJhcEZHSnRkVlR4N3VROGg0U1EyUzU4Vms5aVZDMW91U05QOU80UG92UmF4azVkQ0dOZ2ZYWnlrbkZsYTJMWjRIV0VtQW9kQk0wSkJuTUtMRVdUejE3TnRlckd4eTdJMGpPWHJDcV9BQ1V5SzZOSnYxV0hXS0VQTE9NSi1mNmxjdmNPLTVzTE5mNUZmVEpfSUlHS21oSWFrWU1zSi10djZodE0yRTduNGc4cmVkQmxoaFNaSWFPMWhLSQ?oc=5"" target=""_blank"">We Discuss Why The CEO Of Muthoot Finance Limited (NSE:MUTHOOTFIN) Is Due For A Pay Rise</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-08-24 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi7wFBVV95cUxNdkdrWXdPNUVFQlZlWEo2Y2RTQm1GRk05NWQzWTJzWWw1aHFvaW1DT0g1LW84RVJhcEZHSnRkVlR4N3VROGg0U1EyUzU4Vms5aVZDMW91U05QOU80UG92UmF4azVkQ0dOZ2ZYWnlrbkZsYTJMWjRIV0VtQW9kQk0wSkJuTUtMRVdUejE3TnRlckd4eTdJMGpPWHJDcV9BQ1V5SzZOSnYxV0hXS0VQTE9NSi1mNmxjdmNPLTVzTE5mNUZmVEpfSUlHS21oSWFrWU1zSi10djZodE0yRTduNGc4cmVkQmxoaFNaSWFPMWhLSQ?oc=5
MUTHOOTFIN,Muthoot Finance Limited,"Gold-linked stocks: Manappuram Fin hits all time high, Muthoot Fin gains - Business Standard","<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxQZVBGdWZxb2dFeDV5TGpXT0FCcW9aVFd1T1hSVzY4cER2dWxZUi1xakRfa1F2bEQ0all2c1dFZ1NsaUhkeTZ5TnY0cC0tRzZ6czloLWVYd1VaY3NGN25JYUJWWENGSk9ZMnNYMjJ2ckJhOGVOTEJLOU1RcTg1RDV5aEl6WnNOZHFSNU54RU1FUzdkX0FmS1lBM1BZeFVEU1BQbnlEbXU4MUZfOExnSlYyaUQxOUdYZ1g3eWVIcTBFQng5aU1YU3h2OHZjczF3UndfTEJCZlotVdIB3AFBVV95cUxNc0QyRkJ3dmRfTEZRTGQ0NjU2V1ZQWm5IQ25PTXdPdHV3TVRNRmFmYm9odnZXYTlfdG83eUFhWWtXVFI2WjhnYS11dFdlT0E3ZzVCc1NfcFlzaWZ0VmU2VWpCSG1HWWJLdkZna2g2SlBqOFVYeEJXSV9tVFBtOGxPa0NsMUZnMWhJR3JTM0xpQ3I0bTIxaXpCU0cxSWZoREJPZ04zdmMzSWdGeGV3M3dxaDJ1c0FnMXJOZFZ0ZkMycXNGRDcwWDFGM3hOeGtvM2pzSXRHazZRN0pXY0h4?oc=5"" target=""_blank"">Gold-linked stocks: Manappuram Fin hits all time high, Muthoot Fin gains</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-06-13 07:00:00,Business Standard,https://news.google.com/rss/articles/CBMi1wFBVV95cUxQZVBGdWZxb2dFeDV5TGpXT0FCcW9aVFd1T1hSVzY4cER2dWxZUi1xakRfa1F2bEQ0all2c1dFZ1NsaUhkeTZ5TnY0cC0tRzZ6czloLWVYd1VaY3NGN25JYUJWWENGSk9ZMnNYMjJ2ckJhOGVOTEJLOU1RcTg1RDV5aEl6WnNOZHFSNU54RU1FUzdkX0FmS1lBM1BZeFVEU1BQbnlEbXU4MUZfOExnSlYyaUQxOUdYZ1g3eWVIcTBFQng5aU1YU3h2OHZjczF3UndfTEJCZlotVdIB3AFBVV95cUxNc0QyRkJ3dmRfTEZRTGQ0NjU2V1ZQWm5IQ25PTXdPdHV3TVRNRmFmYm9odnZXYTlfdG83eUFhWWtXVFI2WjhnYS11dFdlT0E3ZzVCc1NfcFlzaWZ0VmU2VWpCSG1HWWJLdkZna2g2SlBqOFVYeEJXSV9tVFBtOGxPa0NsMUZnMWhJR3JTM0xpQ3I0bTIxaXpCU0cxSWZoREJPZ04zdmMzSWdGeGV3M3dxaDJ1c0FnMXJOZFZ0ZkMycXNGRDcwWDFGM3hOeGtvM2pzSXRHazZRN0pXY0h4?oc=5
MUTHOOTFIN,Muthoot Finance Limited,MUTHOOTFIN Share Price | Muthoot Finance Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMid0FVX3lxTE1FNkhiQ0JPYUY1eFV3eGxvcGRsc0dVNWZ0VWRVM1BhMEZzTVN5NVVHYzNQZHlUbU9SVjVzNHNJdXdQbHotalc4YXd2aXdkR2E0Nzhzb1lPdFNJb0t1NFBWY1EwUDVvWGt1STZZYnR2OExuLWdRM04w?oc=5"" target=""_blank"">MUTHOOTFIN Share Price | Muthoot Finance Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2024-02-13 22:27:52,Markets Mojo,https://news.google.com/rss/articles/CBMid0FVX3lxTE1FNkhiQ0JPYUY1eFV3eGxvcGRsc0dVNWZ0VWRVM1BhMEZzTVN5NVVHYzNQZHlUbU9SVjVzNHNJdXdQbHotalc4YXd2aXdkR2E0Nzhzb1lPdFNJb0t1NFBWY1EwUDVvWGt1STZZYnR2OExuLWdRM04w?oc=5
