scrip,company,headline,summary,published_date,source,url
URJA,Urja Global Limited,Urja Global shares jump 10% on forming JV with Solarmint Energies; details - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxNd0VpNE1CU0hnejNZek80VS04TkI3U1J6a0FCZWFyZl9HMkZ1T0wwZFhJNXZ6MHcyUDZfN3FCczR1Z1NrR1BqYU43azlDdHJQZTloT1JfcjhQaDc0TzVvdV9iTFl2bUpHanV6bHROM3F2cVQ5RVd5eFYwNUxfNVhYVHVFcUZwdUdGaWhRUGZCdC14ZmF1ekhlZFAtZG9xRHhTSnA4bXdCT0UxNmZxNTNxMjJiTFQ3OHE2TXFvRV91aUJzeFRWMFdFXzlBWWJVMnU2NnZwUEctaG1HdjJNd1J4NGtn0gHnAUFVX3lxTE50T0Z2eXY3eU00a3JfQ1QxSjVrbGlwRDc5NDB1WGtBUmJBNnU3R082UFBqTVVOQndzMUVuN0poWkVuVkVhOUJIdE44dE1mWVI4bjd3MHB3UFBZZWVMMElqeGtwYVZZYkNqTzRfcUd0M1BILVhvUDJBVkZIa1ZFT0FvWnVRcGVWY1gzMVJUc0lVelN0ZU9mc0VGLXJoaXF0NHRvOW4zS0F3T3JuTHlyQ1V0VjJHM3Nyenk3UmlQUGNtUnlEWWZFeWh0Wm5mYU5WUU44RUI3X0ZsckNHRnhGMmxOZFpTUDFfMA?oc=5"" target=""_blank"">Urja Global shares jump 10% on forming JV with Solarmint Energies; details</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-11-21 08:00:00,Business Standard,https://news.google.com/rss/articles/CBMi4gFBVV95cUxNd0VpNE1CU0hnejNZek80VS04TkI3U1J6a0FCZWFyZl9HMkZ1T0wwZFhJNXZ6MHcyUDZfN3FCczR1Z1NrR1BqYU43azlDdHJQZTloT1JfcjhQaDc0TzVvdV9iTFl2bUpHanV6bHROM3F2cVQ5RVd5eFYwNUxfNVhYVHVFcUZwdUdGaWhRUGZCdC14ZmF1ekhlZFAtZG9xRHhTSnA4bXdCT0UxNmZxNTNxMjJiTFQ3OHE2TXFvRV91aUJzeFRWMFdFXzlBWWJVMnU2NnZwUEctaG1HdjJNd1J4NGtn0gHnAUFVX3lxTE50T0Z2eXY3eU00a3JfQ1QxSjVrbGlwRDc5NDB1WGtBUmJBNnU3R082UFBqTVVOQndzMUVuN0poWkVuVkVhOUJIdE44dE1mWVI4bjd3MHB3UFBZZWVMMElqeGtwYVZZYkNqTzRfcUd0M1BILVhvUDJBVkZIa1ZFT0FvWnVRcGVWY1gzMVJUc0lVelN0ZU9mc0VGLXJoaXF0NHRvOW4zS0F3T3JuTHlyQ1V0VjJHM3Nyenk3UmlQUGNtUnlEWWZFeWh0Wm5mYU5WUU44RUI3X0ZsckNHRnhGMmxOZFpTUDFfMA?oc=5
URJA,Urja Global Limited,Urja Global Limited Reports Q2 Results Amid Regulatory Challenges - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxORUQ4bDBYVE5CWlZHc2tpUjJ0NEVxdjhCR2JEblBzdFp0TVhaWloxWXJsMmxfaFpYMllUV1BPczRuT2RwcklDTUwyQXp5cW5SaW8zWVdXM19MaUtTaXJDVGZhZkRJNW9reGxEaEY3Q21CekpDdmVfUnNXNVpmbVduTzRYRkUtdzdveWhZeV9nQklNOW5YdjNkRW00cnBCM2s2bW9tMmlQSlRqUlZORnZ6b0lXOWdrWV9Zb3AxRlNB?oc=5"" target=""_blank"">Urja Global Limited Reports Q2 Results Amid Regulatory Challenges</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-10-15 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMivgFBVV95cUxORUQ4bDBYVE5CWlZHc2tpUjJ0NEVxdjhCR2JEblBzdFp0TVhaWloxWXJsMmxfaFpYMllUV1BPczRuT2RwcklDTUwyQXp5cW5SaW8zWVdXM19MaUtTaXJDVGZhZkRJNW9reGxEaEY3Q21CekpDdmVfUnNXNVpmbVduTzRYRkUtdzdveWhZeV9nQklNOW5YdjNkRW00cnBCM2s2bW9tMmlQSlRqUlZORnZ6b0lXOWdrWV9Zb3AxRlNB?oc=5
URJA,Urja Global Limited,URJA Global Share Price Jumps 6% on Solar PV Joint Venture with Solarmint - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxOT1dHY1UyM0dITzdHcVV4c2xYLXVkeHkzSmpVWFpwV2twYnRfcEk1WVJHd240UzlqMERmclhJLVVVUDFCN0J0ZXo1enlFOWJzMmg3dXNNb21Gck1IYS1CUnpTSGdyUXBxMkxxRFRQNlRIVUdqYWx5eWdLZzdueE1XeHlLMEpoT2JzWEZ0WVJTYXlzQWp6?oc=5"" target=""_blank"">URJA Global Share Price Jumps 6% on Solar PV Joint Venture with Solarmint</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-11-21 08:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMilAFBVV95cUxOT1dHY1UyM0dITzdHcVV4c2xYLXVkeHkzSmpVWFpwV2twYnRfcEk1WVJHd240UzlqMERmclhJLVVVUDFCN0J0ZXo1enlFOWJzMmg3dXNNb21Gck1IYS1CUnpTSGdyUXBxMkxxRFRQNlRIVUdqYWx5eWdLZzdueE1XeHlLMEpoT2JzWEZ0WVJTYXlzQWp6?oc=5
URJA,Urja Global Limited,Urja Global Ltd is Rated Strong Sell - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxOblRmU1hPMmpISEY2UFMtRW5WdUtrX0hDZ3pFS2hWcjZWX214M0dXaVNFd2tqTmJUMl9fOUJ6WUVlWnhoQVk1NDM1NGxVMDlHa2tBQ3pRYlQ1WTdSQ0ZJRXRFNDJLb29NcmptZ2VUN0NucWk0WWtrek92RkhVcTA5V2JQNzRQSzREMDQxUGVLM0ZTMVFoNi12Q25nWU9zaEU?oc=5"" target=""_blank"">Urja Global Ltd is Rated Strong Sell</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-26 05:37:43,Markets Mojo,https://news.google.com/rss/articles/CBMinwFBVV95cUxOblRmU1hPMmpISEY2UFMtRW5WdUtrX0hDZ3pFS2hWcjZWX214M0dXaVNFd2tqTmJUMl9fOUJ6WUVlWnhoQVk1NDM1NGxVMDlHa2tBQ3pRYlQ1WTdSQ0ZJRXRFNDJLb29NcmptZ2VUN0NucWk0WWtrek92RkhVcTA5V2JQNzRQSzREMDQxUGVLM0ZTMVFoNi12Q25nWU9zaEU?oc=5
URJA,Urja Global Limited,Urja Global Q2 FY26: Profit Decline Amid Revenue Pressure Signals Operational Challenges - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxPSTJRSkU4VkgtZ1dnMkc2Um9ubXBLaFJCdWJSU0dhMlNscFFWTV9lQ29nVFo5NTJSZ1ZDQ1Mtc291MjlybDRzWFdsSjVTdmVfQ3prMXo0RWNtSHNlU3FkOV9TQlctUUlVazkwbFJXeXhkMXZKV1R1Z08xYV9JVDlLUDJfRDVKS0pRczh6WEUxMGVvdS1vT3BZYVJ0eWpKLXFrOUd1SjMtVWlpenRaeWpaYUZqSWVabXNDNkJjNXN4ZUVjbWJWY1RFckhMdURiakxEM2hqcjZFUVpwNXVh?oc=5"" target=""_blank"">Urja Global Q2 FY26: Profit Decline Amid Revenue Pressure Signals Operational Challenges</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-10-15 07:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMi3AFBVV95cUxPSTJRSkU4VkgtZ1dnMkc2Um9ubXBLaFJCdWJSU0dhMlNscFFWTV9lQ29nVFo5NTJSZ1ZDQ1Mtc291MjlybDRzWFdsSjVTdmVfQ3prMXo0RWNtSHNlU3FkOV9TQlctUUlVazkwbFJXeXhkMXZKV1R1Z08xYV9JVDlLUDJfRDVKS0pRczh6WEUxMGVvdS1vT3BZYVJ0eWpKLXFrOUd1SjMtVWlpenRaeWpaYUZqSWVabXNDNkJjNXN4ZUVjbWJWY1RFckhMdURiakxEM2hqcjZFUVpwNXVh?oc=5
URJA,Urja Global Limited,Urja Global Limited Forms Strategic Joint Venture with Solarmint Energies for Solar PV Module Manufacturing and Distribution - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMimAJBVV95cUxQcDU5YnhDQkUtWHZCaDBSZE4zeXBNeHpyeXk3NnNHd2lFd1VrZHVpc1ZjMFNJMmdPUWNfc21welFFbXBkVWNNOXV3dEk2NTVkdWtQb0lJd08yRk8yQ3N6ejlCbkdhREFHZkhfYTRWR3hHUm5BclhjQXZkVHY4MnhpOVRhYndiWS1kaThPTExVNWJ6aXVRTmsxXzdNclpSTmNUTzFZeTBrSVNwWjY3cFM2a25fZWRJX1BRUXFqMjdLV0hPbVhkQnR6U2oxd3ZfbVVaU25vNVJTYkQ0RlRoZFhOX1hWZHA5YUFnUzhCUlVwTTdSZC14ckdhNEZjLWY3VDJDdzZndlpkZ1RhcmRWaGlsYWdNWEpCNkQz?oc=5"" target=""_blank"">Urja Global Limited Forms Strategic Joint Venture with Solarmint Energies for Solar PV Module Manufacturing and Distribution</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-20 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMimAJBVV95cUxQcDU5YnhDQkUtWHZCaDBSZE4zeXBNeHpyeXk3NnNHd2lFd1VrZHVpc1ZjMFNJMmdPUWNfc21welFFbXBkVWNNOXV3dEk2NTVkdWtQb0lJd08yRk8yQ3N6ejlCbkdhREFHZkhfYTRWR3hHUm5BclhjQXZkVHY4MnhpOVRhYndiWS1kaThPTExVNWJ6aXVRTmsxXzdNclpSTmNUTzFZeTBrSVNwWjY3cFM2a25fZWRJX1BRUXFqMjdLV0hPbVhkQnR6U2oxd3ZfbVVaU25vNVJTYkQ0RlRoZFhOX1hWZHA5YUFnUzhCUlVwTTdSZC14ckdhNEZjLWY3VDJDdzZndlpkZ1RhcmRWaGlsYWdNWEpCNkQz?oc=5
URJA,Urja Global Limited,"Urja Global Reports Q1 FY2026 Results, Plans $500M Fundraising Amid Regulatory Challenges - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxOTG84R1N1UjVIdTdpM2dSNEtDbDc4WU5jUlZFWEtKeFYwMlFSblA1LWcwdnViV21oU0IzSUFTV3RTWWIxYk16YWdsTFJtXzRoMlNEd3JjcDdvSHBJbmpRRHJQbFFDaXdKNEFUQ195TlhlUmx2ZDBROFoyWnhEUEtaejBXLUVxNlF4ZlJTa2wzblNXTzRXM2FMeTZvZ3BQWHpfdG45WEMtVHI3RGYxYUZPUF9BOVlxbDlqMWVLLXQ4c1ZBWGNkTERrUWxJaGpsVGpiQV9kX3RuWEVfTjA?oc=5"" target=""_blank"">Urja Global Reports Q1 FY2026 Results, Plans $500M Fundraising Amid Regulatory Challenges</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-08-02 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi2wFBVV95cUxOTG84R1N1UjVIdTdpM2dSNEtDbDc4WU5jUlZFWEtKeFYwMlFSblA1LWcwdnViV21oU0IzSUFTV3RTWWIxYk16YWdsTFJtXzRoMlNEd3JjcDdvSHBJbmpRRHJQbFFDaXdKNEFUQ195TlhlUmx2ZDBROFoyWnhEUEtaejBXLUVxNlF4ZlJTa2wzblNXTzRXM2FMeTZvZ3BQWHpfdG45WEMtVHI3RGYxYUZPUF9BOVlxbDlqMWVLLXQ4c1ZBWGNkTERrUWxJaGpsVGpiQV9kX3RuWEVfTjA?oc=5
URJA,Urja Global Limited,Urja Global Limited Strengthens Governance with Audit Committee Reshuffle - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxNUHc4czVvZHN3dmNmMk8zdkkxNVZ1VlUtdVBfVkE1TUZrQnJGNWhJT3lCWHpEMU1nTG5HQXZwSnBXR3FKTVNPUG5pWjRNZXdia3czZ3l6NnFGS0E5TklURGdRX2IyenlPRmRMVHhyckg0WVptVW9RMDd1NVhheTB3TnNyYnhHQWxrdEVMT0JDTnQ3X3BzdURmWlZjUW1hS1VXVFZQMVBMNV9nV2xGNTloa2FiQ2NkWlJObFFMU3JDTk55QU5yMnc?oc=5"" target=""_blank"">Urja Global Limited Strengthens Governance with Audit Committee Reshuffle</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-10-15 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMixgFBVV95cUxNUHc4czVvZHN3dmNmMk8zdkkxNVZ1VlUtdVBfVkE1TUZrQnJGNWhJT3lCWHpEMU1nTG5HQXZwSnBXR3FKTVNPUG5pWjRNZXdia3czZ3l6NnFGS0E5TklURGdRX2IyenlPRmRMVHhyckg0WVptVW9RMDd1NVhheTB3TnNyYnhHQWxrdEVMT0JDTnQ3X3BzdURmWlZjUW1hS1VXVFZQMVBMNV9nV2xGNTloa2FiQ2NkWlJObFFMU3JDTk55QU5yMnc?oc=5
URJA,Urja Global Limited,"Urja Global Standalone September 2025 Net Sales at Rs 15.41 crore, up 21.03% Y-o-Y - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxPQTd5U1I5RHY2OWU3aUtUMW5HbXNsTTVVTXlESUpNLUtqX1NDVFNqeUhIdlVwemlKVFFncDVPMjlCQ2lVM2dUYmxnV0htbVFBV2p6Q3pYajN2YUU2eElWLVdDTEswZmZkZzdpdDNpcENoZGFWRzc2anNVZWd4aWNxSU90VGlieEFYS1JoMDk2NlNEazdpWV9FcFNrVnh5Ym5DbFcxZ2hxM3FMWC14VnlyTExDZzVoakxWNkRRc3U4Y05naWRldmxpT2h1RFpYYWpMZW5ZX0w0Yk0wUGtVTGFJ0gHkAUFVX3lxTE0wM01rbzVvQzNmc0dNWlo3OHRROEV1UHJRZFgtUTlJUWZuMWlVN2l2RGFMWUtURTVZV2phVGdVMmlGZjRWRmRMdUtiSHhqZlRqaTRteGJZS3pMYm1mSTg1czFUbGo0SV9wY0NUemNKVlRkSUo5bGhLRlhHRWQ2ak10dFJIZDc0bUZtTjhpb3YxaE1UUGZZeUtKR3pwYVRNX1VnX3BrWk1TWWhFUWRpelU0Nlo4LTZTZFluWmhpcWQ2ZlluWFVMTmZEdXZ5dlZDb0pfZ2w1cW1hSUR3Ylo3cHRNcGxWNg?oc=5"" target=""_blank"">Urja Global Standalone September 2025 Net Sales at Rs 15.41 crore, up 21.03% Y-o-Y</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2025-10-16 07:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi3wFBVV95cUxPQTd5U1I5RHY2OWU3aUtUMW5HbXNsTTVVTXlESUpNLUtqX1NDVFNqeUhIdlVwemlKVFFncDVPMjlCQ2lVM2dUYmxnV0htbVFBV2p6Q3pYajN2YUU2eElWLVdDTEswZmZkZzdpdDNpcENoZGFWRzc2anNVZWd4aWNxSU90VGlieEFYS1JoMDk2NlNEazdpWV9FcFNrVnh5Ym5DbFcxZ2hxM3FMWC14VnlyTExDZzVoakxWNkRRc3U4Y05naWRldmxpT2h1RFpYYWpMZW5ZX0w0Yk0wUGtVTGFJ0gHkAUFVX3lxTE0wM01rbzVvQzNmc0dNWlo3OHRROEV1UHJRZFgtUTlJUWZuMWlVN2l2RGFMWUtURTVZV2phVGdVMmlGZjRWRmRMdUtiSHhqZlRqaTRteGJZS3pMYm1mSTg1czFUbGo0SV9wY0NUemNKVlRkSUo5bGhLRlhHRWQ2ak10dFJIZDc0bUZtTjhpb3YxaE1UUGZZeUtKR3pwYVRNX1VnX3BrWk1TWWhFUWRpelU0Nlo4LTZTZFluWmhpcWQ2ZlluWFVMTmZEdXZ5dlZDb0pfZ2w1cW1hSUR3Ylo3cHRNcGxWNg?oc=5
URJA,Urja Global Limited,Urja Global Q2 FY26: Profitability Plunges as Revenue Contracts Sharply - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxQTUZab1o0ci01VGFQeXZxUmFqZDR1aUVnQlZFVjJxMlVvN2tQUUNfRW9XaW5yaEhaeWJZVkhHU2VaQ1hmWFpOR1owbDJ1YkNSa3dQeWVobVJFQWNZcHVNUk1PNzVPU29ZemVQRjViU1U4Z1U0U1R3bjZod3dkOHN1RnVkRWdsWFJWeE5Wc2FVWUpvNmthODl6bUFVZ0MxaEhwbVNYaE85Tzh3RnJIeFFXRm1OZ2xhWU1fT0dseDVsaVBxeFM3U2c?oc=5"" target=""_blank"">Urja Global Q2 FY26: Profitability Plunges as Revenue Contracts Sharply</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-02 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMixgFBVV95cUxQTUZab1o0ci01VGFQeXZxUmFqZDR1aUVnQlZFVjJxMlVvN2tQUUNfRW9XaW5yaEhaeWJZVkhHU2VaQ1hmWFpOR1owbDJ1YkNSa3dQeWVobVJFQWNZcHVNUk1PNzVPU29ZemVQRjViU1U4Z1U0U1R3bjZod3dkOHN1RnVkRWdsWFJWeE5Wc2FVWUpvNmthODl6bUFVZ0MxaEhwbVNYaE85Tzh3RnJIeFFXRm1OZ2xhWU1fT0dseDVsaVBxeFM3U2c?oc=5
URJA,Urja Global Limited,Global Energy Crisis: Can Urja Global Ltd Offer Stability And Growth To Investors? - Samco,"<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxPbVpXWTdLbFlVbnhvRy1WUl9QdW5UTURFb0xNTmRkMFVxYmp1SFRIUUJRdlpDaWVYcFU4YkNLTHBZMUxrNVhwV1dPY0tNd0h5QldMbm5UdDhYN0M5SjV5dWU2bHE2YVhfTjZ3S1NjV3ZWb3JNaUl1aGFZR19PcUtWdHVtMHhHcl94N1NEcFRUcnJmdU0wSUNNdmU5eXk0V21SVjUxekFRdnVKUXM?oc=5"" target=""_blank"">Global Energy Crisis: Can Urja Global Ltd Offer Stability And Growth To Investors?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Samco</font>",2024-03-06 08:00:00,Samco,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPbVpXWTdLbFlVbnhvRy1WUl9QdW5UTURFb0xNTmRkMFVxYmp1SFRIUUJRdlpDaWVYcFU4YkNLTHBZMUxrNVhwV1dPY0tNd0h5QldMbm5UdDhYN0M5SjV5dWU2bHE2YVhfTjZ3S1NjV3ZWb3JNaUl1aGFZR19PcUtWdHVtMHhHcl94N1NEcFRUcnJmdU0wSUNNdmU5eXk0V21SVjUxekFRdnVKUXM?oc=5
URJA,Urja Global Limited,Urja Global shares hit 5% upper circuit after posting Q3FY25 results - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxPcjJFdEtudkJPLWs1VGRTdmQwcDFGTU4wNjN4T0IxbVJ3TzROUEdrZEt4QjZFSzFPMEJYejBFQnVVdnZYZEM4cHM3MmQ3YkF0a0JRMWVuaHNUbDRtaXF4Z25hVzhCcHA5ck00UkZTZThyTy1UQVpWMnJiYzNETWpHVXphOWY4LVE3MFRWa1YzMkJrWVdxYlg4SmxLVnc0VFgzRU1vc00xUWhoVEp6TVFuNC1rZHZ2VW5aMFJGMWt1aXJHMXhuNUJRajlscDdQbmfSAdQBQVVfeXFMTzFxM1dDcWFfMkhzQWhCTmkzMUVPR0dHTXVXSTZ6Z3dvS2ZLeUxPVkVVR0Q3enZMaXlyUTNoeUxoM0J6OFltZk1vOXgzdnlmUEFzV1JCRmlMT05LallLR3pIMWtmOTNkRUY2RThiOW9ZN3VSSXpPVUJTeWM5SkVkZEluVW9zSy1renBmWTYtQk9nUG5qVWh3c01rNFE1dFNBSUtmb25vcnM0TGVKWjhqNmFDX1VLbUxYd1pScDlkREp3bU9IYkFaNS1rSEhJWmMxTWU1clM?oc=5"" target=""_blank"">Urja Global shares hit 5% upper circuit after posting Q3FY25 results</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-01-14 08:00:00,Business Standard,https://news.google.com/rss/articles/CBMizwFBVV95cUxPcjJFdEtudkJPLWs1VGRTdmQwcDFGTU4wNjN4T0IxbVJ3TzROUEdrZEt4QjZFSzFPMEJYejBFQnVVdnZYZEM4cHM3MmQ3YkF0a0JRMWVuaHNUbDRtaXF4Z25hVzhCcHA5ck00UkZTZThyTy1UQVpWMnJiYzNETWpHVXphOWY4LVE3MFRWa1YzMkJrWVdxYlg4SmxLVnc0VFgzRU1vc00xUWhoVEp6TVFuNC1rZHZ2VW5aMFJGMWt1aXJHMXhuNUJRajlscDdQbmfSAdQBQVVfeXFMTzFxM1dDcWFfMkhzQWhCTmkzMUVPR0dHTXVXSTZ6Z3dvS2ZLeUxPVkVVR0Q3enZMaXlyUTNoeUxoM0J6OFltZk1vOXgzdnlmUEFzV1JCRmlMT05LallLR3pIMWtmOTNkRUY2RThiOW9ZN3VSSXpPVUJTeWM5SkVkZEluVW9zSy1renBmWTYtQk9nUG5qVWh3c01rNFE1dFNBSUtmb25vcnM0TGVKWjhqNmFDX1VLbUxYd1pScDlkREp3bU9IYkFaNS1rSEhJWmMxTWU1clM?oc=5
URJA,Urja Global Limited,"SEBI Slaps Rs90 Lakh Penalty on Urja Global, Top Executives for Misleading Disclosures - Moneylife","<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxNSGhkOVFXX0hQeDVWQ29kZVpBbkVqYmlWdHJGTGNSVzg3M25iWHJDYUdDbzZzZW5FdlV5NGhZYTRnX0NGOVh0bFVRTndZbUxkMVNDZTkxbnhQV3A5Q1c5QlZnMlRRWEY5RnI4a3FNM08zSjB2R0RNZWxiY3AxLWdjQzNITnNGVHBjcTdJeFBuM0JjYm1DbUh0VUFLTDE5U2huakpwYUlSOEd2UkRhMTRUREdxVmppVGd2Ml9xRFdNZ3NuX3FsUE1BWQ?oc=5"" target=""_blank"">SEBI Slaps Rs90 Lakh Penalty on Urja Global, Top Executives for Misleading Disclosures</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneylife</font>",2025-01-30 08:00:00,Moneylife,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNSGhkOVFXX0hQeDVWQ29kZVpBbkVqYmlWdHJGTGNSVzg3M25iWHJDYUdDbzZzZW5FdlV5NGhZYTRnX0NGOVh0bFVRTndZbUxkMVNDZTkxbnhQV3A5Q1c5QlZnMlRRWEY5RnI4a3FNM08zSjB2R0RNZWxiY3AxLWdjQzNITnNGVHBjcTdJeFBuM0JjYm1DbUh0VUFLTDE5U2huakpwYUlSOEd2UkRhMTRUREdxVmppVGd2Ml9xRFdNZ3NuX3FsUE1BWQ?oc=5
URJA,Urja Global Limited,Urja Global Sees Revision in Market Assessment Amidst Challenging Fundamentals - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxPMlFtcGZ1LUQzREpaYmVYMXlqaWhNWjNfalB2WUVfeXJIVG9OZF9UbjlPdzkwd1p3OThldjlrSnN2Tm1kZ1NOdkM1d010bEhFWTRlbWRTZUpPSGFQTnp0NnI5eDgwdmJIejFrX0J2emhHLS1la0ZnY2V0WUxJdmt6Q3VhaFl4bm9SSVpvendYY0w4d2hYaEx0aGxYZmtCQlVPc0xadUsyX0E3VFowQldvSFg3Mm90UFZmalRTTjZCSGtuT1hXOF9hVkNNVWZHaHZVYUt4X0ZhVkIxUQ?oc=5"" target=""_blank"">Urja Global Sees Revision in Market Assessment Amidst Challenging Fundamentals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-12-01 07:10:14,Markets Mojo,https://news.google.com/rss/articles/CBMi2gFBVV95cUxPMlFtcGZ1LUQzREpaYmVYMXlqaWhNWjNfalB2WUVfeXJIVG9OZF9UbjlPdzkwd1p3OThldjlrSnN2Tm1kZ1NOdkM1d010bEhFWTRlbWRTZUpPSGFQTnp0NnI5eDgwdmJIejFrX0J2emhHLS1la0ZnY2V0WUxJdmt6Q3VhaFl4bm9SSVpvendYY0w4d2hYaEx0aGxYZmtCQlVPc0xadUsyX0E3VFowQldvSFg3Mm90UFZmalRTTjZCSGtuT1hXOF9hVkNNVWZHaHZVYUt4X0ZhVkIxUQ?oc=5
URJA,Urja Global Limited,Urja Global Shares Hit Upper Circuit On Pre-launch Of New e-Scooter - NDTV Profit,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxNM2FBWEF0MUhTdWdkdi1tYTR6bGVsdjQtWVhtNDd1MDBDd2ZmTnk4bmoyRXZyUlZzcEVTZVVubThVVFR1U0hEeUJDSlJSQVVUbnU2Qi1yNVRDb0h0dExaOWs4RHppeTVELS1PRmNMZG5QT0tETkNURURONzNCUml6UWtuZXVlRXJDQjBkYi00Y2k5T0hlZXFYQjktQnRfemFXcjBDVEdGSEg4VVRXVXB30gG3AUFVX3lxTE10ODVac3hpUzJ0ajNJOGJQVGdfTE9tc0VJSkVlZlRBQUZLM25iaG1WTnlwTjJRQnZ5YXF0WnMwVVV2a0hlTldGVkdFWmkybi10SzlrUkVodE9uRkZOV1lMN1BHaXpYWmo4bTY0LTVDMjNjeEIzN2J1ek5QaWo4MUowMEFIdVVrTnFEOUJlSVNzYmlUWnMtWGJoWmptLVdrbUhOaTVjMmIyX1lXR1pXRXlDUWdCdmxXRQ?oc=5"" target=""_blank"">Urja Global Shares Hit Upper Circuit On Pre-launch Of New e-Scooter</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV Profit</font>",2024-08-19 07:00:00,NDTV Profit,https://news.google.com/rss/articles/CBMirwFBVV95cUxNM2FBWEF0MUhTdWdkdi1tYTR6bGVsdjQtWVhtNDd1MDBDd2ZmTnk4bmoyRXZyUlZzcEVTZVVubThVVFR1U0hEeUJDSlJSQVVUbnU2Qi1yNVRDb0h0dExaOWs4RHppeTVELS1PRmNMZG5QT0tETkNURURONzNCUml6UWtuZXVlRXJDQjBkYi00Y2k5T0hlZXFYQjktQnRfemFXcjBDVEdGSEg4VVRXVXB30gG3AUFVX3lxTE10ODVac3hpUzJ0ajNJOGJQVGdfTE9tc0VJSkVlZlRBQUZLM25iaG1WTnlwTjJRQnZ5YXF0WnMwVVV2a0hlTldGVkdFWmkybi10SzlrUkVodE9uRkZOV1lMN1BHaXpYWmo4bTY0LTVDMjNjeEIzN2J1ek5QaWo4MUowMEFIdVVrTnFEOUJlSVNzYmlUWnMtWGJoWmptLVdrbUhOaTVjMmIyX1lXR1pXRXlDUWdCdmxXRQ?oc=5
