scrip,company,headline,summary,published_date,source,url
CHALET,Chalet Hotels Limited,Chalet Hotels among top two sustainable hospitality players in the world - Hotelier India,"<a href=""https://news.google.com/rss/articles/CBMicEFVX3lxTE9iYVBBdzQ1QTVQeTVCMEdsaVBBbkJBOFhjWVhzQ0ZuOXhkdkZMcURqaUFZVWY4aGdYTlpzMGRQLWFvakRkSTFGRDVwQkJ0LXF5SnI5cm5vXzlJbnZJSk5FX195TDBZSEFLZHhMSlUzZ3g?oc=5"" target=""_blank"">Chalet Hotels among top two sustainable hospitality players in the world</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hotelier India</font>",2026-03-03 06:00:00,Hotelier India,https://news.google.com/rss/articles/CBMicEFVX3lxTE9iYVBBdzQ1QTVQeTVCMEdsaVBBbkJBOFhjWVhzQ0ZuOXhkdkZMcURqaUFZVWY4aGdYTlpzMGRQLWFvakRkSTFGRDVwQkJ0LXF5SnI5cm5vXzlJbnZJSk5FX195TDBZSEFLZHhMSlUzZ3g?oc=5
CHALET,Chalet Hotels Limited,Why We're Not Concerned About Chalet Hotels Limited's (NSE:CHALET) Share Price - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxQUHJRZUhQSFdmWWExVU94dFZKTnJBcEp0eUhxZTVFMEVSczZVREtBeWVPTExhcWlvcHdXRjdxaDg5dE0waE1lZDhXVXBvanBfQ0pXRGRUTFFvY0VSSnRtdXlZbEdGY1dNS0NOLXVUMVUxMnRDeFItay04aW1PQW1yU3hZcldpT1poWHhJZ0VWdDloQzBxUTlJZHlWRGFva0hlZnpaMEJhajlXZU8tREw5X2lyXzZyREFBbHJScG9tTFRMeUtlOU13WDgxb0QxbFZaeUxGakxJS1VOOThVSktSNQ?oc=5"" target=""_blank"">Why We're Not Concerned About Chalet Hotels Limited's (NSE:CHALET) Share Price</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-10-14 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4AFBVV95cUxQUHJRZUhQSFdmWWExVU94dFZKTnJBcEp0eUhxZTVFMEVSczZVREtBeWVPTExhcWlvcHdXRjdxaDg5dE0waE1lZDhXVXBvanBfQ0pXRGRUTFFvY0VSSnRtdXlZbEdGY1dNS0NOLXVUMVUxMnRDeFItay04aW1PQW1yU3hZcldpT1poWHhJZ0VWdDloQzBxUTlJZHlWRGFva0hlZnpaMEJhajlXZU8tREw5X2lyXzZyREFBbHJScG9tTFRMeUtlOU13WDgxb0QxbFZaeUxGakxJS1VOOThVSktSNQ?oc=5
CHALET,Chalet Hotels Limited,Chalet Hotels Ltd Faces Bearish Momentum Amid Technical Downgrade - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxNOGw1TGNCMTBGQXdIdGkxOEdHWVl0WjRPSDlaVlB5YTk0V3ltdmtJT0Z3c1NQZjNnUjBVOWFqQ3p0MDZFS25RM2VuR0pxOXFTUHNRY0duSF9PNWMta2ZHYVFDeERjbkF6anU2clJjZzRGNGh1WlRJZ0gzdExaYWpBaC1NN1pBenZKUlBEcWY5S08yY2NzOTgzUFBiRXEtUFVERWJfUTFVcmV6YlpmQ0VRRVpFZFhCXzlSeVpjaUlVTGc?oc=5"" target=""_blank"">Chalet Hotels Ltd Faces Bearish Momentum Amid Technical Downgrade</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-20 05:00:25,Markets Mojo,https://news.google.com/rss/articles/CBMiwAFBVV95cUxNOGw1TGNCMTBGQXdIdGkxOEdHWVl0WjRPSDlaVlB5YTk0V3ltdmtJT0Z3c1NQZjNnUjBVOWFqQ3p0MDZFS25RM2VuR0pxOXFTUHNRY0duSF9PNWMta2ZHYVFDeERjbkF6anU2clJjZzRGNGh1WlRJZ0gzdExaYWpBaC1NN1pBenZKUlBEcWY5S08yY2NzOTgzUFBiRXEtUFVERWJfUTFVcmV6YlpmQ0VRRVpFZFhCXzlSeVpjaUlVTGc?oc=5
CHALET,Chalet Hotels Limited,Chalet Hotels share price surges over 4% in overall weak market; here's why - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxORVpHVVRveHlzSE5FdnZBWml3VjdDSENQNGdaM1ZyM0QtejZCTGZHc0phdXpkRXp4b2V2LWdzWXZpcUJUaWgtWkhsRlktVGFtRHFUcVQtVzgzZ0dtNUNtZEEzeGJuQWRHWkNZOTE2dUl3TVlJN0xhelUySi1kMUtTbXRhR0QwdEo0QWFhVEs0MmthSkdvUXBSOXpUVHRsYlZBWVBqaTBybFBHdnZUUS1SYzR2NEFIYTdldU53ZklhbDI4dWZLUFpNSGczdXB6LVp2SU1TbXpWSdIB3AFBVV95cUxQYVljMFVrMGlzOTBBTkQzX2N2ekVJMEpaT29Nekxma0VHT3ZnaFpwZHJpOFlaLVFTX001ZjhTUDZuS2EzLXR4OEFtRUdvcW9wdnB0eGl6Q2otVjl3d0FnNEt6dFBCZ0V5Uk92ZEMxWklQWVB3ZkF6YnhmQ3U5dEt5S3BNaUJGMUotYS0tdVdyajJlNFlnMXJQUloyUk1WaU41Tks0Q2VIYUh3VFZsS0tzRkFRQTFWaUN5cnlJVVFUNXR1SmVSdWtxanRLT1l4bXQxUlFLZzEzbkJob2JB?oc=5"" target=""_blank"">Chalet Hotels share price surges over 4% in overall weak market; here's why</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-12-03 08:00:00,Business Standard,https://news.google.com/rss/articles/CBMi1wFBVV95cUxORVpHVVRveHlzSE5FdnZBWml3VjdDSENQNGdaM1ZyM0QtejZCTGZHc0phdXpkRXp4b2V2LWdzWXZpcUJUaWgtWkhsRlktVGFtRHFUcVQtVzgzZ0dtNUNtZEEzeGJuQWRHWkNZOTE2dUl3TVlJN0xhelUySi1kMUtTbXRhR0QwdEo0QWFhVEs0MmthSkdvUXBSOXpUVHRsYlZBWVBqaTBybFBHdnZUUS1SYzR2NEFIYTdldU53ZklhbDI4dWZLUFpNSGczdXB6LVp2SU1TbXpWSdIB3AFBVV95cUxQYVljMFVrMGlzOTBBTkQzX2N2ekVJMEpaT29Nekxma0VHT3ZnaFpwZHJpOFlaLVFTX001ZjhTUDZuS2EzLXR4OEFtRUdvcW9wdnB0eGl6Q2otVjl3d0FnNEt6dFBCZ0V5Uk92ZEMxWklQWVB3ZkF6YnhmQ3U5dEt5S3BNaUJGMUotYS0tdVdyajJlNFlnMXJQUloyUk1WaU41Tks0Q2VIYUh3VFZsS0tzRkFRQTFWaUN5cnlJVVFUNXR1SmVSdWtxanRLT1l4bXQxUlFLZzEzbkJob2JB?oc=5
CHALET,Chalet Hotels Limited,Chalet Hotels: Can the hotel stock break its 52 week high? - Trade Brains,"<a href=""https://news.google.com/rss/articles/CBMihwFBVV95cUxOdFVUZmJQMU1OX0RvRGF6V1pfdzRnZzNXdWVzbUk2NW1Id1hYTjU2amE1ckJVdTFzcnoyQ0huYzJRTUZvOHpXZV9jRVdJRHNQbW5ZMUhtMllPRm9vSks4XzhkM2tkRm4yaDZYeWRPZndVZzIwMWYzNGFqelhpTnlRSXRfUUV1cWc?oc=5"" target=""_blank"">Chalet Hotels: Can the hotel stock break its 52 week high?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Trade Brains</font>",2026-02-09 08:00:00,Trade Brains,https://news.google.com/rss/articles/CBMihwFBVV95cUxOdFVUZmJQMU1OX0RvRGF6V1pfdzRnZzNXdWVzbUk2NW1Id1hYTjU2amE1ckJVdTFzcnoyQ0huYzJRTUZvOHpXZV9jRVdJRHNQbW5ZMUhtMllPRm9vSks4XzhkM2tkRm4yaDZYeWRPZndVZzIwMWYzNGFqelhpTnlRSXRfUUV1cWc?oc=5
CHALET,Chalet Hotels Limited,Chalet Hotels Reports Strong Q3 FY26 Performance with 27% Revenue Growth - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxPMTlLcmlucGtUVFNrV0VDWFlUZlp5aDRwc3ZORnY1d3dVbV82eEdIaFJGMmp0NzA0N0EyTmF4SnRDT0ZjYTUyc0dOSjVGT2RxRzZsUm8tSDZ0TUdBTzFRMUszT05Hc3RRYld0RFpwSENNdlpGZWZISVA1dW9OSHRVcTRIMU8yaXc5YlhDUXlmNnZwVGdWbHlDWXpZTjRSZWFmSUt4TExXTUQ4ZjRSRHJDMVVTZmlKUUNoRHBON0d6dWYtYkZNZmc?oc=5"" target=""_blank"">Chalet Hotels Reports Strong Q3 FY26 Performance with 27% Revenue Growth</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-09 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMixgFBVV95cUxPMTlLcmlucGtUVFNrV0VDWFlUZlp5aDRwc3ZORnY1d3dVbV82eEdIaFJGMmp0NzA0N0EyTmF4SnRDT0ZjYTUyc0dOSjVGT2RxRzZsUm8tSDZ0TUdBTzFRMUszT05Hc3RRYld0RFpwSENNdlpGZWZISVA1dW9OSHRVcTRIMU8yaXc5YlhDUXlmNnZwVGdWbHlDWXpZTjRSZWFmSUt4TExXTUQ4ZjRSRHJDMVVTZmlKUUNoRHBON0d6dWYtYkZNZmc?oc=5
CHALET,Chalet Hotels Limited,Chalet Hotels shares surge over 4% after company launches Athiva Hotels & Resorts - Upstox,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxOVWxwNFZ3ZDdUcE9DZFdQeGNaNkNUejJmbF9oR1ZpUGdwQmlZQk1pSjVwUlFfZjRweDVZOE1QeXpxT2JPcGtvYTBWOHRON1F4Z3p2UUVZRGRRdHhkY3VRVmVjQVVFQ0Z3eE1SQktWMTdLem16UXN0WlZxZ1NLZGJUSDh6Q0VKZFE5N3ZMS2NnWWhmQzZ0WHZ1T0VHMXJUaFlKc2RTQmJqNXItS013b1FOcWh6VmxIWmplcm90YkNOVWVMVVRnVHJyRmFpTHJhNXpBaTJCa0hNVmw?oc=5"" target=""_blank"">Chalet Hotels shares surge over 4% after company launches Athiva Hotels & Resorts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2025-12-02 08:00:00,Upstox,https://news.google.com/rss/articles/CBMi2AFBVV95cUxOVWxwNFZ3ZDdUcE9DZFdQeGNaNkNUejJmbF9oR1ZpUGdwQmlZQk1pSjVwUlFfZjRweDVZOE1QeXpxT2JPcGtvYTBWOHRON1F4Z3p2UUVZRGRRdHhkY3VRVmVjQVVFQ0Z3eE1SQktWMTdLem16UXN0WlZxZ1NLZGJUSDh6Q0VKZFE5N3ZMS2NnWWhmQzZ0WHZ1T0VHMXJUaFlKc2RTQmJqNXItS013b1FOcWh6VmxIWmplcm90YkNOVWVMVVRnVHJyRmFpTHJhNXpBaTJCa0hNVmw?oc=5
CHALET,Chalet Hotels Limited,Chalet Hotels Launches Athiva Brand With Six Premium Properties Across India - India Infoline,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxOWmV4aWdlTGhucHMzSi02QXZoYTNBaHNpcjQ4UHlpenJOSEVTTlhMYTdxc1VobVRNX19vWWRFdEh1UGpSNkRpOXVpNkQ2ZkpOdExUUUpPZTZWR0dVSGllQXlvekVWbUxrYUI4UEhSQmhPNkRDRXVHY2VyWUpxcXgtSjZ4QnNFZElXUXVpbkw2Tk4yNWlONGpkd3ZjUElzQXJpTDBiSzB4VHpzSFZvbDBGek83WHdDMk96SndLY2d3?oc=5"" target=""_blank"">Chalet Hotels Launches Athiva Brand With Six Premium Properties Across India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Infoline</font>",2025-12-04 08:00:00,India Infoline,https://news.google.com/rss/articles/CBMivgFBVV95cUxOWmV4aWdlTGhucHMzSi02QXZoYTNBaHNpcjQ4UHlpenJOSEVTTlhMYTdxc1VobVRNX19vWWRFdEh1UGpSNkRpOXVpNkQ2ZkpOdExUUUpPZTZWR0dVSGllQXlvekVWbUxrYUI4UEhSQmhPNkRDRXVHY2VyWUpxcXgtSjZ4QnNFZElXUXVpbkw2Tk4yNWlONGpkd3ZjUElzQXJpTDBiSzB4VHpzSFZvbDBGek83WHdDMk96SndLY2d3?oc=5
CHALET,Chalet Hotels Limited,Chalet Hotels Q1FY26 Profit Soars 235%; Stock Jumps 8% - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxONmk0ZXhJUGZhaVJzUExkTkJDQ0JrS0lJbG1xcW1hOTZTV184NjFGMWVsNF9uZncyamVaYWd4dXVLS2FNY3ZET1FYZUNDNmlRdjB5dkxMZEpqRFlsRl9jTGtieHo4R1Y3VU5WeFRIamxEbnEybC1XT0tCdUdjUkM1QVhMcFBLWFdYMjhLckxfbjBFYWFVT3RZYTRNZU0?oc=5"" target=""_blank"">Chalet Hotels Q1FY26 Profit Soars 235%; Stock Jumps 8%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-08-01 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMinAFBVV95cUxONmk0ZXhJUGZhaVJzUExkTkJDQ0JrS0lJbG1xcW1hOTZTV184NjFGMWVsNF9uZncyamVaYWd4dXVLS2FNY3ZET1FYZUNDNmlRdjB5dkxMZEpqRFlsRl9jTGtieHo4R1Y3VU5WeFRIamxEbnEybC1XT0tCdUdjUkM1QVhMcFBLWFdYMjhLckxfbjBFYWFVT3RZYTRNZU0?oc=5
CHALET,Chalet Hotels Limited,"Chalet Hotels Limited Just Beat Analyst Forecasts, And Analysts Have Been Updating Their Predictions - simplywall.st","<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxOTkpoNlg5UURFLUhHRFhkcXN2c3UtX1Bid3JlTU9QMy1wcHlLbVU5RWtEQi1Edld2ZXhIY2pzcExSTVRXQjYyZlczaWdzZHZOQ1pzUUpKbjBFYklsTEl5RWZnc2pVWGw5UzA1WjVycDFvOVZQMEhKRkpWd1AwelhaNGpWT21neFpnRVRYeVBkZmJfajBfRjR1c3h3TFIzZ0c0dW5EUGItdUZHQlRRLXlwNjc5QmItS0FHY1Z5bk45WWVheVB6TFJnaEJvTnN6bmpaNW1LdFNhcmZmY2NDRW9LUtIB5gFBVV95cUxPeTU0ODRLWEVKUVcxUkZzT204S2lwR0xzMU8xc0FIUUc2MmM0R2RzZG1EVmZWT0ZyaTkydTJuc1gzVHVRNTJEbjlBdHBzS09QSEN6cEtIZl9paFFEMzB3WE9iMDAtYWJkNWxpUXhLY3pKdS0wLVB6b2FHT0F3NUN0Vi1PYUJha3Y3d21GcE14RU1qdEZ5a3VXbmdaRncta3ZPdHRrbHpodkRrMVU1YlBqTERyeE55TFJqVEhlaG15Yk9MZ081MmJzSWQ4RTc0VXBrcllNMC1CWG9qeHExMVVnZmtmdHd5QQ?oc=5"" target=""_blank"">Chalet Hotels Limited Just Beat Analyst Forecasts, And Analysts Have Been Updating Their Predictions</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-05 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4AFBVV95cUxOTkpoNlg5UURFLUhHRFhkcXN2c3UtX1Bid3JlTU9QMy1wcHlLbVU5RWtEQi1Edld2ZXhIY2pzcExSTVRXQjYyZlczaWdzZHZOQ1pzUUpKbjBFYklsTEl5RWZnc2pVWGw5UzA1WjVycDFvOVZQMEhKRkpWd1AwelhaNGpWT21neFpnRVRYeVBkZmJfajBfRjR1c3h3TFIzZ0c0dW5EUGItdUZHQlRRLXlwNjc5QmItS0FHY1Z5bk45WWVheVB6TFJnaEJvTnN6bmpaNW1LdFNhcmZmY2NDRW9LUtIB5gFBVV95cUxPeTU0ODRLWEVKUVcxUkZzT204S2lwR0xzMU8xc0FIUUc2MmM0R2RzZG1EVmZWT0ZyaTkydTJuc1gzVHVRNTJEbjlBdHBzS09QSEN6cEtIZl9paFFEMzB3WE9iMDAtYWJkNWxpUXhLY3pKdS0wLVB6b2FHT0F3NUN0Vi1PYUJha3Y3d21GcE14RU1qdEZ5a3VXbmdaRncta3ZPdHRrbHpodkRrMVU1YlBqTERyeE55TFJqVEhlaG15Yk9MZ081MmJzSWQ4RTc0VXBrcllNMC1CWG9qeHExMVVnZmtmdHd5QQ?oc=5
CHALET,Chalet Hotels Limited,Chalet Hotels Ltd Technical Momentum Shifts Amid Mixed Market Signals - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxQdXdaeFlYTkNBM2lBRm5hT2ZBY0JiUHhQQ2RuUDZEWlNic2lJLVEtLVkxZEoxMU1DVHVrSEljYjRNWmtYVXk5SDZibTRxaTVNdGY3Q1UxYmI2UlprSk1XcFY0QXhpajJhMzhrUWtMd0hEc2xKWDF3OWt3UFRHcmtnQ05XcmR6LXlYRlo0U1diaEx5My1xVURzVmtkWXdiV1lVVk9TdnFFVmY0ZENNSUJtV0otZDJoQXZERm9BeElXS2lfOThJVFE?oc=5"" target=""_blank"">Chalet Hotels Ltd Technical Momentum Shifts Amid Mixed Market Signals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-18 03:06:20,Markets Mojo,https://news.google.com/rss/articles/CBMixgFBVV95cUxQdXdaeFlYTkNBM2lBRm5hT2ZBY0JiUHhQQ2RuUDZEWlNic2lJLVEtLVkxZEoxMU1DVHVrSEljYjRNWmtYVXk5SDZibTRxaTVNdGY3Q1UxYmI2UlprSk1XcFY0QXhpajJhMzhrUWtMd0hEc2xKWDF3OWt3UFRHcmtnQ05XcmR6LXlYRlo0U1diaEx5My1xVURzVmtkWXdiV1lVVk9TdnFFVmY0ZENNSUJtV0otZDJoQXZERm9BeElXS2lfOThJVFE?oc=5
CHALET,Chalet Hotels Limited,"""As I near the close of my tenure as MD & CEO, I am proud of the leadership depth we have built!"" - Sanjay Sethi, Chalet Hotels - Hotelier India","<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxOejBMUHJsMkVfeHJnYlF5Y2djU0ZSU3d0dE16X2otQjdYMjVWTXVpQ3pqNmxXaEdudzlkdE4wN09HRVR1cXR4djc4bmY4YkdRVUpDajhLdFhpRmxnLV9YMElpZFNuMXdlb0puY2FZazFhZHl3RVowTEtfME9yMktyUkxyY0thMU5WRVQ4eEZWa0M2bHBCbGtmU2tLTndxOUdld05UOTZHSEU2VjNoeWxJNDdEV29FOXh4VzBFdlFFS3NVd1AtQTVuNkRXRXlyLTB2VnhIdmtmUUtROFc1X3BUSTNNUEVlZm9vNkNB?oc=5"" target=""_blank"">""As I near the close of my tenure as MD & CEO, I am proud of the leadership depth we have built!"" - Sanjay Sethi, Chalet Hotels</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hotelier India</font>",2025-11-10 08:00:00,Hotelier India,https://news.google.com/rss/articles/CBMi6wFBVV95cUxOejBMUHJsMkVfeHJnYlF5Y2djU0ZSU3d0dE16X2otQjdYMjVWTXVpQ3pqNmxXaEdudzlkdE4wN09HRVR1cXR4djc4bmY4YkdRVUpDajhLdFhpRmxnLV9YMElpZFNuMXdlb0puY2FZazFhZHl3RVowTEtfME9yMktyUkxyY0thMU5WRVQ4eEZWa0M2bHBCbGtmU2tLTndxOUdld05UOTZHSEU2VjNoeWxJNDdEV29FOXh4VzBFdlFFS3NVd1AtQTVuNkRXRXlyLTB2VnhIdmtmUUtROFc1X3BUSTNNUEVlZm9vNkNB?oc=5
CHALET,Chalet Hotels Limited,Chalet Hotels Receives Reclassification Request from Two Promoter Group Entities - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxPR1FJVnNEdmt4Q0tiY3pWTW5pT0dHTng4dVVFOW9KNDZrSWhOd2w2bHg4NGpxYWZhNGJYZlFGUkEzWTRfeGUzMUFOQlFWZUVVMHJuOGZSdWtVQVp2YloxZVhqeHQza3Q3WU04M1NZSUxjRVlWVEd2cG45bUxLbjFHSHJNZ1FTVWcxTVdTcGZZZTJ3aXloRlNxY1ZzNkN2NExCeUJVYnBnRVhrZDBHejFGamN0VzZOLUZCdk1FbExfYlVkaHhxUU14RWdudGRsSzA?oc=5"" target=""_blank"">Chalet Hotels Receives Reclassification Request from Two Promoter Group Entities</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-01-19 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMizwFBVV95cUxPR1FJVnNEdmt4Q0tiY3pWTW5pT0dHTng4dVVFOW9KNDZrSWhOd2w2bHg4NGpxYWZhNGJYZlFGUkEzWTRfeGUzMUFOQlFWZUVVMHJuOGZSdWtVQVp2YloxZVhqeHQza3Q3WU04M1NZSUxjRVlWVEd2cG45bUxLbjFHSHJNZ1FTVWcxTVdTcGZZZTJ3aXloRlNxY1ZzNkN2NExCeUJVYnBnRVhrZDBHejFGamN0VzZOLUZCdk1FbExfYlVkaHhxUU14RWdudGRsSzA?oc=5
CHALET,Chalet Hotels Limited,Chalet Hotels Ltd is Rated Sell - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxPUlZfTVJBd2QydkNvNk1ZSWV0TGJjVlQxR0dvcjV0NHBDTE1lX2lPN25kWmo1clpFMHZvR1pmZml5MmxTbkZrUFNyVDRYTzdHYmJUS3pxdldVY0VNWmRpLWQ2Tmxzc21kQkNGU2dBb2VoeXZ2TTlicWJKSnpqbE5tWDBrUDJuTTNfeTJ5YmNoMnNVSHctbngxRA?oc=5"" target=""_blank"">Chalet Hotels Ltd is Rated Sell</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-12 11:59:34,Markets Mojo,https://news.google.com/rss/articles/CBMimAFBVV95cUxPUlZfTVJBd2QydkNvNk1ZSWV0TGJjVlQxR0dvcjV0NHBDTE1lX2lPN25kWmo1clpFMHZvR1pmZml5MmxTbkZrUFNyVDRYTzdHYmJUS3pxdldVY0VNWmRpLWQ2Tmxzc21kQkNGU2dBb2VoeXZ2TTlicWJKSnpqbE5tWDBrUDJuTTNfeTJ5YmNoMnNVSHctbngxRA?oc=5
CHALET,Chalet Hotels Limited,"Chalet Hotels Limited Allots 2,00,468 Equity Shares Under ESOP 2023 Scheme - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxPVy1wX2FqVElDZjVvYUVPV1ZhcTFPRTJQajRLZjJwREg1Tk13MmVOMFQwcjVXalJJR2MtY2ZyY0tqRmpqQ1FvbFN1YXRXc2hMZ3VvcnNnaWc5YVFPSTh6Z0Q4WEtMcFZQSHRjZkR0R2ZRMU1XTGYzTmZUNVMxLUZPY2ZVWUtYSlJmN0R4VGNBRXoydjhCZ2J2U3hQVXBjNHRZc1NFaXMweGhhV1F3MXNRZ28tNzU0c0QxTUkxQktyYkQ3cVAzamZxSVhrcXMzd1RCTGZadklB?oc=5"" target=""_blank"">Chalet Hotels Limited Allots 2,00,468 Equity Shares Under ESOP 2023 Scheme</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-01-02 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPVy1wX2FqVElDZjVvYUVPV1ZhcTFPRTJQajRLZjJwREg1Tk13MmVOMFQwcjVXalJJR2MtY2ZyY0tqRmpqQ1FvbFN1YXRXc2hMZ3VvcnNnaWc5YVFPSTh6Z0Q4WEtMcFZQSHRjZkR0R2ZRMU1XTGYzTmZUNVMxLUZPY2ZVWUtYSlJmN0R4VGNBRXoydjhCZ2J2U3hQVXBjNHRZc1NFaXMweGhhV1F3MXNRZ28tNzU0c0QxTUkxQktyYkQ3cVAzamZxSVhrcXMzd1RCTGZadklB?oc=5
CHALET,Chalet Hotels Limited,Chalet Hotels Reports Impressive Q2 Turnaround with 1.55 Billion Rupees Net Profit - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxNMmwtRVlod3JpUmMtWl9kTHBIRGIxamo0R04xWWY3a1Y2cDlxU09JOU9UOTN5VUJZVHdzNHhIWU4zdVR3U0ZIbHVfb2Vfd29OZGR4MDF0T2lmazRveFhxZk9lX0NyMEl4c29ROG5NbEdRR29yLTlnUjN1V2ZPckM1RUtGRnRDVXM4Q28xMDhJWXgxdGFlaWR0eEc5YWhycUZVbENNMDNYSG5USzkzeUNXMmUwS3QtZzdrUW5fTnhKa3hicDdGUkFPLVZQTHI3cXFJSWxBRQ?oc=5"" target=""_blank"">Chalet Hotels Reports Impressive Q2 Turnaround with 1.55 Billion Rupees Net Profit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-04 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi1AFBVV95cUxNMmwtRVlod3JpUmMtWl9kTHBIRGIxamo0R04xWWY3a1Y2cDlxU09JOU9UOTN5VUJZVHdzNHhIWU4zdVR3U0ZIbHVfb2Vfd29OZGR4MDF0T2lmazRveFhxZk9lX0NyMEl4c29ROG5NbEdRR29yLTlnUjN1V2ZPckM1RUtGRnRDVXM4Q28xMDhJWXgxdGFlaWR0eEc5YWhycUZVbENNMDNYSG5USzkzeUNXMmUwS3QtZzdrUW5fTnhKa3hicDdGUkFPLVZQTHI3cXFJSWxBRQ?oc=5
CHALET,Chalet Hotels Limited,Chalet Hotels Submits Stock Exchange Applications for Promoter Reclassification - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxOQkZNZmpfaEJPTmRNQXY2MjhYRDdvWXk4UkRxM2xhZWs5UVAwUUcxNm1sZVdFVkhSbldZQXpTcng0U0o0VmRfYU1peDMzT3lXT09jSW1SNTFxREltbEtEdjlXTWRHamdvZVA5b3IzUTlZb3ZLbEVWVUFsWm55R0E2U2tGV2hUTjdwVVphVWg5czZHbFdOWWZRbWxhSy1UYWdBTENQQmVYQlEwTlZyZWhuLW1iMFlyZEdqQ1ZpNVlUQ0dxLW1yR1lQOVZ3WDBEYnU2Z3U4UTdHXzJHdTNVMjJqTVJ0X0FoeW11?oc=5"" target=""_blank"">Chalet Hotels Submits Stock Exchange Applications for Promoter Reclassification</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-02 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi6AFBVV95cUxOQkZNZmpfaEJPTmRNQXY2MjhYRDdvWXk4UkRxM2xhZWs5UVAwUUcxNm1sZVdFVkhSbldZQXpTcng0U0o0VmRfYU1peDMzT3lXT09jSW1SNTFxREltbEtEdjlXTWRHamdvZVA5b3IzUTlZb3ZLbEVWVUFsWm55R0E2U2tGV2hUTjdwVVphVWg5czZHbFdOWWZRbWxhSy1UYWdBTENQQmVYQlEwTlZyZWhuLW1iMFlyZEdqQ1ZpNVlUQ0dxLW1yR1lQOVZ3WDBEYnU2Z3U4UTdHXzJHdTNVMjJqTVJ0X0FoeW11?oc=5
