scrip,company,headline,summary,published_date,source,url
AXISBANK,Axis Bank Limited,Axis Bank Limited (NSE:AXISBANK) is a favorite amongst institutional investors who own 63% - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxNUkRiRy1nWE9PbnlkNkxzek0tSHBtRmE1TWdpQXBtc0xNNlNWUUkzQjVnU0xNNm56aUVrQnNyZUNnUnVSNDVqMFFkd28yUGxrWUl6SWhaN3NzWl85ZHlPZHRMc3lqdzZ3TWlmRU5xRVVOU2ViZXBqZHJFWkIxb1RiTlFuVWpCbEpSN1kzS0tqNXdybjBMZjFibFVHa0ZRRkhUY2Y4bEFkb0xnZUFmblNET2pCQmRjb21SNUtOMVItSUNaeGZtdTBRdXZ4NTJBQdIB0wFBVV95cUxQLWt1U0NZRUJFMGg3Y0JNT2RBTmtoYUNialJfeVotd0VNS3gzNURqa2tROEpMWXBndk4zQW9HZC1LTEJGeWVjbFcxRFRIVHFSbV9JQkpBVzFVS0lUX1FsWDVhODVnUUkxczI3YXRTNmMtWFNWcElobG4zR1RLbDhVcklRSU1WZHdYZnRyZHV3a0pHeUs0bG5MaF9EbElySkNOYWxvUzVCREdSejA3UXFuajgxVlo0NkFUY0tBSXJEVWhIQWVZbUpTYTU4dHpYX1VGbmJN?oc=5"" target=""_blank"">Axis Bank Limited (NSE:AXISBANK) is a favorite amongst institutional investors who own 63%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-16 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMizgFBVV95cUxNUkRiRy1nWE9PbnlkNkxzek0tSHBtRmE1TWdpQXBtc0xNNlNWUUkzQjVnU0xNNm56aUVrQnNyZUNnUnVSNDVqMFFkd28yUGxrWUl6SWhaN3NzWl85ZHlPZHRMc3lqdzZ3TWlmRU5xRVVOU2ViZXBqZHJFWkIxb1RiTlFuVWpCbEpSN1kzS0tqNXdybjBMZjFibFVHa0ZRRkhUY2Y4bEFkb0xnZUFmblNET2pCQmRjb21SNUtOMVItSUNaeGZtdTBRdXZ4NTJBQdIB0wFBVV95cUxQLWt1U0NZRUJFMGg3Y0JNT2RBTmtoYUNialJfeVotd0VNS3gzNURqa2tROEpMWXBndk4zQW9HZC1LTEJGeWVjbFcxRFRIVHFSbV9JQkpBVzFVS0lUX1FsWDVhODVnUUkxczI3YXRTNmMtWFNWcElobG4zR1RLbDhVcklRSU1WZHdYZnRyZHV3a0pHeUs0bG5MaF9EbElySkNOYWxvUzVCREdSejA3UXFuajgxVlo0NkFUY0tBSXJEVWhIQWVZbUpTYTU4dHpYX1VGbmJN?oc=5
AXISBANK,Axis Bank Limited,Key facts: Axis Bank shares surge 6% on profit rise; eyes stake in Grameen - TradingView,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxPeXFTX3p4UHktSmlXM1prTXRlMTVmNllVdmFxN1VJQ3lRQldPZzRQTFJjVzlSQTBXMGhxeW1Ub054dlIzMmdpMDEteG45TjVva3BTSnRvUzlwYmEzQk1jcGlqYzdFcjlzTjBuNnQzNWFhaHJsLW8xWmw4T21UWnZRTjBnZ0JEd000NkxRWm11SGdzdFRIeXJ5Sk1ra2tkOHh3M2VMUkZ2WHc3MUpJWl9GV3B0Nm14dURYeWpnLW5tOTFLSDZKNjU2Q3c0X0ktQQ?oc=5"" target=""_blank"">Key facts: Axis Bank shares surge 6% on profit rise; eyes stake in Grameen</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TradingView</font>",2026-01-27 08:00:00,TradingView,https://news.google.com/rss/articles/CBMizgFBVV95cUxPeXFTX3p4UHktSmlXM1prTXRlMTVmNllVdmFxN1VJQ3lRQldPZzRQTFJjVzlSQTBXMGhxeW1Ub054dlIzMmdpMDEteG45TjVva3BTSnRvUzlwYmEzQk1jcGlqYzdFcjlzTjBuNnQzNWFhaHJsLW8xWmw4T21UWnZRTjBnZ0JEd000NkxRWm11SGdzdFRIeXJ5Sk1ra2tkOHh3M2VMUkZ2WHc3MUpJWl9GV3B0Nm14dURYeWpnLW5tOTFLSDZKNjU2Q3c0X0ktQQ?oc=5
AXISBANK,Axis Bank Limited,"Axis Bank Falls 4% After Q1 Profit Drops to ₹5,806 Cr - HDFC Sky","<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxQVEw0dnlyUFIyTW4xS0czZHNFTmd1X3p4NHdQaHhNQXIxa1hKRkt1SzAxZGpVY1FhQ1ZqaVBPWVpHeVpNdVRKZjhnY1lvdkw4T2stb2tRNjhEa2t2c3cyaHFVb0djRFBMalNfQmpmMXZzc1BsaDFCSWVuVWVTWjd0ZG9RYXFaaE5IdlBoVnJVLXlUQnBjdGt3dlQxTkVQWjZSblE?oc=5"" target=""_blank"">Axis Bank Falls 4% After Q1 Profit Drops to ₹5,806 Cr</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-07-18 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMiogFBVV95cUxQVEw0dnlyUFIyTW4xS0czZHNFTmd1X3p4NHdQaHhNQXIxa1hKRkt1SzAxZGpVY1FhQ1ZqaVBPWVpHeVpNdVRKZjhnY1lvdkw4T2stb2tRNjhEa2t2c3cyaHFVb0djRFBMalNfQmpmMXZzc1BsaDFCSWVuVWVTWjd0ZG9RYXFaaE5IdlBoVnJVLXlUQnBjdGt3dlQxTkVQWjZSblE?oc=5
AXISBANK,Axis Bank Limited,Axis Bank (NSE:AXISBANK) shareholders have earned a 15% CAGR over the last five years - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxPcEFoQ2hqT2QzcGg4YjZYZWFiNjlId3laZi1EbHhYSGZjdnBrSnRQNzF6VlNYbGlXZXdHQUNvdHhpUDlSOGlORktlM2RWQWRiTWl0YkxTQ0t4SDZBeUY0T2NNc0pENnVua0xMb1ZjRExJUFh6YUg1R0N6MlhKRVVxWHJja3g2N05uTTJ2bDdtZ085eldUSWpQTXVnb1RDdm5mQlpzM256N3hMd2o2T0JQMElmNGpLMGM4b19PS1N6NUs2aTdSQWk2LXduZ3JLUQ?oc=5"" target=""_blank"">Axis Bank (NSE:AXISBANK) shareholders have earned a 15% CAGR over the last five years</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-12-25 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMizgFBVV95cUxPcEFoQ2hqT2QzcGg4YjZYZWFiNjlId3laZi1EbHhYSGZjdnBrSnRQNzF6VlNYbGlXZXdHQUNvdHhpUDlSOGlORktlM2RWQWRiTWl0YkxTQ0t4SDZBeUY0T2NNc0pENnVua0xMb1ZjRExJUFh6YUg1R0N6MlhKRVVxWHJja3g2N05uTTJ2bDdtZ085eldUSWpQTXVnb1RDdm5mQlpzM256N3hMd2o2T0JQMElmNGpLMGM4b19PS1N6NUs2aTdSQWk2LXduZ3JLUQ?oc=5
AXISBANK,Axis Bank Limited,"'Buy' UNO Minda, Lupin shares; 'Sell' Axis Bank: LKP Securities' analyst - Business Today","<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxOTkJWaC1oM2M2YWhkRnZXMEJaZ2xiM0d0Y2JTY2dERnl2aU4xU25reWNGeUlGaC1lOWlxd19EbEtncnA1Z0syUXJNa1EwaXFRVWdkWUw1VTNhaEdSUTVkZzZHSUwtU3Z6QWY4TTcxVFJqWmlTRlQwcFZ5eXBScll5QzlBc1FPWmRfUUFFQXpQa21mYWU4QmUxQmNwMW5kNUZKYTUxSXh6bVRNX0Y4UklaenRDcnUtQVdueUlsQnNMSWc4S2RjRGZ2N3ZyU2_SAdIBQVVfeXFMUC0xZXpzSHJNVFRtdFRtbUxRalF6QWR5YkpRMnJXTWpzWGJyMWpWTjh6REFUSUJFb1p3ZFZlZldrMGxEbDY4MzdTM0tGd0NYMHZqVjc5dTVZZFZ2cWdkbEwxQTlrRmhWUWdkVWI5dEppMllQM3RuSUwwaF95Y3pIOFRselZXRnVTRWpBOXR0MVhURXAwMVFjV1Fsb0RtbDFxY2VFZm1YSEI1eXhsWm14cXhFUGVNWVZ0dmNTbmtKMXZEZzJ3a3Q1M3pGd0NwSDJ2YkdR?oc=5"" target=""_blank"">'Buy' UNO Minda, Lupin shares; 'Sell' Axis Bank: LKP Securities' analyst</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2025-08-22 07:00:00,Business Today,https://news.google.com/rss/articles/CBMizAFBVV95cUxOTkJWaC1oM2M2YWhkRnZXMEJaZ2xiM0d0Y2JTY2dERnl2aU4xU25reWNGeUlGaC1lOWlxd19EbEtncnA1Z0syUXJNa1EwaXFRVWdkWUw1VTNhaEdSUTVkZzZHSUwtU3Z6QWY4TTcxVFJqWmlTRlQwcFZ5eXBScll5QzlBc1FPWmRfUUFFQXpQa21mYWU4QmUxQmNwMW5kNUZKYTUxSXh6bVRNX0Y4UklaenRDcnUtQVdueUlsQnNMSWc4S2RjRGZ2N3ZyU2_SAdIBQVVfeXFMUC0xZXpzSHJNVFRtdFRtbUxRalF6QWR5YkpRMnJXTWpzWGJyMWpWTjh6REFUSUJFb1p3ZFZlZldrMGxEbDY4MzdTM0tGd0NYMHZqVjc5dTVZZFZ2cWdkbEwxQTlrRmhWUWdkVWI5dEppMllQM3RuSUwwaF95Y3pIOFRselZXRnVTRWpBOXR0MVhURXAwMVFjV1Fsb0RtbDFxY2VFZm1YSEI1eXhsWm14cXhFUGVNWVZ0dmNTbmtKMXZEZzJ3a3Q1M3pGd0NwSDJ2YkdR?oc=5
AXISBANK,Axis Bank Limited,AXIS Bank Ltd Q1 Results 2026 - Find AXIS Bank Ltd Q1 Earnings Result | AXISBANK Q1 results - Mint,"<a href=""https://news.google.com/rss/articles/CBMihAFBVV95cUxOWU82bGYyMFZmWFpsMWFHYzJjSk1memQ3X3ZVRllpcDJ0RkdmdlFnR19CdDItd2VjZGdGcWdVbElzVzJ5NVhBVENuRl84cm5GQWppSXduVTVpazlCU3pBaWhaZFNNUW1GUkR0MHhFRW44MnV0d2hsc3RVdWNWbDJfY01KSG8?oc=5"" target=""_blank"">AXIS Bank Ltd Q1 Results 2026 - Find AXIS Bank Ltd Q1 Earnings Result | AXISBANK Q1 results</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",2025-12-22 19:14:41,Mint,https://news.google.com/rss/articles/CBMihAFBVV95cUxOWU82bGYyMFZmWFpsMWFHYzJjSk1memQ3X3ZVRllpcDJ0RkdmdlFnR19CdDItd2VjZGdGcWdVbElzVzJ5NVhBVENuRl84cm5GQWppSXduVTVpazlCU3pBaWhaZFNNUW1GUkR0MHhFRW44MnV0d2hsc3RVdWNWbDJfY01KSG8?oc=5
AXISBANK,Axis Bank Limited,Key facts: Axis Bank shares rise 2%; Neeraj Gambhir named Executive Director - TradingView,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxOSEIzS19QNkJuS3gwazRWY25sb2JMS0paTVFfRWUzNmRTMGgxNmRmQjdCNVV4TThWbGpTLU5LcE5vLXhjdGNjcVp5REtPQUFzTy11LUo0WXdobTJ2VG8xdzlVZG5EWEY0TC1nNHROOVY0TFZDZGNpdFFVbmpDb0QydnVFek9hUnRyU1N3Y0xpMV9PNE1RUWczTVB5QlNTeG1INlItMVFDdjFieF90NDlrLXA4SmlTNVNvUzhwYUNIX09FTzljR1podGdVOEs1Z3JR?oc=5"" target=""_blank"">Key facts: Axis Bank shares rise 2%; Neeraj Gambhir named Executive Director</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TradingView</font>",2025-10-20 07:00:00,TradingView,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOSEIzS19QNkJuS3gwazRWY25sb2JMS0paTVFfRWUzNmRTMGgxNmRmQjdCNVV4TThWbGpTLU5LcE5vLXhjdGNjcVp5REtPQUFzTy11LUo0WXdobTJ2VG8xdzlVZG5EWEY0TC1nNHROOVY0TFZDZGNpdFFVbmpDb0QydnVFek9hUnRyU1N3Y0xpMV9PNE1RUWczTVB5QlNTeG1INlItMVFDdjFieF90NDlrLXA4SmlTNVNvUzhwYUNIX09FTzljR1podGdVOEs1Z3JR?oc=5
AXISBANK,Axis Bank Limited,AXIS Bank Ltd Q2 Results 2026 - Find AXIS Bank Ltd Q2 Earnings Result | AXISBANK Q2 results - Mint,"<a href=""https://news.google.com/rss/articles/CBMihAFBVV95cUxQTzRpM0x6dWRjNG5zNFB4RDJ5allmVFZZbXlaSEV6dXVDYUZ3WnNYLWJNenR4ZXoyczVfSVI2S2ZyOFl6SEJvalNTZU11YlYwWm1JbUp3REtRM0k3dUxIUXdWVEE1WWEySG9qa0FYSDU5b1luenhvMGVzVklYQkZjdGdmMGs?oc=5"" target=""_blank"">AXIS Bank Ltd Q2 Results 2026 - Find AXIS Bank Ltd Q2 Earnings Result | AXISBANK Q2 results</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",2025-12-22 19:14:40,Mint,https://news.google.com/rss/articles/CBMihAFBVV95cUxQTzRpM0x6dWRjNG5zNFB4RDJ5allmVFZZbXlaSEV6dXVDYUZ3WnNYLWJNenR4ZXoyczVfSVI2S2ZyOFl6SEJvalNTZU11YlYwWm1JbUp3REtRM0k3dUxIUXdWVEE1WWEySG9qa0FYSDU5b1luenhvMGVzVklYQkZjdGdmMGs?oc=5
AXISBANK,Axis Bank Limited,Kotak Mahindra may slide further; Axis near support; Shriram Finance top NBFC pick: Gaurav Sharma - Business Today,"<a href=""https://news.google.com/rss/articles/CBMi9AFBVV95cUxQa0ZDYlhUVGVRTVVLcEtZT2w2SlZIcC1sV0VfOWxlc05hVVk4bnV0RDRMdkwxZXlXM2V2Y2tfSFd6Zkg3NnF0M1JjYi0tZzFlQ0UtX3VxTk44TU81V3QwYUxXeFFSM0xSOVVwck1Od1QyRkVHd0ppYmFsUDdHQ2NNNkMwU3JRcWJDTVVnVGZWa2FtaFNzZ0pjV0s3NUM5US1PQkI1NGJEbXpqaTFsVkRBbHl0QnA1ZXg5VXVneHowallWeXRrcGFiNXZxemJ1ZUUtdzhkdWJyTWM4aEN5OTktVmNfX3JNTm5QOWw3VGp3eHg4ZGR40gH6AUFVX3lxTFA4N09WOEFvQ0ZWZWZ6Tll4NWRralRzREJlNjVLbTRTRVJTRUlnUC1DNlVEVUZ1YW1ETWpxNFpqa2I1SjBvMFdUNVRia0ZkMlo5RjNva0VPdXk0MkUwT1FjdDdaNXVUV2cydTFXSk5WM0lmeWlDTjJ2ekRTRUJkbEFNSmZnRlZCQXg1eWZpZFhybnVrOTZEWWtWLXEwLWR1QzRTbVoya1UwUEZHdmEtNW5xVXdQdmNyeF9ydXZ3cVc0SW9TZ3dTYWFXVXd2akZXQUhxM09heUdhU3E3ZW40cTFobHhVdXNjamtETkFGdm5YUmUxcDI3Wnd0WXc?oc=5"" target=""_blank"">Kotak Mahindra may slide further; Axis near support; Shriram Finance top NBFC pick: Gaurav Sharma</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2025-07-28 07:00:00,Business Today,https://news.google.com/rss/articles/CBMi9AFBVV95cUxQa0ZDYlhUVGVRTVVLcEtZT2w2SlZIcC1sV0VfOWxlc05hVVk4bnV0RDRMdkwxZXlXM2V2Y2tfSFd6Zkg3NnF0M1JjYi0tZzFlQ0UtX3VxTk44TU81V3QwYUxXeFFSM0xSOVVwck1Od1QyRkVHd0ppYmFsUDdHQ2NNNkMwU3JRcWJDTVVnVGZWa2FtaFNzZ0pjV0s3NUM5US1PQkI1NGJEbXpqaTFsVkRBbHl0QnA1ZXg5VXVneHowallWeXRrcGFiNXZxemJ1ZUUtdzhkdWJyTWM4aEN5OTktVmNfX3JNTm5QOWw3VGp3eHg4ZGR40gH6AUFVX3lxTFA4N09WOEFvQ0ZWZWZ6Tll4NWRralRzREJlNjVLbTRTRVJTRUlnUC1DNlVEVUZ1YW1ETWpxNFpqa2I1SjBvMFdUNVRia0ZkMlo5RjNva0VPdXk0MkUwT1FjdDdaNXVUV2cydTFXSk5WM0lmeWlDTjJ2ekRTRUJkbEFNSmZnRlZCQXg1eWZpZFhybnVrOTZEWWtWLXEwLWR1QzRTbVoya1UwUEZHdmEtNW5xVXdQdmNyeF9ydXZ3cVc0SW9TZ3dTYWFXVXd2akZXQUhxM09heUdhU3E3ZW40cTFobHhVdXNjamtETkFGdm5YUmUxcDI3Wnd0WXc?oc=5
AXISBANK,Axis Bank Limited,"Axis Bank shares: Target prices see cuts as credit cost highest, deposit growth slowest among peers - Business Today","<a href=""https://news.google.com/rss/articles/CBMi-AFBVV95cUxOYXpPME55VlpsX19wek8tdUh2UEhRSVVuRlhYSWZuay1fbDdlM3hMeS0xQWFCMWIwdkZoWGZ3WUx0RlpUcGgxbm9MS24waXFFS1NFLXhreTdkODFrS0xwcGhoMFhkMm1CYVdlUHhpMnR6SmFjaWZ2YzBGZ01pOGloQk5mMGdwOGZjSnhZTVptVk9OanhpcnRBbDNPTzFiTUNTUW8ta0pwWVJ0WGV3VG5CMTJ4ZlFuM3NiVk9NbXFSU1lLVUU2dExTTkFZbnlfUDJ1SXZLNVhYbWdTbW1sSUh2OUI3VmwtTzVVN0IyaFM2QXJGTVBBbmhib9IB_gFBVV95cUxQWkJycmxSRDBEY2ZhUUZUVTZ3TWlxYVZKVG9RSDhRSzFHeW01RnV5VWRQd0xsdEZWUHNaMGZ1WVE1RDhTTEw3WWk4RldPSWx5aC1WeDRnTjRDOGpLX1ppV1hYSy1BbXY4R05Kb19tUHkwUnZScFFaTHo1c1JvSUZpbFpTR2VpV1BNaGh0allILXBHeWE0Z1ZjMTRyZjl2a0lKNVc1U0hSS2dOSW50S3duZXFCaC1aV2FGU2ljM1dVNjlGaGtMRkxtVkFLWVlXb0R0dEhlR0Y3MGhpUG1KaGxyVE1TeFpBZTVUSEo1UHAwUTNMQUhZdFdCZXBtRFhtQQ?oc=5"" target=""_blank"">Axis Bank shares: Target prices see cuts as credit cost highest, deposit growth slowest among peers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2025-01-17 08:00:00,Business Today,https://news.google.com/rss/articles/CBMi-AFBVV95cUxOYXpPME55VlpsX19wek8tdUh2UEhRSVVuRlhYSWZuay1fbDdlM3hMeS0xQWFCMWIwdkZoWGZ3WUx0RlpUcGgxbm9MS24waXFFS1NFLXhreTdkODFrS0xwcGhoMFhkMm1CYVdlUHhpMnR6SmFjaWZ2YzBGZ01pOGloQk5mMGdwOGZjSnhZTVptVk9OanhpcnRBbDNPTzFiTUNTUW8ta0pwWVJ0WGV3VG5CMTJ4ZlFuM3NiVk9NbXFSU1lLVUU2dExTTkFZbnlfUDJ1SXZLNVhYbWdTbW1sSUh2OUI3VmwtTzVVN0IyaFM2QXJGTVBBbmhib9IB_gFBVV95cUxQWkJycmxSRDBEY2ZhUUZUVTZ3TWlxYVZKVG9RSDhRSzFHeW01RnV5VWRQd0xsdEZWUHNaMGZ1WVE1RDhTTEw3WWk4RldPSWx5aC1WeDRnTjRDOGpLX1ppV1hYSy1BbXY4R05Kb19tUHkwUnZScFFaTHo1c1JvSUZpbFpTR2VpV1BNaGh0allILXBHeWE0Z1ZjMTRyZjl2a0lKNVc1U0hSS2dOSW50S3duZXFCaC1aV2FGU2ljM1dVNjlGaGtMRkxtVkFLWVlXb0R0dEhlR0Y3MGhpUG1KaGxyVE1TeFpBZTVUSEo1UHAwUTNMQUhZdFdCZXBtRFhtQQ?oc=5
AXISBANK,Axis Bank Limited,"Axis Bank shares jump nearly 4% today after Q3 results, brokerages bullish; check target prices - TradingView","<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxOQnRKXzNlMkpMWFhXMDlqRjdfNWlOM0xfcFdDeDVpLTkwY1g0UjZGWU1McDdsTEVqeTBGdTY4VlRPZXdUeUJvQ0M2WkpGYl9SZmNiY1FReEIyUDVlemo5bDNxRnU3Q2s5azl3Mllldkh2b19LdGNjRFMyZjN4S3cxU1RUemNoZjEzTVZHaHA0R2JZdm1aN01jZmlvYXpwMDhnc1hGc0c3X0pkZy1oRDBsN1R1a3pYbXJ1Z1RkYXM4VjlCazNnTUF2WFJ1cGhROV9TUTJqYnRKdnNFM3JsNlBQdjJhMkVoRjQ1dTY4?oc=5"" target=""_blank"">Axis Bank shares jump nearly 4% today after Q3 results, brokerages bullish; check target prices</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TradingView</font>",2026-01-26 08:00:00,TradingView,https://news.google.com/rss/articles/CBMi6wFBVV95cUxOQnRKXzNlMkpMWFhXMDlqRjdfNWlOM0xfcFdDeDVpLTkwY1g0UjZGWU1McDdsTEVqeTBGdTY4VlRPZXdUeUJvQ0M2WkpGYl9SZmNiY1FReEIyUDVlemo5bDNxRnU3Q2s5azl3Mllldkh2b19LdGNjRFMyZjN4S3cxU1RUemNoZjEzTVZHaHA0R2JZdm1aN01jZmlvYXpwMDhnc1hGc0c3X0pkZy1oRDBsN1R1a3pYbXJ1Z1RkYXM4VjlCazNnTUF2WFJ1cGhROV9TUTJqYnRKdnNFM3JsNlBQdjJhMkVoRjQ1dTY4?oc=5
AXISBANK,Axis Bank Limited,"Sensex, Nifty: Why stock market is falling today; ask Axis Bank, Infosys - Business Today","<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxNYlVpQUx4WF9zYUlmNXBqdzdGMWRBQTF4VGQtaGhkRlc3eW1mc2tZT3BGQjh0MEZZM0h6R2pWMGZUZjJ5TWg4RFRURG91WUhwcy1aWGlhUWp3NEl3QnpieE5kMFpYbVJ2bENSTEdSUm1QWDNLSENkTU0tRnJ2d2ZtZkRWb3RULXRlM1VoQVlKNTdjMTNfeHVIcUh5LWM5RmZHaTNJRFFOV0lCRTlUVTIxY0w3N1AtdWtwR2l1Z1FKZmR2NFJTVW9JaElIUWFXeW5BSnfSAdcBQVVfeXFMTUFNcDlEMXZaNjhYUHlnbEdGdi02TXBzeHJ1amxlVHV4UXd0c0FYLWQ5RXlPdjRkQXN5a0RMRzNKRTJPakU3djdaWHdjeHZzZnpHLXEtbG4yU3V1RjUtcHNfSkNiMUU4SGJ5YnRtbFZnQ3FiaFRFLWtnNVZSNktCWi1nc1FEVFQwcXE2TERFbms4VlpNOWtFekhZQ0xBV2xfN3E0UWFzSjROWlM4TVhTMERmdWlIQmdFbHdFcW5zVWxiNTZIYmFfMVhNMmhnWFdpLVdyM1I5bE0?oc=5"" target=""_blank"">Sensex, Nifty: Why stock market is falling today; ask Axis Bank, Infosys</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2025-01-17 08:00:00,Business Today,https://news.google.com/rss/articles/CBMi0gFBVV95cUxNYlVpQUx4WF9zYUlmNXBqdzdGMWRBQTF4VGQtaGhkRlc3eW1mc2tZT3BGQjh0MEZZM0h6R2pWMGZUZjJ5TWg4RFRURG91WUhwcy1aWGlhUWp3NEl3QnpieE5kMFpYbVJ2bENSTEdSUm1QWDNLSENkTU0tRnJ2d2ZtZkRWb3RULXRlM1VoQVlKNTdjMTNfeHVIcUh5LWM5RmZHaTNJRFFOV0lCRTlUVTIxY0w3N1AtdWtwR2l1Z1FKZmR2NFJTVW9JaElIUWFXeW5BSnfSAdcBQVVfeXFMTUFNcDlEMXZaNjhYUHlnbEdGdi02TXBzeHJ1amxlVHV4UXd0c0FYLWQ5RXlPdjRkQXN5a0RMRzNKRTJPakU3djdaWHdjeHZzZnpHLXEtbG4yU3V1RjUtcHNfSkNiMUU4SGJ5YnRtbFZnQ3FiaFRFLWtnNVZSNktCWi1nc1FEVFQwcXE2TERFbms4VlpNOWtFekhZQ0xBV2xfN3E0UWFzSjROWlM4TVhTMERmdWlIQmdFbHdFcW5zVWxiNTZIYmFfMVhNMmhnWFdpLVdyM1I5bE0?oc=5
AXISBANK,Axis Bank Limited,Axis Bank stock recovers after 7-month fall. Short coverings ahead? - Business Today,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxNYjBkUktWaFI4ZUtwUHRNMFhFTVZpMFJHemdTeGMzczdnU1RyREVELTV6YTdMdmV2c2FHaTZUMThKbk5oUmdoSVBLRXVyd2p0cm9pRXNVN3phd1YyRVYyOVZOMGVYS1NOMGRqSmN3WUotRGp1cG5pZDZkdzRDSEFZMUFkWi01VHlpanZwOGM2QVJiUDIwVVNnc2pzZWxoUEw0UDZHdmVPNUtjZnQ0YjZyTjlZZ0l4UmtFZzYwMWxOcG1melZxMG81eks5UEpId9IB0wFBVV95cUxQSjJOa2tNSXEyS1M2T0ZqOHktbkZkS2dlUmhiYjl1SXRBNlNycTJDLUo5d3pvMlJ0ci1aZ0tHT2hfN3NtTTdOd0Q5WTVWVktta3RlY01VdXRYQTU4dUtFekNPVXhRWnVwUFZrbVZrVUhpamJsT25lalFoMG43NlltNnlSczJFSThRdzl1T0w4c01FdzN5Z2pqS1o3WmwzZ3FxZHNQUkVKckFCamRoZFBUdGxfQUwyblhZVlJzeXBYc2hmMlBMNmRDNzJSd2JFZFEzcGdJ?oc=5"" target=""_blank"">Axis Bank stock recovers after 7-month fall. Short coverings ahead?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2025-02-14 08:00:00,Business Today,https://news.google.com/rss/articles/CBMizgFBVV95cUxNYjBkUktWaFI4ZUtwUHRNMFhFTVZpMFJHemdTeGMzczdnU1RyREVELTV6YTdMdmV2c2FHaTZUMThKbk5oUmdoSVBLRXVyd2p0cm9pRXNVN3phd1YyRVYyOVZOMGVYS1NOMGRqSmN3WUotRGp1cG5pZDZkdzRDSEFZMUFkWi01VHlpanZwOGM2QVJiUDIwVVNnc2pzZWxoUEw0UDZHdmVPNUtjZnQ0YjZyTjlZZ0l4UmtFZzYwMWxOcG1melZxMG81eks5UEpId9IB0wFBVV95cUxQSjJOa2tNSXEyS1M2T0ZqOHktbkZkS2dlUmhiYjl1SXRBNlNycTJDLUo5d3pvMlJ0ci1aZ0tHT2hfN3NtTTdOd0Q5WTVWVktta3RlY01VdXRYQTU4dUtFekNPVXhRWnVwUFZrbVZrVUhpamJsT25lalFoMG43NlltNnlSczJFSThRdzl1T0w4c01FdzN5Z2pqS1o3WmwzZ3FxZHNQUkVKckFCamRoZFBUdGxfQUwyblhZVlJzeXBYc2hmMlBMNmRDNzJSd2JFZFEzcGdJ?oc=5
AXISBANK,Axis Bank Limited,Axis Bank Ltd (AXISBANK) Share Price - Business Today,"<a href=""https://news.google.com/rss/articles/CBMigwFBVV95cUxQNlo3U1RrNEtRNF9ndHJmNy1Pc3VfU3E0Z2toQU01YmNtd0d5UVhvQjBOY2VWelhSQTlMU3pQUjVoa3ZBZjR0SERoTE9fZ3dlQVREb045Z2dDQVYwalhWaHpkTG9HMUNXOThrOWpwTUlwNzNIdzIzQVFWQVJoZnJiV08wNA?oc=5"" target=""_blank"">Axis Bank Ltd (AXISBANK) Share Price</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2023-01-23 13:05:07,Business Today,https://news.google.com/rss/articles/CBMigwFBVV95cUxQNlo3U1RrNEtRNF9ndHJmNy1Pc3VfU3E0Z2toQU01YmNtd0d5UVhvQjBOY2VWelhSQTlMU3pQUjVoa3ZBZjR0SERoTE9fZ3dlQVREb045Z2dDQVYwalhWaHpkTG9HMUNXOThrOWpwTUlwNzNIdzIzQVFWQVJoZnJiV08wNA?oc=5
