scrip,company,headline,summary,published_date,source,url
JINDALPHOT,Jindal Photo Limited,JINDALPHOT Share Price | Jindal Photo Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMic0FVX3lxTE1HS184N1lFQUJnVFRNbGNCTUotYVdaVGlRZGdES2FrTXVaUWdqSEgxSktENTNpM3FQX0trT1lQaFdvc25mTWROT1BUM211ekZ0LTFKYTJTbHI5dlB3aWs4bXhDQ1ZBV2hmMW55dm5sWjlfRWc?oc=5"" target=""_blank"">JINDALPHOT Share Price | Jindal Photo Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2024-03-06 10:05:22,Markets Mojo,https://news.google.com/rss/articles/CBMic0FVX3lxTE1HS184N1lFQUJnVFRNbGNCTUotYVdaVGlRZGdES2FrTXVaUWdqSEgxSktENTNpM3FQX0trT1lQaFdvc25mTWROT1BUM211ekZ0LTFKYTJTbHI5dlB3aWs4bXhDQ1ZBV2hmMW55dm5sWjlfRWc?oc=5
JINDALPHOT,Jindal Photo Limited,Four Jindal Group stocks gain up to 20% on very strong volumes - CNBC TV18,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxNdktFeTV4VFBIY0ZtS3E2M3dkZm1hRUhCV0ZFclBpNzh0eEp1WFhvUmhWRGR3dFJkYWUyaW9WRXBNdG54bG4wdXVvMXd3WjUzejluZXB2WDQ3U2REWWZCb0dmdzdSSjh4RnVDVkVJNnpMcDVCU1VwU3F1TGhSaXkyNW51ZzNOa0FlNHVaYUxLUl8yeFlWS0Zxc2cxQzc1SlF4RFpDNldYQ1RUNU5GQjluOWIyTnBTYXpUbmtmUFZkRS02RzVJelplZjRhbTJpeTlpLTBXTFlzTEtVMDRuR3MteNIB5gFBVV95cUxPS29ZMjlyd2NQemVsdXlWVTJaRjlueTRJRE5sUjVSTnlTTXMxbFd3SkpuY2lmWjBYeWlfcnAxamFfbWlybTRDaGdYenNrdm00dXJ2NVozcVFDZzZzMjBQLVpGQ3lWM3VLM1FsZ1JGdHRjb3RjMVZLbWhmbHhXSFN1ZzlaTVg5aVdtc2ZwN2tpbDkyQ2xobk9BTHJfaVFQR3MyODh3NzFwUU11MU02Q0IzREFUUm9KQTBBTnBBczVCRGx1QnFXa0dQcHdQT3JpSUpFTFJXMUVxcnlEc2pXaXo1dG16MXBhZw?oc=5"" target=""_blank"">Four Jindal Group stocks gain up to 20% on very strong volumes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",2025-10-09 07:00:00,CNBC TV18,https://news.google.com/rss/articles/CBMi4AFBVV95cUxNdktFeTV4VFBIY0ZtS3E2M3dkZm1hRUhCV0ZFclBpNzh0eEp1WFhvUmhWRGR3dFJkYWUyaW9WRXBNdG54bG4wdXVvMXd3WjUzejluZXB2WDQ3U2REWWZCb0dmdzdSSjh4RnVDVkVJNnpMcDVCU1VwU3F1TGhSaXkyNW51ZzNOa0FlNHVaYUxLUl8yeFlWS0Zxc2cxQzc1SlF4RFpDNldYQ1RUNU5GQjluOWIyTnBTYXpUbmtmUFZkRS02RzVJelplZjRhbTJpeTlpLTBXTFlzTEtVMDRuR3MteNIB5gFBVV95cUxPS29ZMjlyd2NQemVsdXlWVTJaRjlueTRJRE5sUjVSTnlTTXMxbFd3SkpuY2lmWjBYeWlfcnAxamFfbWlybTRDaGdYenNrdm00dXJ2NVozcVFDZzZzMjBQLVpGQ3lWM3VLM1FsZ1JGdHRjb3RjMVZLbWhmbHhXSFN1ZzlaTVg5aVdtc2ZwN2tpbDkyQ2xobk9BTHJfaVFQR3MyODh3NzFwUU11MU02Q0IzREFUUm9KQTBBTnBBczVCRGx1QnFXa0dQcHdQT3JpSUpFTFJXMUVxcnlEc2pXaXo1dG16MXBhZw?oc=5
JINDALPHOT,Jindal Photo Limited,"Jindal Photo Soars to All-Time High, Signaling Unprecedented Growth in FMCG Sector - Markets Mojo","<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxOMlVRY0U0b29hS1h0T1ppdEJUWU1TVnVubDNETnpQSEk5ZFBld3B5TGpfcWZYQU9FTkhJYnlMX2llNHU3ZGF2cWNiQVBwaEoyVzVYZWdOY25HSmNfOGZUSHlfUW16azRVZ3ZmamUxSmcxWkdQZFJNZjNRWW9jS2ZSZlBlMWg2LWtPb0U0MEotSW1PX0FOWU5CTlFza1poYjlnRjdKV3lsSXhZMlhMTEh3Q2VXc1NNdFFtbHJ4OGpZTjNKbF9CS196b3FreVg5c1cxcGNQVWhB?oc=5"" target=""_blank"">Jindal Photo Soars to All-Time High, Signaling Unprecedented Growth in FMCG Sector</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-10-09 07:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMi1gFBVV95cUxOMlVRY0U0b29hS1h0T1ppdEJUWU1TVnVubDNETnpQSEk5ZFBld3B5TGpfcWZYQU9FTkhJYnlMX2llNHU3ZGF2cWNiQVBwaEoyVzVYZWdOY25HSmNfOGZUSHlfUW16azRVZ3ZmamUxSmcxWkdQZFJNZjNRWW9jS2ZSZlBlMWg2LWtPb0U0MEotSW1PX0FOWU5CTlFza1poYjlnRjdKV3lsSXhZMlhMTEh3Q2VXc1NNdFFtbHJ4OGpZTjNKbF9CS196b3FreVg5c1cxcGNQVWhB?oc=5
JINDALPHOT,Jindal Photo Limited,Technical Analysis of Jindal Photo Limited (NSE:JINDALPHOT) - TradingView,"<a href=""https://news.google.com/rss/articles/CBMib0FVX3lxTE1HdElTOXl1WnpuYkdPNEdCaG1lMzE1aUNod281c1BNRHBtQThMMTRfUDhrdzI2b3JGNEVTN0hCVHZSdm5FUHo0OFh5bHplZmlXLVIxWWN6bm5RV21KN2FEZDF3TlpoYWoxNVlBN1U3NA?oc=5"" target=""_blank"">Technical Analysis of Jindal Photo Limited (NSE:JINDALPHOT)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TradingView</font>",2018-02-12 00:47:13,TradingView,https://news.google.com/rss/articles/CBMib0FVX3lxTE1HdElTOXl1WnpuYkdPNEdCaG1lMzE1aUNod281c1BNRHBtQThMMTRfUDhrdzI2b3JGNEVTN0hCVHZSdm5FUHo0OFh5bHplZmlXLVIxWWN6bm5RV21KN2FEZDF3TlpoYWoxNVlBN1U3NA?oc=5
JINDALPHOT,Jindal Photo Limited,Jindal Photo surges 61% after InvestingPro Fair Value alert By Investing.com - Investing.com India,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxPUUZnOUxaemtGR2w5bDBCemNteWUwb0hlSlFYX0xzSFBPMHVidW9pY2pLWUZhVGFVUUdrcV9vN1R2ODY5WDhzTlNTV2pKMnlpVEtsTVhEbkdpMndtZFlqa2NXZWwxU2tqelNVWTBaMHVPeW1sMlctMlU2dm5VT3Nzc2VJTlNrQ2JiT0hNUDdwT0V0R0dwWGhjMUZ4Z3dScDl3bmpFS09jQzE4cTVuOHlEYnRrclB3Qloya1E?oc=5"" target=""_blank"">Jindal Photo surges 61% after InvestingPro Fair Value alert By Investing.com</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Investing.com India</font>",2026-02-22 13:22:09,Investing.com India,https://news.google.com/rss/articles/CBMiugFBVV95cUxPUUZnOUxaemtGR2w5bDBCemNteWUwb0hlSlFYX0xzSFBPMHVidW9pY2pLWUZhVGFVUUdrcV9vN1R2ODY5WDhzTlNTV2pKMnlpVEtsTVhEbkdpMndtZFlqa2NXZWwxU2tqelNVWTBaMHVPeW1sMlctMlU2dm5VT3Nzc2VJTlNrQ2JiT0hNUDdwT0V0R0dwWGhjMUZ4Z3dScDl3bmpFS09jQzE4cTVuOHlEYnRrclB3Qloya1E?oc=5
JINDALPHOT,Jindal Photo Limited,Jindal Photo Ltd leads gainers in 'B' group - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxNZ1FVS1p3OEhEanJsb0JtZlQxOHplTmxMcTJ4LXFHT3k0UkxURGNqUHk0Y3lJWTl4R21DY24zclBxUmFNZHBaZ0h6QzJEVWxjRGpicFV2Y21naG0tZ2xIRE9mNlYzMHUyUDBYVlZwRkJhZ09DSEZENzNDNHUzQ3FzNXFQYUtoZ1V1bjN4cWVlaFdHZzNkVXhTTVllNUtOdjM1VEpCREtqbzdXbHpRTHhHYjkta2taSHRjdEpTNVdlS1fSAcYBQVVfeXFMT0xoc2JFMVc0eGNnV0V6eVJzMGNNME5TWTd3SjRTVFVMX3RIa0ZSU29vbnQwc3UteThmZHFjMVpiMG5vOHhIbnFkVldVcXByZkh1V0FvRUxwbGFrYzFUTXk5WVZManBGV0NtdkxMSEtVZXE2X0taTlhUeVNTTEVNclB4NThhYXQtQzF3SHdzUEhUTllYTGRadEJ6cHhyVXFxeFhPRDdmeHZqajNvTndPV3hoQkx5NldkZU5hOC1QQ3ZzaFdlel9R?oc=5"" target=""_blank"">Jindal Photo Ltd leads gainers in 'B' group</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-12-31 08:00:00,Business Standard,https://news.google.com/rss/articles/CBMiwAFBVV95cUxNZ1FVS1p3OEhEanJsb0JtZlQxOHplTmxMcTJ4LXFHT3k0UkxURGNqUHk0Y3lJWTl4R21DY24zclBxUmFNZHBaZ0h6QzJEVWxjRGpicFV2Y21naG0tZ2xIRE9mNlYzMHUyUDBYVlZwRkJhZ09DSEZENzNDNHUzQ3FzNXFQYUtoZ1V1bjN4cWVlaFdHZzNkVXhTTVllNUtOdjM1VEpCREtqbzdXbHpRTHhHYjkta2taSHRjdEpTNVdlS1fSAcYBQVVfeXFMT0xoc2JFMVc0eGNnV0V6eVJzMGNNME5TWTd3SjRTVFVMX3RIa0ZSU29vbnQwc3UteThmZHFjMVpiMG5vOHhIbnFkVldVcXByZkh1V0FvRUxwbGFrYzFUTXk5WVZManBGV0NtdkxMSEtVZXE2X0taTlhUeVNTTEVNclB4NThhYXQtQzF3SHdzUEhUTllYTGRadEJ6cHhyVXFxeFhPRDdmeHZqajNvTndPV3hoQkx5NldkZU5hOC1QQ3ZzaFdlel9R?oc=5
JINDALPHOT,Jindal Photo Limited,Jindal Photo and 8 other stocks that hit 20% upper circuit today; Are you holding any? - Trade Brains,"<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxOOGphbW9oWWdxX2JzX2FmRmFQR0VwaEFMdk5wOW1zbHdrTklVLXhvcFV0TGo0QnBjbXhKeGpIZGVNZTJuMGRWVmZRYzRESklUYUJoa0hqXzNZOXAwQVBpRDlab0FlUWo3YTFtbDc3U19mcllIZkRGZUR3WUR0ODdWblFtempENjliOTRSc0VKN0ptbXRHSzZ4MjMxNGxIOFhSSy05SXQxUS1XS2M?oc=5"" target=""_blank"">Jindal Photo and 8 other stocks that hit 20% upper circuit today; Are you holding any?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Trade Brains</font>",2026-01-08 08:00:00,Trade Brains,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOOGphbW9oWWdxX2JzX2FmRmFQR0VwaEFMdk5wOW1zbHdrTklVLXhvcFV0TGo0QnBjbXhKeGpIZGVNZTJuMGRWVmZRYzRESklUYUJoa0hqXzNZOXAwQVBpRDlab0FlUWo3YTFtbDc3U19mcllIZkRGZUR3WUR0ODdWblFtempENjliOTRSc0VKN0ptbXRHSzZ4MjMxNGxIOFhSSy05SXQxUS1XS2M?oc=5
JINDALPHOT,Jindal Photo Limited,Jindal Photo extends rally amid class action suit - The Financial Express,"<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxOVHI1NFlnS3RkbUNqWktIRmRSMDFuUkxyRWFHdHpEYXYwNG1IaVJ4SE1IS0VMd0MwWk1WSmttNEVCelc5aGV6b2hvYm9GNkgzX3k3dlIyVEJaQ2pQT3B4SEtMM1B0S2xTZmVfcTNuYl9YUkxUZ3dwUUYtRGNIcmo5anVEWGVvSTF3MDFncFVGRG5qQUNKeFpXT3BEdUxGZknSAaYBQVVfeXFMUFpvR0t3bmh4ampzZHo2SUN3Y3Jybkhuem9lbV9Gd1d6cFpxUFFuMG9tUjRoN2ppSWFJM2dhcVNHaXRjb3BNakJwWHBHNE5QaVVJUWtqYnZEZGxCTldOVXhRUzVEbTlSZThBWUVKS2VzQWlnLU0zWkF2N0xYOHNsTWJ5bXp6cXB6dGRmVGRERXBLVlJ1YW5JNU9XbHNtcXhHWHJia2plQQ?oc=5"" target=""_blank"">Jindal Photo extends rally amid class action suit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Financial Express</font>",2025-10-10 07:00:00,The Financial Express,https://news.google.com/rss/articles/CBMinwFBVV95cUxOVHI1NFlnS3RkbUNqWktIRmRSMDFuUkxyRWFHdHpEYXYwNG1IaVJ4SE1IS0VMd0MwWk1WSmttNEVCelc5aGV6b2hvYm9GNkgzX3k3dlIyVEJaQ2pQT3B4SEtMM1B0S2xTZmVfcTNuYl9YUkxUZ3dwUUYtRGNIcmo5anVEWGVvSTF3MDFncFVGRG5qQUNKeFpXT3BEdUxGZknSAaYBQVVfeXFMUFpvR0t3bmh4ampzZHo2SUN3Y3Jybkhuem9lbV9Gd1d6cFpxUFFuMG9tUjRoN2ppSWFJM2dhcVNHaXRjb3BNakJwWHBHNE5QaVVJUWtqYnZEZGxCTldOVXhRUzVEbTlSZThBWUVKS2VzQWlnLU0zWkF2N0xYOHNsTWJ5bXp6cXB6dGRmVGRERXBLVlJ1YW5JNU9XbHNtcXhHWHJia2plQQ?oc=5
JINDALPHOT,Jindal Photo Limited,Jindal Photo Ltd Leads Gainers in ‘B’ Group - Equitypandit,"<a href=""https://news.google.com/rss/articles/CBMie0FVX3lxTE9Ga1NzM2F2LXhpMXZtaTJuaHBEQjF2eUY4ZXVYUktnWHp5TXhrbGhUcktDbl9SU1hfQ0U3UHRPTVcxeExNeXpWc2pEZmlzYnlfZ3ZsMWVkWFRGMFBib0xrVDZRNERub2wxUFNOaHVCLThOQ3QyME9nYzhUUQ?oc=5"" target=""_blank"">Jindal Photo Ltd Leads Gainers in ‘B’ Group</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Equitypandit</font>",2022-12-27 08:00:00,Equitypandit,https://news.google.com/rss/articles/CBMie0FVX3lxTE9Ga1NzM2F2LXhpMXZtaTJuaHBEQjF2eUY4ZXVYUktnWHp5TXhrbGhUcktDbl9SU1hfQ0U3UHRPTVcxeExNeXpWc2pEZmlzYnlfZ3ZsMWVkWFRGMFBib0xrVDZRNERub2wxUFNOaHVCLThOQ3QyME9nYzhUUQ?oc=5
JINDALPHOT,Jindal Photo Limited,"Trade Spotlight: How should you trade HDFC Life, HUL, Piccadilly Agro, Jindal Photo, Wockhardt, SRM... - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMinAJBVV95cUxOYmt2TkdybjdKNTktNTlaa1pSVktYM0tVRHo5cnBjek5HR3haY1p5NWg3dlBXdTZfN2Ezb0J5VVlYWEJFOExUcU5pMmJjUEh1Uk9rek0wc1FzbFlrSjloX0pPUkFHU1ZmMngyMmVvblFLVWxucFRFTng1eXdhN19vWHhTbWpBTnNsSklXUGRrNzd1MDlVMUlXZ0dsRlJLYVBnYmpZeG9Na3kzVm9MX2UxS0xNUkppa2pRemZJS3BSMjQ3NVlReGFEa2RwcUotTklhSE01eEZYSjBoTXVkOERnZlY2UGVBa1RjcGdDY1RTc0NOazYxTzdEaW1oZkhFYVpyV1ZVZHhocjJWWWFXYk1meHl2eXhMd0lfU2VoQ9IBogJBVV95cUxNU3NIc3lmaE9vS2dxcng0VDJzejBsSTFuR1N0WTFsSC1EWUdHVHVlb3RnY3hoaFE3c0YyT1hiWjBidjc0NzRZTUZDSnNVakZQSlVkMTRBYWhtWWNCZy03OHQzQXAwSVY2bUxHYWZ3bWN5QmpmeGdMMllNN3AweEZNYVpIcU1jYzFUbGNrRTVPYVNzVDVwU3BYOFB5TmtOcHl3ZnVLRGlUdXJvQ3owZ2NleVA0WlZCNk1MTFdRbEpncElBTXRxTEh5bFVjMFY5ZVRXSjNEOExNRVQ3cDliXzdfb25kbE9WSzdvbXBXUWo1MWxHeGVNT1U5dlozUHoxOWhxcjgwOWk0bGFhV1ItZVFfRFl0Q29lSmJXa2R2MlhxUHgwUQ?oc=5"" target=""_blank"">Trade Spotlight: How should you trade HDFC Life, HUL, Piccadilly Agro, Jindal Photo, Wockhardt, SRM...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2024-12-17 08:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMinAJBVV95cUxOYmt2TkdybjdKNTktNTlaa1pSVktYM0tVRHo5cnBjek5HR3haY1p5NWg3dlBXdTZfN2Ezb0J5VVlYWEJFOExUcU5pMmJjUEh1Uk9rek0wc1FzbFlrSjloX0pPUkFHU1ZmMngyMmVvblFLVWxucFRFTng1eXdhN19vWHhTbWpBTnNsSklXUGRrNzd1MDlVMUlXZ0dsRlJLYVBnYmpZeG9Na3kzVm9MX2UxS0xNUkppa2pRemZJS3BSMjQ3NVlReGFEa2RwcUotTklhSE01eEZYSjBoTXVkOERnZlY2UGVBa1RjcGdDY1RTc0NOazYxTzdEaW1oZkhFYVpyV1ZVZHhocjJWWWFXYk1meHl2eXhMd0lfU2VoQ9IBogJBVV95cUxNU3NIc3lmaE9vS2dxcng0VDJzejBsSTFuR1N0WTFsSC1EWUdHVHVlb3RnY3hoaFE3c0YyT1hiWjBidjc0NzRZTUZDSnNVakZQSlVkMTRBYWhtWWNCZy03OHQzQXAwSVY2bUxHYWZ3bWN5QmpmeGdMMllNN3AweEZNYVpIcU1jYzFUbGNrRTVPYVNzVDVwU3BYOFB5TmtOcHl3ZnVLRGlUdXJvQ3owZ2NleVA0WlZCNk1MTFdRbEpncElBTXRxTEh5bFVjMFY5ZVRXSjNEOExNRVQ3cDliXzdfb25kbE9WSzdvbXBXUWo1MWxHeGVNT1U5dlozUHoxOWhxcjgwOWk0bGFhV1ItZVFfRFl0Q29lSmJXa2R2MlhxUHgwUQ?oc=5
JINDALPHOT,Jindal Photo Limited,Jindal Saw's (NSE:JINDALSAW) five-year total shareholder returns outpace the underlying earnings growth - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxPTWhDMXFwWW9aQ1g2ZmltRVU4R0hMMGxBZnhOQjZyNW1GYnhMV0Y1QnBFNFcydkpabmV6ZVlVR1J1TGRMQVdRRDNGNUlJSWthejEzdmJvVnBXemRtc0t3ME1YaVhiOVNQa0oxUndjME94dzhXR3NGd0k5OXFMVjRoRHZEYlY4M1NZY1kzWGZOemwxRldrb3ZfZkQxZmFRSDZqMXBBc18yRnZSSFhIVWlMUF9GWTdXaTdFVFpYZjItTHgxX0lTbV9pb3dYaFQwcm9HalhIQWNB0gHbAUFVX3lxTFBETURNNFNpVGhYdGNmN0tVS3czeWJBT1IwdXIwT01MbXloekFOazZHM0NOUFpTcDU0aFZwRnE3NTlkbUVIdWNYQ21HTEpySm02UnRoNEJ2SUp2aDU3ZVJrVVdkRnRIY0lNNDUtUTJ2aFU2eXpoeVM2X25TUlN5cFdnWjBiLVBHaWF5TTJ6SWlvX2F1ZjFTYm9FOHpwSndBSFFBUkFjVmJpRVBpeXc0cXp0V2Y2OGxLbW5CVmdZTm1CTFNXbkNPNU0wOURGZkxURmxFZWF2WW1YYUxQUQ?oc=5"" target=""_blank"">Jindal Saw's (NSE:JINDALSAW) five-year total shareholder returns outpace the underlying earnings growth</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-12-09 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPTWhDMXFwWW9aQ1g2ZmltRVU4R0hMMGxBZnhOQjZyNW1GYnhMV0Y1QnBFNFcydkpabmV6ZVlVR1J1TGRMQVdRRDNGNUlJSWthejEzdmJvVnBXemRtc0t3ME1YaVhiOVNQa0oxUndjME94dzhXR3NGd0k5OXFMVjRoRHZEYlY4M1NZY1kzWGZOemwxRldrb3ZfZkQxZmFRSDZqMXBBc18yRnZSSFhIVWlMUF9GWTdXaTdFVFpYZjItTHgxX0lTbV9pb3dYaFQwcm9HalhIQWNB0gHbAUFVX3lxTFBETURNNFNpVGhYdGNmN0tVS3czeWJBT1IwdXIwT01MbXloekFOazZHM0NOUFpTcDU0aFZwRnE3NTlkbUVIdWNYQ21HTEpySm02UnRoNEJ2SUp2aDU3ZVJrVVdkRnRIY0lNNDUtUTJ2aFU2eXpoeVM2X25TUlN5cFdnWjBiLVBHaWF5TTJ6SWlvX2F1ZjFTYm9FOHpwSndBSFFBUkFjVmJpRVBpeXc0cXp0V2Y2OGxLbW5CVmdZTm1CTFNXbkNPNU0wOURGZkxURmxFZWF2WW1YYUxQUQ?oc=5
JINDALPHOT,Jindal Photo Limited,Jindal Polyfilms Share Price Extends Decline to 4% As Fire Continues To Smoulder In Unit's Nashik Plant - NDTV Profit,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxOQWZDcWg2Zm5mb1FSUGlLTEczWElrbnlMQVhjVjU0YTNfWVRRTG1PTDJXcmpMTG5WaVlwRDNBcXVBMmpBanZnb2loSDV3Y3l0Q3RCaV82MU1qbWhBemtBeW1sNTJ2MDFkSmY1RXQ5aUp5SVVwWFlfUk1FSnFlZklfM3pobWxPQ1F3dmdVdTZ1NEdTTWxSMjJ6TEtJaG5sQzBIUUZqZVZXV01CLTRieHNaWEtVTTRmUFRvQWxJRnBXWU9ydGNGYmdxSVo3ZWJaMW5CbnBaUnItUzUyUHM2QUHSAeYBQVVfeXFMTWdvOFN4RkFZR2JONEZCelBOOTEzVDZCa0lUMnBJMHVkRzgyMlBQcDQwWHRUY0phY3otR1c3ZmZsNGp0R2J1R2JfZU83UWkzSndfWVJmYzY3OHV1WFlHNmdRd3RWV25OOHRfUHh0S0E2SXJkYW52RFBoc1R1SVBiMjc3Zm1FOUlRWm9QYm5pdll0dDU0SFFqRjlxZE1OVjczb0dEM25tZ2JmQ3NoZ2tPSHFIUDRka2dfVll1anJqaEZnVW1QTXNQY0ZlY1BxREpfREsxOXdkSXlVTVBETzJ3b3diVlg1U3c?oc=5"" target=""_blank"">Jindal Polyfilms Share Price Extends Decline to 4% As Fire Continues To Smoulder In Unit's Nashik Plant</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV Profit</font>",2025-05-23 07:00:00,NDTV Profit,https://news.google.com/rss/articles/CBMi3gFBVV95cUxOQWZDcWg2Zm5mb1FSUGlLTEczWElrbnlMQVhjVjU0YTNfWVRRTG1PTDJXcmpMTG5WaVlwRDNBcXVBMmpBanZnb2loSDV3Y3l0Q3RCaV82MU1qbWhBemtBeW1sNTJ2MDFkSmY1RXQ5aUp5SVVwWFlfUk1FSnFlZklfM3pobWxPQ1F3dmdVdTZ1NEdTTWxSMjJ6TEtJaG5sQzBIUUZqZVZXV01CLTRieHNaWEtVTTRmUFRvQWxJRnBXWU9ydGNGYmdxSVo3ZWJaMW5CbnBaUnItUzUyUHM2QUHSAeYBQVVfeXFMTWdvOFN4RkFZR2JONEZCelBOOTEzVDZCa0lUMnBJMHVkRzgyMlBQcDQwWHRUY0phY3otR1c3ZmZsNGp0R2J1R2JfZU83UWkzSndfWVJmYzY3OHV1WFlHNmdRd3RWV25OOHRfUHh0S0E2SXJkYW52RFBoc1R1SVBiMjc3Zm1FOUlRWm9QYm5pdll0dDU0SFFqRjlxZE1OVjczb0dEM25tZ2JmQ3NoZ2tPSHFIUDRka2dfVll1anJqaEZnVW1QTXNQY0ZlY1BxREpfREsxOXdkSXlVTVBETzJ3b3diVlg1U3c?oc=5
JINDALPHOT,Jindal Photo Limited,Jindal Steel & Power Shares Tumble 14% — Here's What Triggered The Fall - NDTV Profit,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxQbERKZnNzdjdjNGhRRFNHSXRINVF4QnBkLXdaQXF5ZnU5Rnk1MVZmQXZ0STJjaFZhVl9ha25kRlVlbG1TVkNXTkwxOUt6ck9zRVZxb1NzektobnFqRmw0STJHdTNuWVZKUGxrX0hVc0tjZnVQWVZSMmxLUTZSTEhMN0ZYbEY1UEJwTGFzQzM2dHdyd2RlSl8yYzlRWjZYV0E5anfSAbQBQVVfeXFMT2hxNmZJRnBLNGdTZXVUWmlnOVN5d3NzYW54WExhOGp2OUZxMzFjWkNJYWZBZ0hJWWgzamNldnhFNEppNzN3MDBQRUpRckZxNmFfU3haTmpoYzlDbjFmMzlLR1BMTTlETURMLXRBd2pGSGI0blpZUWpsa0hZSVAzR3hFQlE4Nm1EWF9ZbkNKWm5LckVjY3JtU3JBeTRjMWo3MWphQ2VQVkJReUxCUE1TZjVqUUxi?oc=5"" target=""_blank"">Jindal Steel & Power Shares Tumble 14% — Here's What Triggered The Fall</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV Profit</font>",2025-01-31 08:00:00,NDTV Profit,https://news.google.com/rss/articles/CBMiogFBVV95cUxQbERKZnNzdjdjNGhRRFNHSXRINVF4QnBkLXdaQXF5ZnU5Rnk1MVZmQXZ0STJjaFZhVl9ha25kRlVlbG1TVkNXTkwxOUt6ck9zRVZxb1NzektobnFqRmw0STJHdTNuWVZKUGxrX0hVc0tjZnVQWVZSMmxLUTZSTEhMN0ZYbEY1UEJwTGFzQzM2dHdyd2RlSl8yYzlRWjZYV0E5anfSAbQBQVVfeXFMT2hxNmZJRnBLNGdTZXVUWmlnOVN5d3NzYW54WExhOGp2OUZxMzFjWkNJYWZBZ0hJWWgzamNldnhFNEppNzN3MDBQRUpRckZxNmFfU3haTmpoYzlDbjFmMzlLR1BMTTlETURMLXRBd2pGSGI0blpZUWpsa0hZSVAzR3hFQlE4Nm1EWF9ZbkNKWm5LckVjY3JtU3JBeTRjMWo3MWphQ2VQVkJReUxCUE1TZjVqUUxi?oc=5
