scrip,company,headline,summary,published_date,source,url
GICRE,General Insurance Corporation of India,"General Insurance Corporation of India Schedules Analyst Conference Call for February 27, 2026 - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxPSTlrZWVfdGNWNENobnhfeGVRVmNWamFfb1BDSGVaOGhYaDNQSVZBdkNzeDRqVUpKdmF6NFNWYVNaMDNLVExzOFFCLWltYWRLVHdyWnlIY0oyUmEwWUlab3JjVHZKVWRtNkJVamxJNmNCSDV5N3c0S1dTbl9pdDhfdC1tVGpnRS15VFQtWUpvVU5hS25qZ2V0elkyY0pkN0lqYnVuUmlUTHJPaEM2djlISkZhU2U5U2wyM1BqcG1QYTczb0hnTXJ3S3RXd2Ytb0oxd1FZTHJkaUg2dTEtZEZFSA?oc=5"" target=""_blank"">General Insurance Corporation of India Schedules Analyst Conference Call for February 27, 2026</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-27 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi4AFBVV95cUxPSTlrZWVfdGNWNENobnhfeGVRVmNWamFfb1BDSGVaOGhYaDNQSVZBdkNzeDRqVUpKdmF6NFNWYVNaMDNLVExzOFFCLWltYWRLVHdyWnlIY0oyUmEwWUlab3JjVHZKVWRtNkJVamxJNmNCSDV5N3c0S1dTbl9pdDhfdC1tVGpnRS15VFQtWUpvVU5hS25qZ2V0elkyY0pkN0lqYnVuUmlUTHJPaEM2djlISkZhU2U5U2wyM1BqcG1QYTczb0hnTXJ3S3RXd2Ytb0oxd1FZTHJkaUg2dTEtZEZFSA?oc=5
GICRE,General Insurance Corporation of India,General Insurance Corporation of India's (NSE:GICRE) underlying earnings growth outpaced the strong return generated for shareholders over the past five years - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi9AFBVV95cUxQeEtMQ0JINHd3RzBLTkJwNFZlRGN5X19rLTV0YmFFbmxQUXVLWVZpX1NxZ3RQRzd1SjJndTBlVmJQYUtpZl9RckpwUDRscDJJWjZBZzRiZWIwM3RraDRWdUh5T3Jjd0hWZWxhdEIyZDVZX21oek5VaVY5NFgwNVY4Z1FsWU10V3ZTdTZzWUVVQWsxS1NrT1FlNm45NW91bW1FSm9UTURaS1RjVjhROEdnQkNmUEkzaWR5dENJLV9makJ5YzVwZFZLOE8yeHFnM2J6ZFg3NENUYkdpaFNUazBHQl9uUFY4ZzlPdm1vRnV6NzhDaGo5?oc=5"" target=""_blank"">General Insurance Corporation of India's (NSE:GICRE) underlying earnings growth outpaced the strong return generated for shareholders over the past five years</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-12-09 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi9AFBVV95cUxQeEtMQ0JINHd3RzBLTkJwNFZlRGN5X19rLTV0YmFFbmxQUXVLWVZpX1NxZ3RQRzd1SjJndTBlVmJQYUtpZl9RckpwUDRscDJJWjZBZzRiZWIwM3RraDRWdUh5T3Jjd0hWZWxhdEIyZDVZX21oek5VaVY5NFgwNVY4Z1FsWU10V3ZTdTZzWUVVQWsxS1NrT1FlNm45NW91bW1FSm9UTURaS1RjVjhROEdnQkNmUEkzaWR5dENJLV9makJ5YzVwZFZLOE8yeHFnM2J6ZFg3NENUYkdpaFNUazBHQl9uUFY4ZzlPdm1vRnV6NzhDaGo5?oc=5
GICRE,General Insurance Corporation of India,General Insurance Corporation of India Shows Mixed Technical Signals Amid Mild Momentum Shift - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxNcFdiYmtHNVQwSVlydWN0LS1OU3lCXzRXYTBGVE01T0hNT3FiMllHSG4yYkhNSGUyaklqNFdpa3h6eUw0VUpHWU1acW02QUFidnl5Yy1lNTZaLUVFa0N6MEJvWUpuU2t0LUlEcEVoQXg1MVkwWk44WW9wQ3VtU0RNNHl2RWhUZFZIcXNVZHdacVJtcE1RWThvZlBOS05uWVkyLVhfRlY1UTdpaUtnY24wczVVYTJUbkZnZHZZY3l3VENGUS1nRjJzYVB5Rjc3d1Nvby1FOFRsVGNpekd6YVpCQnJ3eXZLdw?oc=5"" target=""_blank"">General Insurance Corporation of India Shows Mixed Technical Signals Amid Mild Momentum Shift</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-09 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMi5gFBVV95cUxNcFdiYmtHNVQwSVlydWN0LS1OU3lCXzRXYTBGVE01T0hNT3FiMllHSG4yYkhNSGUyaklqNFdpa3h6eUw0VUpHWU1acW02QUFidnl5Yy1lNTZaLUVFa0N6MEJvWUpuU2t0LUlEcEVoQXg1MVkwWk44WW9wQ3VtU0RNNHl2RWhUZFZIcXNVZHdacVJtcE1RWThvZlBOS05uWVkyLVhfRlY1UTdpaUtnY24wczVVYTJUbkZnZHZZY3l3VENGUS1nRjJzYVB5Rjc3d1Nvby1FOFRsVGNpekd6YVpCQnJ3eXZLdw?oc=5
GICRE,General Insurance Corporation of India,Do General Insurance Corporation of India's (NSE:GICRE) Earnings Warrant Your Attention? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxPTmdhblNPZG1hYUNBWXRKZnF5UVpDOU9iaXJPbzY5emMtSDdWd0E3ZlJ4ajQ1aWx0U1ZUWVZESjZVLTk3SFlOOVFsQkNEYWszTG5hTUJ3Sl9XSGg3VGMxVXN2MVRhdlpaNkNiLTJRVHJhalRUel9WMWhxOXQ4YUNDRTIxRnc5U2E5dnQzTlMxN3plZDBRLUJtTmxmZUtPNU5faUl2SDFvbWxKOTRSZ2ZYc3JNX1QwamoxdVFrRkkyeExpVG4xMENHdUpOYWZjc1dtaWJ6VVNuYmt0cXRsTEI3SEM0LXBRRDRzU3ZJZllsMjUyYkhRUWc?oc=5"" target=""_blank"">Do General Insurance Corporation of India's (NSE:GICRE) Earnings Warrant Your Attention?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-04 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi9gFBVV95cUxPTmdhblNPZG1hYUNBWXRKZnF5UVpDOU9iaXJPbzY5emMtSDdWd0E3ZlJ4ajQ1aWx0U1ZUWVZESjZVLTk3SFlOOVFsQkNEYWszTG5hTUJ3Sl9XSGg3VGMxVXN2MVRhdlpaNkNiLTJRVHJhalRUel9WMWhxOXQ4YUNDRTIxRnc5U2E5dnQzTlMxN3plZDBRLUJtTmxmZUtPNU5faUl2SDFvbWxKOTRSZ2ZYc3JNX1QwamoxdVFrRkkyeExpVG4xMENHdUpOYWZjc1dtaWJ6VVNuYmt0cXRsTEI3SEM0LXBRRDRzU3ZJZllsMjUyYkhRUWc?oc=5
GICRE,General Insurance Corporation of India,General Insurance Corporation of India’s Valuation Shifts Signal Renewed Price Attractiveness - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxQY01CU09yQ0NUeHJrUWdaVUxxSnVTUFVOcVhTY3liM1A3MWlqR0h5eEFiRmNESzBBNER6QlNQdHlueTg3WVFRNzdqTEswNVZxZ2ZHdUlSSjZscnJvUXFieUxoVFRiRHhicGJkS0U5QjI2MHlaRHd4dFBOUWVLaG5FNHVIU2JzdG1sc3lGaUlvOExsMFI5NHRNb3NkYUJZS2x4M3BKREFDUFdIMDhMeHlLcXpVeDJBMDJuT09XbzBkaVFZTE1OdjlwXzJMQUo3RHJkSDRDRzhuNHNJRFdteHpHeXVyd24?oc=5"" target=""_blank"">General Insurance Corporation of India’s Valuation Shifts Signal Renewed Price Attractiveness</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-10 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQY01CU09yQ0NUeHJrUWdaVUxxSnVTUFVOcVhTY3liM1A3MWlqR0h5eEFiRmNESzBBNER6QlNQdHlueTg3WVFRNzdqTEswNVZxZ2ZHdUlSSjZscnJvUXFieUxoVFRiRHhicGJkS0U5QjI2MHlaRHd4dFBOUWVLaG5FNHVIU2JzdG1sc3lGaUlvOExsMFI5NHRNb3NkYUJZS2x4M3BKREFDUFdIMDhMeHlLcXpVeDJBMDJuT09XbzBkaVFZTE1OdjlwXzJMQUo3RHJkSDRDRzhuNHNJRFdteHpHeXVyd24?oc=5
GICRE,General Insurance Corporation of India,General Insurance Corporation of India's (NSE:GICRE) Earnings Are Not Doing Enough For Some Investors - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxNLVp3c285eEM1cFRFRENzMEllR2ZnLURnUFQxV3VHMGtLYjRxZXBkZ1VQTjl0TEltZ1c0RklidzlTekxxS3o5cWxGVmtXVmVWbkZFYXpwSEZWOWtlUFE4d0xQckpENGY1ZW9TRmtkYmU1T3ZoVVJ3QkE1UGU1NlNQWm1LQzJGa3RjNHNtNFAzZ0RDdnBBMzE1QUUzRGppb2Z1Mkt4Q3R0NGphRWl0bUpZRUZTSzZMZ1pscVI3cl93Wm4zcnpWZTZYM29QYnkzczRjcjJwQW9KR0lWcXhJcnhxb3A0cTU2bGtJT0hQY01JZFR0U3VvOEE?oc=5"" target=""_blank"">General Insurance Corporation of India's (NSE:GICRE) Earnings Are Not Doing Enough For Some Investors</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-31 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi9gFBVV95cUxNLVp3c285eEM1cFRFRENzMEllR2ZnLURnUFQxV3VHMGtLYjRxZXBkZ1VQTjl0TEltZ1c0RklidzlTekxxS3o5cWxGVmtXVmVWbkZFYXpwSEZWOWtlUFE4d0xQckpENGY1ZW9TRmtkYmU1T3ZoVVJ3QkE1UGU1NlNQWm1LQzJGa3RjNHNtNFAzZ0RDdnBBMzE1QUUzRGppb2Z1Mkt4Q3R0NGphRWl0bUpZRUZTSzZMZ1pscVI3cl93Wm4zcnpWZTZYM29QYnkzczRjcjJwQW9KR0lWcXhJcnhxb3A0cTU2bGtJT0hQY01JZFR0U3VvOEE?oc=5
GICRE,General Insurance Corporation of India,General Insurance Corporation of India Faces Bearish Momentum Amid Technical Downturn - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxQdm9NSnRZRzJ6aHZhY0dFRFhLVENKcnNJWGNrLUl3X2szUmJINGUzdWxNTHFtTTJEQjhlUlN0V1ZNV1ltUXFrQ19Qa1RBT1lxYkU5bVZwSVdkX1lBbVFGSkFXcFd4bk9Hb2kxWmw0TERmdGRtMjRiR1IwSkZJcUszOVoyWWd6UmZyTG1Yc2dMcGI5RmU5THFLVFN4cFRURzlMNGNKSE02dU42Y0JDMnFldDB4eUhlWHBZdlp3cUQwZjZudEpTMXBpRTN4UGF1bEdubVhYdThmX0xCTEk?oc=5"" target=""_blank"">General Insurance Corporation of India Faces Bearish Momentum Amid Technical Downturn</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-03 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMi2wFBVV95cUxQdm9NSnRZRzJ6aHZhY0dFRFhLVENKcnNJWGNrLUl3X2szUmJINGUzdWxNTHFtTTJEQjhlUlN0V1ZNV1ltUXFrQ19Qa1RBT1lxYkU5bVZwSVdkX1lBbVFGSkFXcFd4bk9Hb2kxWmw0TERmdGRtMjRiR1IwSkZJcUszOVoyWWd6UmZyTG1Yc2dMcGI5RmU5THFLVFN4cFRURzlMNGNKSE02dU42Y0JDMnFldDB4eUhlWHBZdlp3cUQwZjZudEpTMXBpRTN4UGF1bEdubVhYdThmX0xCTEk?oc=5
GICRE,General Insurance Corporation of India,General Insurance Corporation of India Declares Rs. 10 Per Share Dividend for FY 2025 - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxOb2tOTUtzX3BQa3JfUWpIOGt5U0lKMmVkZ0hLdzY0VDVWYWFJdjFLdFIxZXEteWdtRWFDdE9odUJtN0Z0RmJTRktIN2lEUGNUNGc0NlhjbmNiOHVPdVlxeEFWRjN3MVhLaURneWJfaDhtUlFRWDZKODFSczdmNU84N2txbzVCdE5Xd0ZjLTRycUtjdE1oZ2VvNldFMUloTmRoY3dMX0ZNUVVEYXV3U0NFS3hMQmJUR0syZkNjQlN0Y09VODhtckZOeG1mLTdfRXM1N1lVY291ejFqdUtIY0x6d3hiNA?oc=5"" target=""_blank"">General Insurance Corporation of India Declares Rs. 10 Per Share Dividend for FY 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-08-14 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi4wFBVV95cUxOb2tOTUtzX3BQa3JfUWpIOGt5U0lKMmVkZ0hLdzY0VDVWYWFJdjFLdFIxZXEteWdtRWFDdE9odUJtN0Z0RmJTRktIN2lEUGNUNGc0NlhjbmNiOHVPdVlxeEFWRjN3MVhLaURneWJfaDhtUlFRWDZKODFSczdmNU84N2txbzVCdE5Xd0ZjLTRycUtjdE1oZ2VvNldFMUloTmRoY3dMX0ZNUVVEYXV3U0NFS3hMQmJUR0syZkNjQlN0Y09VODhtckZOeG1mLTdfRXM1N1lVY291ejFqdUtIY0x6d3hiNA?oc=5
GICRE,General Insurance Corporation of India,Here's Why General Insurance Corporation of India's (NSE:GICRE) CEO May Deserve A Raise - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxOQzJQODcxMm1zM2Iyd2ZtZXZfeGZqSEJVOHJTSHl4Z3RndVNQMjdfZG4zd1F6VGRvc3kzNW5kUUU3bUppN2VKQW5TSTdXdUlOZTU2NkJzNzBNRWFOX1o3M1NoZXh2cUJsYnYxSzJwX0NoaG5PZWxuWnFOY0lKdHB6QWk4NUktblI5Q2VmSElBanZJR2RhTzNnN01mWjdEb0JrS0FVSkZiOTBNc3dqNGF6eVRuNGhKSWhzcGtlZzN4SGFqZ2ttLUxZRkZkX05QSW1PSzdMOWR0QUxSZ0RSdUlaMnFaQUxhbnNBYlJiUGw5eHpYRDQ4MnfSAfsBQVVfeXFMT1A2T3BiU3ZyUnIwNHYwdlFldGZwNFBJOFBYdURBYUhLZTdDY2toUWxEUUN6Ny0zTVhFcHlwZTBLRnJHbllUS0d5SEVCdkZCV213OFF2YTA5NVM5VVB5SHkzaGJOWEFMdUd6ay1RYmhEXzBQRldKWXBXeGdfYzlWRG1fd0ZodHNXM19rU00xb3VvMmh2N1BJVVdpekduSUkyQ1VGWmJ3NXNWVHFlVlJlSFU5YUJKeGxVc2lyNHc4SVJEMXB1ZlpYZG80OGptb09wcFdLYUZyMnhTMUEyQi1qRHdRdDNiSWJQbEpSTnVmcEdhUmRXM0JQOUhXQjQ?oc=5"" target=""_blank"">Here's Why General Insurance Corporation of India's (NSE:GICRE) CEO May Deserve A Raise</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-09-17 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi9gFBVV95cUxOQzJQODcxMm1zM2Iyd2ZtZXZfeGZqSEJVOHJTSHl4Z3RndVNQMjdfZG4zd1F6VGRvc3kzNW5kUUU3bUppN2VKQW5TSTdXdUlOZTU2NkJzNzBNRWFOX1o3M1NoZXh2cUJsYnYxSzJwX0NoaG5PZWxuWnFOY0lKdHB6QWk4NUktblI5Q2VmSElBanZJR2RhTzNnN01mWjdEb0JrS0FVSkZiOTBNc3dqNGF6eVRuNGhKSWhzcGtlZzN4SGFqZ2ttLUxZRkZkX05QSW1PSzdMOWR0QUxSZ0RSdUlaMnFaQUxhbnNBYlJiUGw5eHpYRDQ4MnfSAfsBQVVfeXFMT1A2T3BiU3ZyUnIwNHYwdlFldGZwNFBJOFBYdURBYUhLZTdDY2toUWxEUUN6Ny0zTVhFcHlwZTBLRnJHbllUS0d5SEVCdkZCV213OFF2YTA5NVM5VVB5SHkzaGJOWEFMdUd6ay1RYmhEXzBQRldKWXBXeGdfYzlWRG1fd0ZodHNXM19rU00xb3VvMmh2N1BJVVdpekduSUkyQ1VGWmJ3NXNWVHFlVlJlSFU5YUJKeGxVc2lyNHc4SVJEMXB1ZlpYZG80OGptb09wcFdLYUZyMnhTMUEyQi1qRHdRdDNiSWJQbEpSTnVmcEdhUmRXM0JQOUhXQjQ?oc=5
GICRE,General Insurance Corporation of India,General Insurance Corporation of India Shows Mixed Technical Signals Amid Mild Recovery - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxOc2pMcjNCZ296QjY5a3hlMU9MZWdqTE5HUXlvMzl3bHpVdHlOQUU5ZHozWHVxZ1lNb2ZvY2xUMmtUbmVJa250RzhOeUxKZXlKNHREOGNCdTc4d1BaZDRNNGJCak9PeUlHTWh6cHkxdmJ3d01aRV95dXRMT0Q1YlRCV3hIV0djZzY0cUtDc3Y2WWwwdlJSWkJSdkVZc2phQU1UTlB4NVVRdW9jMUppX2lhdGV1YjI5em0yRmdrTnd6YUdMaU1DbklqbE82N3NrWDE1V2VhTXIydVFfeUdiaXc?oc=5"" target=""_blank"">General Insurance Corporation of India Shows Mixed Technical Signals Amid Mild Recovery</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-01 03:18:25,Markets Mojo,https://news.google.com/rss/articles/CBMi3gFBVV95cUxOc2pMcjNCZ296QjY5a3hlMU9MZWdqTE5HUXlvMzl3bHpVdHlOQUU5ZHozWHVxZ1lNb2ZvY2xUMmtUbmVJa250RzhOeUxKZXlKNHREOGNCdTc4d1BaZDRNNGJCak9PeUlHTWh6cHkxdmJ3d01aRV95dXRMT0Q1YlRCV3hIV0djZzY0cUtDc3Y2WWwwdlJSWkJSdkVZc2phQU1UTlB4NVVRdW9jMUppX2lhdGV1YjI5em0yRmdrTnd6YUdMaU1DbklqbE82N3NrWDE1V2VhTXIydVFfeUdiaXc?oc=5
GICRE,General Insurance Corporation of India,General Insurance Corporation of India's (NSE:GICRE) Stock Is Going Strong: Have Financials A Role To Play? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxNZkYtMnBVUGlQTmNSZjRzOEtOeHVWaGpwUHQ0TlozMDJJdlpBMFBiWnFHQ1hDQlBSajRWckU0UzVqVVFKTlpwdzFxUWNkYVI1REtaT0t2REZLeU4wYkdpeWJ5QUQ1d3hoNVNuQkNVSTZyNUZtbDVQbUc1TU45dGpRQVFGSkU0NFJRd1NqQWgyUE9MdHVnYm90YnNfMEloOUo4eEhZUGd4R3VBYXF0UlIzaFZNc1pjOHVGS3RwZFRKMzJmY0t1ZEZEczRGSy1XRV95VnkwNmtfZWlvSlFQbC11bXJKQ0JuSC1fbEpWcFBxWVh5MUlZWXfSAfsBQVVfeXFMUGlWWTdaRVZ2RXVENjlIT214b2lVLVRVdTZFZ3o1b09QbTZodXE3enVCYTF5dWV0V2ZraXczSkk1NnNtYXl3RjctY1NzYUxvVk1GcTBQa3dGY1RuaXh3LTV3WW9VQzd3LXFUMkstdTV1bVlEQlRha3FpMTQ3QkdxUnpkU2FxdTVtblB4ZUY0QVhaM0pVeUttaXhieUp6UUVmSjBhYUVtTXA3dlRMVEplakM1N3BDYi1oZ3BheXA1dTJqakE1azEzV1BBSTU5aEFEQXhQLVhQall2X1JSeEZLQ1hSV1VhNFNjN1Jya1FtdDdyMlJ5MUljb2JiMVU?oc=5"" target=""_blank"">General Insurance Corporation of India's (NSE:GICRE) Stock Is Going Strong: Have Financials A Role To Play?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-03-23 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi9gFBVV95cUxNZkYtMnBVUGlQTmNSZjRzOEtOeHVWaGpwUHQ0TlozMDJJdlpBMFBiWnFHQ1hDQlBSajRWckU0UzVqVVFKTlpwdzFxUWNkYVI1REtaT0t2REZLeU4wYkdpeWJ5QUQ1d3hoNVNuQkNVSTZyNUZtbDVQbUc1TU45dGpRQVFGSkU0NFJRd1NqQWgyUE9MdHVnYm90YnNfMEloOUo4eEhZUGd4R3VBYXF0UlIzaFZNc1pjOHVGS3RwZFRKMzJmY0t1ZEZEczRGSy1XRV95VnkwNmtfZWlvSlFQbC11bXJKQ0JuSC1fbEpWcFBxWVh5MUlZWXfSAfsBQVVfeXFMUGlWWTdaRVZ2RXVENjlIT214b2lVLVRVdTZFZ3o1b09QbTZodXE3enVCYTF5dWV0V2ZraXczSkk1NnNtYXl3RjctY1NzYUxvVk1GcTBQa3dGY1RuaXh3LTV3WW9VQzd3LXFUMkstdTV1bVlEQlRha3FpMTQ3QkdxUnpkU2FxdTVtblB4ZUY0QVhaM0pVeUttaXhieUp6UUVmSjBhYUVtTXA3dlRMVEplakM1N3BDYi1oZ3BheXA1dTJqakE1azEzV1BBSTU5aEFEQXhQLVhQall2X1JSeEZLQ1hSV1VhNFNjN1Jya1FtdDdyMlJ5MUljb2JiMVU?oc=5
GICRE,General Insurance Corporation of India,General Insurance Corporation of India Shows Mixed Technical Signals Amid Market Shifts - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxPbVI3eHZkb0htWUVsVmZvTUx3VEprc2tXTmJRY2xranJ6ckNMQ1hFeE5xeER2YS1fWWlxZVEySFZEckxKaGNRN3U4OWNMS25oNm1DcXUzMlgzZHRWVTBPMmNxRXNmaGFjdWgyZ2xXWE9TSWFfUjNKT3ZTUE14WjZVRHZ1Nmx6Y256c0JaSUpESzJMUk1ROVBiYm9jbTVKRmRPa3RGT05DNk1QTnhfTF8yanJjQnd6N21LNUVJSER0cWtXSmVDYm5EUnFaazdsMjhwb0pkUmVCZjI?oc=5"" target=""_blank"">General Insurance Corporation of India Shows Mixed Technical Signals Amid Market Shifts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-12-02 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMi2AFBVV95cUxPbVI3eHZkb0htWUVsVmZvTUx3VEprc2tXTmJRY2xranJ6ckNMQ1hFeE5xeER2YS1fWWlxZVEySFZEckxKaGNRN3U4OWNMS25oNm1DcXUzMlgzZHRWVTBPMmNxRXNmaGFjdWgyZ2xXWE9TSWFfUjNKT3ZTUE14WjZVRHZ1Nmx6Y256c0JaSUpESzJMUk1ROVBiYm9jbTVKRmRPa3RGT05DNk1QTnhfTF8yanJjQnd6N21LNUVJSER0cWtXSmVDYm5EUnFaazdsMjhwb0pkUmVCZjI?oc=5
GICRE,General Insurance Corporation of India,General Insurance Corporation of India (GIC Re) Q3 FY2026 Investor Presentation Highlights - InvestyWise,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxOd0dINGVpZHNmOFYydWJIZDBVYS01UmUxYXZjZ0loM0hOM0MyOUgyZmp2VWhkcVQxdjFvRkIzSEVKb3dCZ2hrN2JJVGRTQnhFUG05dGxLU25GTWRQOVZUdV9qa0Q2R2JBYzNRR3dFeEM1SVo5djU1aDZYWjViY0dhOEZxTExJcUotbW1TV2tva09xV2p3RGlzWlBjaFEwbVBD?oc=5"" target=""_blank"">General Insurance Corporation of India (GIC Re) Q3 FY2026 Investor Presentation Highlights</a>&nbsp;&nbsp;<font color=""#6f6f6f"">InvestyWise</font>",2026-02-09 08:00:00,InvestyWise,https://news.google.com/rss/articles/CBMioAFBVV95cUxOd0dINGVpZHNmOFYydWJIZDBVYS01UmUxYXZjZ0loM0hOM0MyOUgyZmp2VWhkcVQxdjFvRkIzSEVKb3dCZ2hrN2JJVGRTQnhFUG05dGxLU25GTWRQOVZUdV9qa0Q2R2JBYzNRR3dFeEM1SVo5djU1aDZYWjViY0dhOEZxTExJcUotbW1TV2tva09xV2p3RGlzWlBjaFEwbVBD?oc=5
GICRE,General Insurance Corporation of India,General Insurance Corporation Faces Decline Amid Broader Market Challenges and Mixed Momentum - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxNRzdmdV91MEJUay1xaFZFWmZIS2hyckhoVDJlR203UGI3TnRzZmRVNlFHaFZVRFZrZmFjMVVSa1dGaXZxTU1SY2RxakdjbEpVQVdEdmxZSDFMM1VFOVg2N3MyYnUyU0VXMGFBN1I4bEVoNWxOYmxncXgwN3ZxaDFaak9aWTZyc2xyOFBxcDB2S2l6Y2paYzYwdk45YmZXSndOT05KS3dId0ZYODNOUmR4YjJ0RXNiT3lIZzJKZjdXaFZ3NDhTZEhYb0dGMnZzclE2Z3c?oc=5"" target=""_blank"">General Insurance Corporation Faces Decline Amid Broader Market Challenges and Mixed Momentum</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-05-27 05:54:01,Markets Mojo,https://news.google.com/rss/articles/CBMi0gFBVV95cUxNRzdmdV91MEJUay1xaFZFWmZIS2hyckhoVDJlR203UGI3TnRzZmRVNlFHaFZVRFZrZmFjMVVSa1dGaXZxTU1SY2RxakdjbEpVQVdEdmxZSDFMM1VFOVg2N3MyYnUyU0VXMGFBN1I4bEVoNWxOYmxncXgwN3ZxaDFaak9aWTZyc2xyOFBxcDB2S2l6Y2paYzYwdk45YmZXSndOT05KS3dId0ZYODNOUmR4YjJ0RXNiT3lIZzJKZjdXaFZ3NDhTZEhYb0dGMnZzclE2Z3c?oc=5
GICRE,General Insurance Corporation of India,General Insurance Corporation of India Welcomes Tapan Kumar Mondal as Government Nominee Director - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxQTWgtOHRzVl94VnlYYnNHUTdTeG12ZFBlS0pUOUdFVjFJRmZ4bEVaR2MzaXVIOHdlcHZ6US1CMGtOdDJkMDBIeFpsdUQ1REFmWEl4NEQtVU9KUWJySkVqMTBxaGRmMmM3aE9KdjRDS05XNFJZRUhxSmtvbU1uT29uQndxektsSDJPcmhJT1Y0aWZuUGMxakdxVWt5WG13dDV2MjZkYUpDU2tlUU9BYlB2bTgwX2xFVmlSVTU3MmR2b1pqWXBDc0g0dXR6QkVSZWtlNzRpN2E1TFFVSXE2OFpTV1VBWWxLQQ?oc=5"" target=""_blank"">General Insurance Corporation of India Welcomes Tapan Kumar Mondal as Government Nominee Director</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-07-29 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi5gFBVV95cUxQTWgtOHRzVl94VnlYYnNHUTdTeG12ZFBlS0pUOUdFVjFJRmZ4bEVaR2MzaXVIOHdlcHZ6US1CMGtOdDJkMDBIeFpsdUQ1REFmWEl4NEQtVU9KUWJySkVqMTBxaGRmMmM3aE9KdjRDS05XNFJZRUhxSmtvbU1uT29uQndxektsSDJPcmhJT1Y0aWZuUGMxakdxVWt5WG13dDV2MjZkYUpDU2tlUU9BYlB2bTgwX2xFVmlSVTU3MmR2b1pqWXBDc0g0dXR6QkVSZWtlNzRpN2E1TFFVSXE2OFpTV1VBWWxLQQ?oc=5
