scrip,company,headline,summary,published_date,source,url
SOBHA,Sobha Limited,Sobha Ltd Records Rs. 24.81 Crore Block Trade on NSE - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxPYjVTUnlsSGxhTWZUUmF6SFB6eGtFWmxiVTAwcTBBRUhBRzZUQm1EdFRMY3lWZmUtNklMdFIxaDNmdm1xZFlYWTZJY1ZkS0ZObWZPVzNOdXZVSTFIQ1BuMlBtUlJMaEpZWS1JamZ6VEtiek1ueU9PMF95blNKa0ZxNURmQ0NjNUw2Uk8tVkJnWG84eGRmckZibk4zQTRLSFpCanpoX2VhR1FQUTE5RzdnTQ?oc=5"" target=""_blank"">Sobha Ltd Records Rs. 24.81 Crore Block Trade on NSE</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-27 05:34:21,scanx.trade,https://news.google.com/rss/articles/CBMisAFBVV95cUxPYjVTUnlsSGxhTWZUUmF6SFB6eGtFWmxiVTAwcTBBRUhBRzZUQm1EdFRMY3lWZmUtNklMdFIxaDNmdm1xZFlYWTZJY1ZkS0ZObWZPVzNOdXZVSTFIQ1BuMlBtUlJMaEpZWS1JamZ6VEtiek1ueU9PMF95blNKa0ZxNURmQ0NjNUw2Uk8tVkJnWG84eGRmckZibk4zQTRLSFpCanpoX2VhR1FQUTE5RzdnTQ?oc=5
SOBHA,Sobha Limited,Insiders the biggest winners as Sobha Limited's (NSE:SOBHA) market cap rises to ₹177b - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxQVzFqNnVoaHEzZy1jVzBTTnNJQzJtQnpHWkFRZTNyd0lwWWMteFh6bjJvakNTa01jZ0g1Vmxka3NFdnhlZmwyNnV2VEhHTHhVSF9XUjdoaDNOX05ucmNOaGhLNllLZ3lNWFhvejhncTBMS3dnU3pHWlRJb0ZiMjcwMnFCVldKRjJ5dkNKUEEyc2xiRDJDYkc5WEVKeThmY2w4R0RBQ2tVNkR1dEZjeFlYMmdVbGo4OVFjaHdoS1FhN2JZNlFnOU9ybmJYZUloaklnemlVMWpmLUh3RnhfT3JQMW8xUHRNVWlMMFFvTjB1OWZSVjTSAfgBQVVfeXFMTWxvbW5meS1BV2dXeEpKZWdMd28xcHd4LVNQOWVDSGUwNVdNREJ0eW8wMTBsM0l3U2lxLWdBQ0NkbENia0lqajlrcEFWMlFOVi1kcWt2RWVBVHhrLVBzMkxEUWtsSEJEbFFScmVpMEJUVnNmMnpTSl9IZzVGaTE4VVY3OUlPd29YTWdzWlZ3a0daY0hyV0t3T3JzLVJaMWJYQWQ5OE9FRjRuajNBS3Q4N3BxLVBRa2Y0akRTQ3RTVko5MlBSalNkYVhtbm5ILUkyVGcxRXU4UVhUbmZRUDh6VEQ2OThqUFl0WWwzOFltdlNFRHBrTFNxMm4?oc=5"" target=""_blank"">Insiders the biggest winners as Sobha Limited's (NSE:SOBHA) market cap rises to ₹177b</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-04 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi8wFBVV95cUxQVzFqNnVoaHEzZy1jVzBTTnNJQzJtQnpHWkFRZTNyd0lwWWMteFh6bjJvakNTa01jZ0g1Vmxka3NFdnhlZmwyNnV2VEhHTHhVSF9XUjdoaDNOX05ucmNOaGhLNllLZ3lNWFhvejhncTBMS3dnU3pHWlRJb0ZiMjcwMnFCVldKRjJ5dkNKUEEyc2xiRDJDYkc5WEVKeThmY2w4R0RBQ2tVNkR1dEZjeFlYMmdVbGo4OVFjaHdoS1FhN2JZNlFnOU9ybmJYZUloaklnemlVMWpmLUh3RnhfT3JQMW8xUHRNVWlMMFFvTjB1OWZSVjTSAfgBQVVfeXFMTWxvbW5meS1BV2dXeEpKZWdMd28xcHd4LVNQOWVDSGUwNVdNREJ0eW8wMTBsM0l3U2lxLWdBQ0NkbENia0lqajlrcEFWMlFOVi1kcWt2RWVBVHhrLVBzMkxEUWtsSEJEbFFScmVpMEJUVnNmMnpTSl9IZzVGaTE4VVY3OUlPd29YTWdzWlZ3a0daY0hyV0t3T3JzLVJaMWJYQWQ5OE9FRjRuajNBS3Q4N3BxLVBRa2Y0akRTQ3RTVko5MlBSalNkYVhtbm5ILUkyVGcxRXU4UVhUbmZRUDh6VEQ2OThqUFl0WWwzOFltdlNFRHBrTFNxMm4?oc=5
SOBHA,Sobha Limited,Sobha Ltd shares in focus as Q1 PAT surges 123% YoY - The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxPSnM3RmhyYTgwcmdobnRpUGdjMHViSHF6akhncFRrOGhmSUEyM1dSY0psQVJWOVJxUnN4bkZON0VxS3BjSGwyWUQ2WEI4cEF4QWtLTnk2bUdoV3lZeFJ0aW9CT3lKb2IzQ01tcDdKNm1ISl9zd3MtVUZwM0pXRGZiOWdvSmFNUkJsMjljWERHLUkzT3ROTjhFSE5laXNYclRhdlZVbjFFYWo2QkRQV2psLVVZMUp2OU5VRGc0ZjdRaTI4Z9IBxwFBVV95cUxNUFZUWm50QTVSanFMcl9LQ0JpTlQ2cnpFcVJLNVpEYTlGZzBlNjhmWGd2TzZ4OV8wdHpiNTdETjE2THFaelJCT2t3STQyaGc2by13ZW02eTNCZFRsSHpnUWhmUWQwWVlwSE5TMXN6eWVXNExLanpqclV1X2wtTkxkVUNTcVhrRG1NMnQwSHRoMDU1b2VkZjFBRHdrdDhkbXFqUWo1bFpLbGJvYjFSUDNNbnVuTVFHdnZRWlZZVWE5V1B4LWlfalJV?oc=5"" target=""_blank"">Sobha Ltd shares in focus as Q1 PAT surges 123% YoY</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",2025-07-28 07:00:00,The Economic Times,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPSnM3RmhyYTgwcmdobnRpUGdjMHViSHF6akhncFRrOGhmSUEyM1dSY0psQVJWOVJxUnN4bkZON0VxS3BjSGwyWUQ2WEI4cEF4QWtLTnk2bUdoV3lZeFJ0aW9CT3lKb2IzQ01tcDdKNm1ISl9zd3MtVUZwM0pXRGZiOWdvSmFNUkJsMjljWERHLUkzT3ROTjhFSE5laXNYclRhdlZVbjFFYWo2QkRQV2psLVVZMUp2OU5VRGc0ZjdRaTI4Z9IBxwFBVV95cUxNUFZUWm50QTVSanFMcl9LQ0JpTlQ2cnpFcVJLNVpEYTlGZzBlNjhmWGd2TzZ4OV8wdHpiNTdETjE2THFaelJCT2t3STQyaGc2by13ZW02eTNCZFRsSHpnUWhmUWQwWVlwSE5TMXN6eWVXNExLanpqclV1X2wtTkxkVUNTcVhrRG1NMnQwSHRoMDU1b2VkZjFBRHdrdDhkbXFqUWo1bFpLbGJvYjFSUDNNbnVuTVFHdnZRWlZZVWE5V1B4LWlfalJV?oc=5
SOBHA,Sobha Limited,"Sobha Ltd Q2 results: Net profit more than triples, revenue rises over 50% - CNBC TV18","<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxQdmtkN0JYX2lfNU94Q21iOW8wcUJCdWhXaWpac294Nk5NTF9lSUU2NUdmMXIzT0lNODhHWGRmU25Uc1BWekczbURWSnRZMkRoLWhvellVQjZybVZOLW42eU9SR3VQY0I0S2JxdVlDMmNEc2RNekJJYTBEZ1JHREtEU3gtN2JReWpLY1FVZV9aME5RS045YWRpOFFEQ3ozdFR5d3QxRDhWbWhhWjBtcm9GRGpKMEdoaXBON0xIY0piM0JYZDNjOHcxVEZPd9IB0AFBVV95cUxNTWxOSnVxNkoxeWNJSjlTQmtnYk5xdjE4eWVWVmJKNmF2MWt0aTQ4dWxtRFdMU3hPUzVWNkI2NXpwa29wZVJZZmdvdWphb2NsOVdRSFdmOG4xOWNxenRaQmN4RTVJazFMa0tLR1M3TkFFQmpRSFE5c3RRU1o3dFNVRl9RcEVtWDQwWUhzNDZvanNidDFEOG9kZ3BJY0RRdUdzV3NkZS1HWW01TDZUUTR3NzZxTlVhX3FtMHhWZThxcDlqUmxFLUJiTEJYZG9reVB1?oc=5"" target=""_blank"">Sobha Ltd Q2 results: Net profit more than triples, revenue rises over 50%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",2025-10-17 07:00:00,CNBC TV18,https://news.google.com/rss/articles/CBMiywFBVV95cUxQdmtkN0JYX2lfNU94Q21iOW8wcUJCdWhXaWpac294Nk5NTF9lSUU2NUdmMXIzT0lNODhHWGRmU25Uc1BWekczbURWSnRZMkRoLWhvellVQjZybVZOLW42eU9SR3VQY0I0S2JxdVlDMmNEc2RNekJJYTBEZ1JHREtEU3gtN2JReWpLY1FVZV9aME5RS045YWRpOFFEQ3ozdFR5d3QxRDhWbWhhWjBtcm9GRGpKMEdoaXBON0xIY0piM0JYZDNjOHcxVEZPd9IB0AFBVV95cUxNTWxOSnVxNkoxeWNJSjlTQmtnYk5xdjE4eWVWVmJKNmF2MWt0aTQ4dWxtRFdMU3hPUzVWNkI2NXpwa29wZVJZZmdvdWphb2NsOVdRSFdmOG4xOWNxenRaQmN4RTVJazFMa0tLR1M3TkFFQmpRSFE5c3RRU1o3dFNVRl9RcEVtWDQwWUhzNDZvanNidDFEOG9kZ3BJY0RRdUdzV3NkZS1HWW01TDZUUTR3NzZxTlVhX3FtMHhWZThxcDlqUmxFLUJiTEJYZG9reVB1?oc=5
SOBHA,Sobha Limited,"Sobha shares up 1.6%: Realty firm enters Mumbai housing market, launches 1st project comprising 310 flats - Upstox","<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxOcVpxNVV6M2RvX1ZvZ29qbjlKV3dHN1Q3VUtCVXFSQS1uTVNBN3ppYUFnajNUeWRPZ2xfdzdRa0ZoYlROOGc4TmkwekU3eEZUM2w2dUI4VXpjN3RIdzhsV1VpbUxWYzdfU1pIV1lGNHhlcGpENEZrT21WVG1OQVMwSHBGQ3V6VGRQSUZ4SHc5Y1VnckRFdXM0X0FFb3hMaDBhcHhNNE5sMEpmRFAtcTRURHR6YlNWMkxFYWhrSWhCWlhzc2YxQXhDbWpJUDhpbE1ValR4S255Y001dGRRY29BS3ZOalZsaFJwZm4tcTY5bzlNbEZFeXc?oc=5"" target=""_blank"">Sobha shares up 1.6%: Realty firm enters Mumbai housing market, launches 1st project comprising 310 flats</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2025-11-24 08:00:00,Upstox,https://news.google.com/rss/articles/CBMi9gFBVV95cUxOcVpxNVV6M2RvX1ZvZ29qbjlKV3dHN1Q3VUtCVXFSQS1uTVNBN3ppYUFnajNUeWRPZ2xfdzdRa0ZoYlROOGc4TmkwekU3eEZUM2w2dUI4VXpjN3RIdzhsV1VpbUxWYzdfU1pIV1lGNHhlcGpENEZrT21WVG1OQVMwSHBGQ3V6VGRQSUZ4SHc5Y1VnckRFdXM0X0FFb3hMaDBhcHhNNE5sMEpmRFAtcTRURHR6YlNWMkxFYWhrSWhCWlhzc2YxQXhDbWpJUDhpbE1ValR4S255Y001dGRRY29BS3ZOalZsaFJwZm4tcTY5bzlNbEZFeXc?oc=5
SOBHA,Sobha Limited,"Anant Raj And DLF, Brigade Enterprises And Sobha Fall | Realty Stocks Slide In Stock Market Today - Samco","<a href=""https://news.google.com/rss/articles/CBMiqAJBVV95cUxPYVJnZExnQWxfSTlpUzg0LUJQd1NjSTdBMVhWaHRXOUxTd2lsUXFnb05fT3l0SDQ5ekIwNVBJa2tpcUs5T0h5U3VKVUx0YWhSWWtBVmlQblpwVlh2SGhyMERkMUZHT05GZHl4VHhUNlphNHU1OGxUdE10azJsTlNkV19JemhfZmNuRk9ra1BmQ3V0bkxlZ0F6N1hiX3JfX3F1N3JrQnJKRGctSHNhc2EwWXl2d0lmT1FEZUZ2bzlfTDYwcUNISjQ1N2FQSXIyeFhGTV9lQWVoZEhocHI1NjlnNmdsVUVBb2NMYlRJcFl2dUlSMDV5eU5XVnpBMHVhT3J5LUZNWTNOclJiWTB5aFJhN1ZRdVBEY204YTgxbnBXMHdHanZUNkhBYw?oc=5"" target=""_blank"">Anant Raj And DLF, Brigade Enterprises And Sobha Fall | Realty Stocks Slide In Stock Market Today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Samco</font>",2026-02-12 09:21:36,Samco,https://news.google.com/rss/articles/CBMiqAJBVV95cUxPYVJnZExnQWxfSTlpUzg0LUJQd1NjSTdBMVhWaHRXOUxTd2lsUXFnb05fT3l0SDQ5ekIwNVBJa2tpcUs5T0h5U3VKVUx0YWhSWWtBVmlQblpwVlh2SGhyMERkMUZHT05GZHl4VHhUNlphNHU1OGxUdE10azJsTlNkV19JemhfZmNuRk9ra1BmQ3V0bkxlZ0F6N1hiX3JfX3F1N3JrQnJKRGctSHNhc2EwWXl2d0lmT1FEZUZ2bzlfTDYwcUNISjQ1N2FQSXIyeFhGTV9lQWVoZEhocHI1NjlnNmdsVUVBb2NMYlRJcFl2dUlSMDV5eU5XVnpBMHVhT3J5LUZNWTNOclJiWTB5aFJhN1ZRdVBEY204YTgxbnBXMHdHanZUNkhBYw?oc=5
SOBHA,Sobha Limited,Sobha Ltd. Q2 FY26: Strong Profit Recovery Masks Margin Pressure and Valuation Concerns - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxPdmZqQ0tsVnBqbVVJR3VxaFowS3ZoRk1HdFQ5T3pRODN3NFFzd3FoVW5UZHktTUJRZUZ0czgwOEFxU04zTjFfd29NNFZ1ak51cWlpZ1pPeFNzTkxFdnhucVdaRFp5R05QbmlRN2oyNjA3RE1wREU3U0FOX1F5b3dNRjdWUnh4Sjh2VmROQU12akl6LTdieERfdVdnRUtYNjlvRDN2dmY1eUxnWkEwVnZ4MHltaFEtbGZPMEUyNEZZWk1MOHExOU8welBZRkVPVUZTRDdGUm85ckYzUQ?oc=5"" target=""_blank"">Sobha Ltd. Q2 FY26: Strong Profit Recovery Masks Margin Pressure and Valuation Concerns</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-10-17 07:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMi2gFBVV95cUxPdmZqQ0tsVnBqbVVJR3VxaFowS3ZoRk1HdFQ5T3pRODN3NFFzd3FoVW5UZHktTUJRZUZ0czgwOEFxU04zTjFfd29NNFZ1ak51cWlpZ1pPeFNzTkxFdnhucVdaRFp5R05QbmlRN2oyNjA3RE1wREU3U0FOX1F5b3dNRjdWUnh4Sjh2VmROQU12akl6LTdieERfdVdnRUtYNjlvRDN2dmY1eUxnWkEwVnZ4MHltaFEtbGZPMEUyNEZZWk1MOHExOU8welBZRkVPVUZTRDdGUm85ckYzUQ?oc=5
SOBHA,Sobha Limited,"SOBHA Q1FY26 Sales Hit ₹2,078.8 Cr; NCR Drives Record Growth - HDFC Sky","<a href=""https://news.google.com/rss/articles/CBMiggFBVV95cUxNMFQxZmxxaDA2b0oycVNUMlEyRUY0cmFDd2xOTG52ZThrWm9saHlTaWxqSHYzSGJYZzJONmF0djVQcE9WSEtCTk55MFVZdjVjZTd5SWZQTmw5ZWQ2bFhHbEpFb1hzWmxPSFRmd1FQLWdKLThaYVpCN1htTGxoMlVmbTFR?oc=5"" target=""_blank"">SOBHA Q1FY26 Sales Hit ₹2,078.8 Cr; NCR Drives Record Growth</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-07-08 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMiggFBVV95cUxNMFQxZmxxaDA2b0oycVNUMlEyRUY0cmFDd2xOTG52ZThrWm9saHlTaWxqSHYzSGJYZzJONmF0djVQcE9WSEtCTk55MFVZdjVjZTd5SWZQTmw5ZWQ2bFhHbEpFb1hzWmxPSFRmd1FQLWdKLThaYVpCN1htTGxoMlVmbTFR?oc=5
SOBHA,Sobha Limited,Sobha shares jump 5% after announcing robust sales growth in Q3; Check the details - Trade Brains,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxQMUlIbm40WXZDdDgwUkM0eFhCa2l3Y3d5YkZaeDJHNG5HX0N4bkxoZVY3MEozSWM4aEhSa0VMYjlOM2tNMk1mWHhZM21hZW9jSGc5NFhXQTFWQm0xS1JoSUZiVEN3Z2FlVFNRSXVKNHZpZElLekp4UlE2OE1OXzUyVU9pSmtHb2VVSEV0TUgtQ2pfcWtxbTVOM3ZqdHpMSnhIZ2ZQaU1OUQ?oc=5"" target=""_blank"">Sobha shares jump 5% after announcing robust sales growth in Q3; Check the details</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Trade Brains</font>",2026-01-05 08:00:00,Trade Brains,https://news.google.com/rss/articles/CBMipwFBVV95cUxQMUlIbm40WXZDdDgwUkM0eFhCa2l3Y3d5YkZaeDJHNG5HX0N4bkxoZVY3MEozSWM4aEhSa0VMYjlOM2tNMk1mWHhZM21hZW9jSGc5NFhXQTFWQm0xS1JoSUZiVEN3Z2FlVFNRSXVKNHZpZElLekp4UlE2OE1OXzUyVU9pSmtHb2VVSEV0TUgtQ2pfcWtxbTVOM3ZqdHpMSnhIZ2ZQaU1OUQ?oc=5
SOBHA,Sobha Limited,"Sobha, DLF, other real estate shares rise up to 6% on optimism over Fed rate cut - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxPVXV4aUs2STFocF9USUdDX2hMSTZKMTV1VVpvbnBqRTJ3ZUQ3V3hrWGRlcjlMYjJMcHhxdHVpVl8yOXRlWVZHVWFWdFl5UXFrMjZfQ1FSb001Y3NkZzFBWEhmeWhiaTItQ1R0ZE9ycFM1R1J6aEVyeFp2UFBBYzVPNEI2LUQ0Q29qRTVibGNEdy1CdmduMnE4bmRQZnFfTjBUTUR0QmFxS1kyeWpRSnZ1bkZueEN0am45ZEVDVG9jcmktUDBmOHVRUi1yZGwycGt6Z1BKUjl1cEhLQdIB3wFBVV95cUxQOFFqN21xSDU4SkNEeklUX1QzNzByRE5lYWRvZUd2aGRXWl9kWFNWZUxvRW1yS296cjcxZE03cWpHWEEzZjB2UlZZVUo5S2pBN2dmcWMteUhMRGZKelpKbXZiSWh4ZWF0Q3hNbVhid0Q2allxUGpLVG9ZRzBaN2RsQWRNb096ZThyUkV3YXZPajNrR1BwdzFiQkxrV005T1ozM2NfOUdydVI1dmR2bzlfUldMYzNsZUowT3VRTjFoVFJ1QlRTXzB2VjJCTWJSd0JfekdleFVQS0JfOG5nNlln?oc=5"" target=""_blank"">Sobha, DLF, other real estate shares rise up to 6% on optimism over Fed rate cut</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2025-10-15 07:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi2gFBVV95cUxPVXV4aUs2STFocF9USUdDX2hMSTZKMTV1VVpvbnBqRTJ3ZUQ3V3hrWGRlcjlMYjJMcHhxdHVpVl8yOXRlWVZHVWFWdFl5UXFrMjZfQ1FSb001Y3NkZzFBWEhmeWhiaTItQ1R0ZE9ycFM1R1J6aEVyeFp2UFBBYzVPNEI2LUQ0Q29qRTVibGNEdy1CdmduMnE4bmRQZnFfTjBUTUR0QmFxS1kyeWpRSnZ1bkZueEN0am45ZEVDVG9jcmktUDBmOHVRUi1yZGwycGt6Z1BKUjl1cEhLQdIB3wFBVV95cUxQOFFqN21xSDU4SkNEeklUX1QzNzByRE5lYWRvZUd2aGRXWl9kWFNWZUxvRW1yS296cjcxZE03cWpHWEEzZjB2UlZZVUo5S2pBN2dmcWMteUhMRGZKelpKbXZiSWh4ZWF0Q3hNbVhid0Q2allxUGpLVG9ZRzBaN2RsQWRNb096ZThyUkV3YXZPajNrR1BwdzFiQkxrV005T1ozM2NfOUdydVI1dmR2bzlfUldMYzNsZUowT3VRTjFoVFJ1QlRTXzB2VjJCTWJSd0JfekdleFVQS0JfOG5nNlln?oc=5
SOBHA,Sobha Limited,Sobha Ltd Reports Robust Q2 Performance with 61.4% YoY Growth in Sales Value - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxQM1AxeElveEZmLW5VVm5LeW9zLXJjRnlFdTVyS1F0SEcyZm1CMkdLOGo0UkVxTzl0NF9ubUJYc0QzbmFqMkFIOGRtbE9zdzBGdkszUVY2UnpDaktSQmJSTHRmRFBEZ0c1M1JJcEZJVWxEXzBEa1N2UVpiSk5OaFVqdVNMNVU0ODJCS2VBZzB1cTE2V2R0UWpfZ3Rzc0cyZXQ2VXR6ajhYTTdrdk9jSk1zR0NKZC1MM2lpR0RTV29oQzN1a0oydWlhWTZNVQ?oc=5"" target=""_blank"">Sobha Ltd Reports Robust Q2 Performance with 61.4% YoY Growth in Sales Value</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-10-04 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMiywFBVV95cUxQM1AxeElveEZmLW5VVm5LeW9zLXJjRnlFdTVyS1F0SEcyZm1CMkdLOGo0UkVxTzl0NF9ubUJYc0QzbmFqMkFIOGRtbE9zdzBGdkszUVY2UnpDaktSQmJSTHRmRFBEZ0c1M1JJcEZJVWxEXzBEa1N2UVpiSk5OaFVqdVNMNVU0ODJCS2VBZzB1cTE2V2R0UWpfZ3Rzc0cyZXQ2VXR6ajhYTTdrdk9jSk1zR0NKZC1MM2lpR0RTV29oQzN1a0oydWlhWTZNVQ?oc=5
SOBHA,Sobha Limited,Sobha's (NSE:SOBHA) earnings growth rate lags the 24% CAGR delivered to shareholders - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxQaGN1M2pMdHhxLTc4bnVJUHBwbHFzUTM3VWltd19IaHRxSVA1OHh0Qzc5RHB6XzZ6Z09IMFRVbGxNVGlYY0ZlN1VVUEVNanlVMVlNWjVhWER1RW9NUWE1YWh4X0VZR3dIRjBYb2QwR3g3ZVMwYXFQby02ODg3WEdpTG9FX1N3cnMxaFhXZThJVUlFRFVtSE81QzY5c2FxWG0yRkI0Vmc2NG5ienNmSHVXMXlRR3dKZUlYSWExTmI1SDZCWnFWbnRmOTZaU2JDU1dtdFpLWnlaUFZiZkltbXZPTS1hRE9XZ2REcUdnMTcyQ3fSAfYBQVVfeXFMT0xaQklWb1J2NVNtR2ppa0Jpb2Q1S3B3U1ZUaUE2b0V3RnBpTHduR3JmUEV0Q2prc3llTkJ5UGZieTdWbHRSaXUyak9iVGpDTlJRTTdHTFFHSkE1eWRwcnR2UjZaemtvckc5ZkhwTW14QjBlbVJrSHRubjY2NjExazBFMEVwVzgxdWV3VWFsZHlDcTFSd1ZNUThKdDdJQWRRQkptNjItVHNfUzdiS0x3UnBGTk95bTRMbk0xR0l5RmpBYnB1N25RYWlHRW13M2ZpLVdGWmxGclpodUxHYjNQX1ZJUWVQUDJmVTREZ0VOMXhtMzU5czhR?oc=5"" target=""_blank"">Sobha's (NSE:SOBHA) earnings growth rate lags the 24% CAGR delivered to shareholders</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-21 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi8AFBVV95cUxQaGN1M2pMdHhxLTc4bnVJUHBwbHFzUTM3VWltd19IaHRxSVA1OHh0Qzc5RHB6XzZ6Z09IMFRVbGxNVGlYY0ZlN1VVUEVNanlVMVlNWjVhWER1RW9NUWE1YWh4X0VZR3dIRjBYb2QwR3g3ZVMwYXFQby02ODg3WEdpTG9FX1N3cnMxaFhXZThJVUlFRFVtSE81QzY5c2FxWG0yRkI0Vmc2NG5ienNmSHVXMXlRR3dKZUlYSWExTmI1SDZCWnFWbnRmOTZaU2JDU1dtdFpLWnlaUFZiZkltbXZPTS1hRE9XZ2REcUdnMTcyQ3fSAfYBQVVfeXFMT0xaQklWb1J2NVNtR2ppa0Jpb2Q1S3B3U1ZUaUE2b0V3RnBpTHduR3JmUEV0Q2prc3llTkJ5UGZieTdWbHRSaXUyak9iVGpDTlJRTTdHTFFHSkE1eWRwcnR2UjZaemtvckc5ZkhwTW14QjBlbVJrSHRubjY2NjExazBFMEVwVzgxdWV3VWFsZHlDcTFSd1ZNUThKdDdJQWRRQkptNjItVHNfUzdiS0x3UnBGTk95bTRMbk0xR0l5RmpBYnB1N25RYWlHRW13M2ZpLVdGWmxGclpodUxHYjNQX1ZJUWVQUDJmVTREZ0VOMXhtMzU5czhR?oc=5
