scrip,company,headline,summary,published_date,source,url
SIL,Standard Industries Limited,Don't Buy Standard Industries Limited (NSE:SIL) For Its Next Dividend Without Doing These Checks - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxPWDJxUXBjTDFla1J5VmJkMzF2Q25OTzVBSU9aWWZ6OVhia0h3LV9URlJlZlZkTUJNbUhMS1ZjUDUyb2pGNndhRkVIWk5iaE04amRidC1PdFZROFNQVlBiTFl3UmJGeUoyRkh5Ym9DX21pa3hMRV9aazIzRHRybjNPWTJoc3kwU1pzMHVkOG54TXQ2WlpudmpERjJLTjg3b1AtVmxfbWs5SU13ZnJGalV3U1RPc1I2Y2pmMlNDM0ZEYnd4SlNUanlGYnNFNkxTVElHN2NZY0dn0gHbAUFVX3lxTE9FSXR1Szg5OGIzTWNYTGtOb0hnZmFPcERpYTNvVHJRWS1yYjdLcEpJR3BVMnFxTFozR3BJdm5VNHRXRi1LRE9hbzNZWGhHWEtVeDZ2VXVScXhMOFJTMFF5NUd3Vm8xNUl3NlN6d0ZOcVpXNE55Wk1fMi1IRDJINUNNdWcwTWlCdDdyRU93OTJ0aVQ3SlhuZlRPMU8tSkdlR0J0TDRIdWlhcG4wR0NPV2xwaEVKQ3hkSnpzWmZVdzJycFFpMFRQZnpQeTJ3dk9RMXB0eU9BMGQ4cW1DWQ?oc=5"" target=""_blank"">Don't Buy Standard Industries Limited (NSE:SIL) For Its Next Dividend Without Doing These Checks</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-16 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPWDJxUXBjTDFla1J5VmJkMzF2Q25OTzVBSU9aWWZ6OVhia0h3LV9URlJlZlZkTUJNbUhMS1ZjUDUyb2pGNndhRkVIWk5iaE04amRidC1PdFZROFNQVlBiTFl3UmJGeUoyRkh5Ym9DX21pa3hMRV9aazIzRHRybjNPWTJoc3kwU1pzMHVkOG54TXQ2WlpudmpERjJLTjg3b1AtVmxfbWs5SU13ZnJGalV3U1RPc1I2Y2pmMlNDM0ZEYnd4SlNUanlGYnNFNkxTVElHN2NZY0dn0gHbAUFVX3lxTE9FSXR1Szg5OGIzTWNYTGtOb0hnZmFPcERpYTNvVHJRWS1yYjdLcEpJR3BVMnFxTFozR3BJdm5VNHRXRi1LRE9hbzNZWGhHWEtVeDZ2VXVScXhMOFJTMFF5NUd3Vm8xNUl3NlN6d0ZOcVpXNE55Wk1fMi1IRDJINUNNdWcwTWlCdDdyRU93OTJ0aVQ3SlhuZlRPMU8tSkdlR0J0TDRIdWlhcG4wR0NPV2xwaEVKQ3hkSnpzWmZVdzJycFFpMFRQZnpQeTJ3dk9RMXB0eU9BMGQ4cW1DWQ?oc=5
SIL,Standard Industries Limited,"Standard Industries Limited Declares an Interim Dividend for the Financial Year 2025-26, Payable on or After 11 March, 2026 - marketscreener.com","<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxOZDdvOWxGWFpRYlVfZWkxZ2gwM1lJTEdyVlkwVjBxZkFhZmdxYnloLXlwN0xoMzk4WDFnM212ZExfem1zOG05TFM0anBUdFFfcWlVSlV2U0VUa0hMV29ReDluRVBnVkxKVDM1ZTJhc2RBNFJVSFdYaFNzN0luVXJiSC00LVJ3M0E3Q1RtZ01ZZm44LUxCaGhVRU5xSlFIVk04QWZ2SzMzVlVUTG01STU2MldibUw3MUtMdTdySWRxRWF2T2lGYmE1TjF4ektFLU53cDA3MEhiejREZTNDVWFWcjlvcVoydw?oc=5"" target=""_blank"">Standard Industries Limited Declares an Interim Dividend for the Financial Year 2025-26, Payable on or After 11 March, 2026</a>&nbsp;&nbsp;<font color=""#6f6f6f"">marketscreener.com</font>",2026-02-12 08:00:00,marketscreener.com,https://news.google.com/rss/articles/CBMi5gFBVV95cUxOZDdvOWxGWFpRYlVfZWkxZ2gwM1lJTEdyVlkwVjBxZkFhZmdxYnloLXlwN0xoMzk4WDFnM212ZExfem1zOG05TFM0anBUdFFfcWlVSlV2U0VUa0hMV29ReDluRVBnVkxKVDM1ZTJhc2RBNFJVSFdYaFNzN0luVXJiSC00LVJ3M0E3Q1RtZ01ZZm44LUxCaGhVRU5xSlFIVk04QWZ2SzMzVlVUTG01STU2MldibUw3MUtMdTdySWRxRWF2T2lGYmE1TjF4ektFLU53cDA3MEhiejREZTNDVWFWcjlvcVoydw?oc=5
SIL,Standard Industries Limited,"Standard Industries Limited Reports Earnings Results for the Third Quarter and Nine Months Ended December 31, 2025 - marketscreener.com","<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxQV1RPb0QyWTF6NHdNNlRXTy1jaW1YN1Y3N3h3bWltSUpoTE9ZTDhDMmxSWGtrTlczY0ZiWl96R2trOXZnSVlqVUJkMEh0TWp4Vk1PVWR0WnRhenR1REJKb2J1c3FSTTdNZ0dxemVBaE5JNUNzQkdPYk9sZFFBeHp0ZHRzSzFxa2VTNWoyYXdhaXpnZnJSai1jai1UV0pqeVlzVEdNMUwtMTQzNTJuaW1RYkMtUDNtV0d0eDlIR0lDVWxqQ05OSUpKLWdIa21FYUgzY0lFRkg2X3BMQ2hIclBqd3VtXzZfdG14?oc=5"" target=""_blank"">Standard Industries Limited Reports Earnings Results for the Third Quarter and Nine Months Ended December 31, 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">marketscreener.com</font>",2026-02-12 08:00:00,marketscreener.com,https://news.google.com/rss/articles/CBMi6AFBVV95cUxQV1RPb0QyWTF6NHdNNlRXTy1jaW1YN1Y3N3h3bWltSUpoTE9ZTDhDMmxSWGtrTlczY0ZiWl96R2trOXZnSVlqVUJkMEh0TWp4Vk1PVWR0WnRhenR1REJKb2J1c3FSTTdNZ0dxemVBaE5JNUNzQkdPYk9sZFFBeHp0ZHRzSzFxa2VTNWoyYXdhaXpnZnJSai1jai1UV0pqeVlzVEdNMUwtMTQzNTJuaW1RYkMtUDNtV0d0eDlIR0lDVWxqQ05OSUpKLWdIa21FYUgzY0lFRkg2X3BMQ2hIclBqd3VtXzZfdG14?oc=5
SIL,Standard Industries Limited,"Don't miss out on these two stocks today; check ratings, targets inside - Business Standard","<a href=""https://news.google.com/rss/articles/CBMi_AFBVV95cUxPbFBQaWpxaWk2V2lEeWkwQXk3VXdaM2lRYWg4TkttMFFZaWxIM09DYzFvS05rV0FSZ3UwbVdOX3BtRWRYa1JJN1kyT2xnQ19DaG5jQUZua3JjMFRGbTNsTEFTa21PanBrN1QwZE1kYTB4N2dyZENMUkFQaHVCajZfaEJEblF6RDN3X0VjampfZkFmajhkM2NlQWhQNXRoell3YXBHakgzaXAxWUthQl8zeHI2SWJiX0NFQkxQbkk5cDlfbHZTTzVINDlNNXNmV281UTU2ZkR4XzM1X2ZwS2JabXJCbHE0Wk1EdUZ3S2VyZ19rQ2Q3RmZSRGllRTHSAYICQVVfeXFMTlVLclBUZktQOGNxNkVFcWRkLUU3OEViZ1pwQ2VFdkx6OFdGZzAtT29IcTFFMm9IZ3ByRnhxRkg4T095Nlc5TjBKWVdZdDQtdFJGVVRuZUsxU2c0T3pzYnptWWszUVNHV0ZXZlkxVXhwdjRaN3R0S2V2Y25KUkgzRnVxaEJzdEwyT01wSUh5TjNfTVRQM0RkVktKNmlOMDMyUDBFY3RjZkFlanZxN09jdmh3VHJWOUdsQVlHOXFPdnZCbmMxcFg3Y0lwTWhvUmdhNk1SY2FZc2xHcnlRS2dMQ0NEMkxmeGxuSXlubVFwYldSclNnZmhUT0U4a2EtVnptd1dB?oc=5"" target=""_blank"">Don't miss out on these two stocks today; check ratings, targets inside</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-11-04 08:00:00,Business Standard,https://news.google.com/rss/articles/CBMi_AFBVV95cUxPbFBQaWpxaWk2V2lEeWkwQXk3VXdaM2lRYWg4TkttMFFZaWxIM09DYzFvS05rV0FSZ3UwbVdOX3BtRWRYa1JJN1kyT2xnQ19DaG5jQUZua3JjMFRGbTNsTEFTa21PanBrN1QwZE1kYTB4N2dyZENMUkFQaHVCajZfaEJEblF6RDN3X0VjampfZkFmajhkM2NlQWhQNXRoell3YXBHakgzaXAxWUthQl8zeHI2SWJiX0NFQkxQbkk5cDlfbHZTTzVINDlNNXNmV281UTU2ZkR4XzM1X2ZwS2JabXJCbHE0Wk1EdUZ3S2VyZ19rQ2Q3RmZSRGllRTHSAYICQVVfeXFMTlVLclBUZktQOGNxNkVFcWRkLUU3OEViZ1pwQ2VFdkx6OFdGZzAtT29IcTFFMm9IZ3ByRnhxRkg4T095Nlc5TjBKWVdZdDQtdFJGVVRuZUsxU2c0T3pzYnptWWszUVNHV0ZXZlkxVXhwdjRaN3R0S2V2Y25KUkgzRnVxaEJzdEwyT01wSUh5TjNfTVRQM0RkVktKNmlOMDMyUDBFY3RjZkFlanZxN09jdmh3VHJWOUdsQVlHOXFPdnZCbmMxcFg3Y0lwTWhvUmdhNk1SY2FZc2xHcnlRS2dMQ0NEMkxmeGxuSXlubVFwYldSclNnZmhUT0U4a2EtVnptd1dB?oc=5
SIL,Standard Industries Limited,Belrise Industries consolidated net profit rises 81.54% in the September 2025 quarter - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi-gFBVV95cUxQUFh2U0NyVF96aG1aaDQ0MU1IX3dYZmxsVzZwOFViUVR5SG41SEU3YkFSdmdKb1lFZi1Ta1pkMmpIRF9JV25GRUtzUF9MNG1PSTRyYlhVcW5jaEphejA3VEhhMGtkNUxGR1dpMEpHVDI1bjRnV3hMQ2Jod205c2VDTFo4anNZcldIbGxad0JIaHM1Y2JtUWF2d0Vmc2pKSDlYVDBoTE5hSHZ0Mlh6aENmNGE4ZU1wTEc4Z1ZBOG9GTmFMbnAydVpPRnNJUmIzT1R6UTkxN2k2MWl6eXpvamtBTUo1cFR6cnRPTENlSkxEYWZiblMzeTNUZEhn0gH_AUFVX3lxTFBNT2ZEbnlicm1URHEzLUZUbU5YakYtc185UDBGM2pfZkNpcXNVbVlkY2tMOEFqQVNreDdXNm55N3JzRzR1Vm1SaDZuVU90NjZwcTBBYzlWUUlPQ2pORzg0WjNVSUlkeDB1MzlWeXBlNHJ1enJkRFZ4NUQyVk5lZGt3M252TnlWd1Z2QUNyU3YxUUFOQ2ttV2dPNUQ0MkhvaVduZFFVRzVzMlFmNEN6RjhrUE5NMHBLQ3ZGNU94SlJWc1ZDLWREckF4T0xLcW1HSnhoUDBLN0tMbXV0TnhWUTlHV043RFlFblR1MFM4eEpSMVg0T0Z5a1NVU0VQT1JJaw?oc=5"" target=""_blank"">Belrise Industries consolidated net profit rises 81.54% in the September 2025 quarter</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-11-12 08:00:00,Business Standard,https://news.google.com/rss/articles/CBMi-gFBVV95cUxQUFh2U0NyVF96aG1aaDQ0MU1IX3dYZmxsVzZwOFViUVR5SG41SEU3YkFSdmdKb1lFZi1Ta1pkMmpIRF9JV25GRUtzUF9MNG1PSTRyYlhVcW5jaEphejA3VEhhMGtkNUxGR1dpMEpHVDI1bjRnV3hMQ2Jod205c2VDTFo4anNZcldIbGxad0JIaHM1Y2JtUWF2d0Vmc2pKSDlYVDBoTE5hSHZ0Mlh6aENmNGE4ZU1wTEc4Z1ZBOG9GTmFMbnAydVpPRnNJUmIzT1R6UTkxN2k2MWl6eXpvamtBTUo1cFR6cnRPTENlSkxEYWZiblMzeTNUZEhn0gH_AUFVX3lxTFBNT2ZEbnlicm1URHEzLUZUbU5YakYtc185UDBGM2pfZkNpcXNVbVlkY2tMOEFqQVNreDdXNm55N3JzRzR1Vm1SaDZuVU90NjZwcTBBYzlWUUlPQ2pORzg0WjNVSUlkeDB1MzlWeXBlNHJ1enJkRFZ4NUQyVk5lZGt3M252TnlWd1Z2QUNyU3YxUUFOQ2ttV2dPNUQ0MkhvaVduZFFVRzVzMlFmNEN6RjhrUE5NMHBLQ3ZGNU94SlJWc1ZDLWREckF4T0xLcW1HSnhoUDBLN0tMbXV0TnhWUTlHV043RFlFblR1MFM4eEpSMVg0T0Z5a1NVU0VQT1JJaw?oc=5
SIL,Standard Industries Limited,Codethink Limited Announces World’s First Baseline Safety Assessment for a Linux-Based OS to SIL 3 / ASIL D - Business Wire,"<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxONC05MGljb1JtUkwxcFdqZHF6aDRqNHlJd0NIQlJROUt3RGFVWmxTQVN5Tjc5OTlCVjVQS2I1UkthX1d6RWI1UkwtWDVULVozV0lRVE5zd2k5bVZGMFhudklQOTdNTWtkcmdEM3phRFBacTBaWURSYzhZS2ZfNEdib01JdWtScXFhZWZrZWFZMXdhb1piT0ZFMVJZT0w0LTBEbGY5dUJ1Q3FwTWxVamtBNFcya2xfNEltcFVLQXZRdHRXQk5Xb1dvNmlNYkw3MjN6Rk5YTG9CSjFwTHQzZXV6dFpKSzlHRFBlcjVESmJweVhpaGM?oc=5"" target=""_blank"">Codethink Limited Announces World’s First Baseline Safety Assessment for a Linux-Based OS to SIL 3 / ASIL D</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Wire</font>",2025-05-06 07:00:00,Business Wire,https://news.google.com/rss/articles/CBMi8wFBVV95cUxONC05MGljb1JtUkwxcFdqZHF6aDRqNHlJd0NIQlJROUt3RGFVWmxTQVN5Tjc5OTlCVjVQS2I1UkthX1d6RWI1UkwtWDVULVozV0lRVE5zd2k5bVZGMFhudklQOTdNTWtkcmdEM3phRFBacTBaWURSYzhZS2ZfNEdib01JdWtScXFhZWZrZWFZMXdhb1piT0ZFMVJZT0w0LTBEbGY5dUJ1Q3FwTWxVamtBNFcya2xfNEltcFVLQXZRdHRXQk5Xb1dvNmlNYkw3MjN6Rk5YTG9CSjFwTHQzZXV6dFpKSzlHRFBlcjVESmJweVhpaGM?oc=5
SIL,Standard Industries Limited,"Textile stocks shine; Donear, Siyaram, Mafatlal, Indo Count zoom up to 20% - Business Standard","<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxPWnBXR1NTSGJ4WmFxNGVUWGxpQ2cxVFJTUUI3S1ctaUpiMllYa3V0U1g2cXlmTEhnS0d0LUx6dW9JcGlacVo1ZTN3NnNOUjNfQnhsSjJQSDJuQ3IwbVpEbnNMemNTS2dhbURjUXBOLVh4Z2p3ekZiZ3FlYms2Y3BPcWFFeHFvQnZ2MHk5SkNjdk5yRGVMbUtWS0FySmVwRUV4SXBCR0M0dUI3UDl0dVhrT0cwU20xZ3lFeFg5TVNmODYyc0hvV1JtbVRFR0Fsb1dHTmfSAdcBQVVfeXFMTWpJUHljb1hjTDQtdERyZHU2MmIwcTVrem1TTEFzZE1kSl8wN3Z1UFgxRllpcVdraXlzaC1xY1lCaDlOejZDbnl0aGdtTEo0eUJyWEhtaWFiQmpmUXJoQnFfd19Ja08zUjY2aFd5ZF9lM3dqR1pqUHR6MUlGbFdZOU5BYTRQZm9aU0JnTWY2UVJJWjh2bkZ2TTlQYVJaM0tPUWU1VlN1eURjSWNqTHZRVWNLOG1IdmtzT1c4T3pwV2wyQ0ZXaWp6M1hYTXlLLXZlX2c3US1IczA?oc=5"" target=""_blank"">Textile stocks shine; Donear, Siyaram, Mafatlal, Indo Count zoom up to 20%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2024-12-16 08:00:00,Business Standard,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPWnBXR1NTSGJ4WmFxNGVUWGxpQ2cxVFJTUUI3S1ctaUpiMllYa3V0U1g2cXlmTEhnS0d0LUx6dW9JcGlacVo1ZTN3NnNOUjNfQnhsSjJQSDJuQ3IwbVpEbnNMemNTS2dhbURjUXBOLVh4Z2p3ekZiZ3FlYms2Y3BPcWFFeHFvQnZ2MHk5SkNjdk5yRGVMbUtWS0FySmVwRUV4SXBCR0M0dUI3UDl0dVhrT0cwU20xZ3lFeFg5TVNmODYyc0hvV1JtbVRFR0Fsb1dHTmfSAdcBQVVfeXFMTWpJUHljb1hjTDQtdERyZHU2MmIwcTVrem1TTEFzZE1kSl8wN3Z1UFgxRllpcVdraXlzaC1xY1lCaDlOejZDbnl0aGdtTEo0eUJyWEhtaWFiQmpmUXJoQnFfd19Ja08zUjY2aFd5ZF9lM3dqR1pqUHR6MUlGbFdZOU5BYTRQZm9aU0JnTWY2UVJJWjh2bkZ2TTlQYVJaM0tPUWU1VlN1eURjSWNqTHZRVWNLOG1IdmtzT1c4T3pwV2wyQ0ZXaWp6M1hYTXlLLXZlX2c3US1IczA?oc=5
SIL,Standard Industries Limited,"Ambuja Cements to merge Sanghi Industries, Penna Cement with self - Business Standard","<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxPVkZNUi00Q0JHU2lnRlZnZHZ4SjYwMVptUk9seUpTb2taa0V6VGxMNERqS0x2V0d6THRyM1E2MnlZQ2M4QTNwNlNucG10alVFYUN1S3Jlczc3ZXFEczRKT0RYMUU4VENLb1dUUVNSVUVDU3JoTFFkN3lrV21mVHB0T1EwOVNMc0hfd0FmbC1jZDZ0VEJyb0JyWXI4aVROeXZfS0tmTnBTWDZEWWt2bzF2UFBrNG15eGdNX3c1NXdZTEY0MEF5amFSUmR5MmhaUdIB0wFBVV95cUxNWGFvM3hiS2xGdXlvVVhOSmR3OEV3cHluUVYxU19qWU9UY1VydUVURlNnTVdNazgyMEtTVXQ4bmtyZU1qeW95S3dwQl8yQS1VM3Bta2dUNGpnYnJ1Z0FOOGJ1bi1GN0VlU2FXRHRlQkpPcUVoX0o1em1JcFlHelpMMmpIYTJmeWsxZUhZTFkzaklrZzQwRVVsWkM0ZldSdml4QlhLcnJqaF9YVzRQSksyanZyTzJ5bzRVTEhxbTQyQ2VjR1J4SFRSSlJ3M2ZmN1QwMFhV?oc=5"" target=""_blank"">Ambuja Cements to merge Sanghi Industries, Penna Cement with self</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2024-12-17 08:00:00,Business Standard,https://news.google.com/rss/articles/CBMizgFBVV95cUxPVkZNUi00Q0JHU2lnRlZnZHZ4SjYwMVptUk9seUpTb2taa0V6VGxMNERqS0x2V0d6THRyM1E2MnlZQ2M4QTNwNlNucG10alVFYUN1S3Jlczc3ZXFEczRKT0RYMUU4VENLb1dUUVNSVUVDU3JoTFFkN3lrV21mVHB0T1EwOVNMc0hfd0FmbC1jZDZ0VEJyb0JyWXI4aVROeXZfS0tmTnBTWDZEWWt2bzF2UFBrNG15eGdNX3c1NXdZTEY0MEF5amFSUmR5MmhaUdIB0wFBVV95cUxNWGFvM3hiS2xGdXlvVVhOSmR3OEV3cHluUVYxU19qWU9UY1VydUVURlNnTVdNazgyMEtTVXQ4bmtyZU1qeW95S3dwQl8yQS1VM3Bta2dUNGpnYnJ1Z0FOOGJ1bi1GN0VlU2FXRHRlQkpPcUVoX0o1em1JcFlHelpMMmpIYTJmeWsxZUhZTFkzaklrZzQwRVVsWkM0ZldSdml4QlhLcnJqaF9YVzRQSksyanZyTzJ5bzRVTEhxbTQyQ2VjR1J4SFRSSlJ3M2ZmN1QwMFhV?oc=5
SIL,Standard Industries Limited,Market regulator Sebi bars Suumaya Industries' promoters for alleged fraud - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxPaXg1ZDlVOW9WdVpsLUhJMXBNYjBsZDNtUTBQd19WbWpwQUJ6VGJ3UGtaX2wwcE10T2tzZTFZNTl1Yk4xbmxWREcwalhNUWdRM3JITFN6SWsyaTVES3BhbFJzWkVQSWx4YXRYbFZRQTMxNlNETno4aVN5cU9xMTl5WUJhMGtSeXRJaHQyempfOU9GOERqcjlpQ0JWWWh6REhhdXkxa1REZll2UnJUeHVrMTc2N001RlpzekVoOGVRWmZVUEpIeXpscTFzTnhzWkdYUk1zY2Z2d9IB3AFBVV95cUxPQ18zTXFEbWVFeVR5N1BtOFdkdlZoZUYtRXFCempGVHBWbF9BeEdDYmZjMzJsVHRuOWEtY2c4RkZVTUg2MjRQTVI4MzhDc2FtdUFvMTM3cVozM3lUNFUwSzh5bDNNUzlFaURFaW5BZXFmdjYyX1kyaE9pNHFBYnAxYU1nUUk4eC1obTZQZS1JTUFISXRvSTN2ZmhDSS1EakxNU1VKZTVveU0wTVZCSEZOQVVGTlRDMVlqaC1RamltYzI1eTIxTHd6QXFXT0pFRm9KbC04aDI1end4YXJU?oc=5"" target=""_blank"">Market regulator Sebi bars Suumaya Industries' promoters for alleged fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-01-24 08:00:00,Business Standard,https://news.google.com/rss/articles/CBMi1wFBVV95cUxPaXg1ZDlVOW9WdVpsLUhJMXBNYjBsZDNtUTBQd19WbWpwQUJ6VGJ3UGtaX2wwcE10T2tzZTFZNTl1Yk4xbmxWREcwalhNUWdRM3JITFN6SWsyaTVES3BhbFJzWkVQSWx4YXRYbFZRQTMxNlNETno4aVN5cU9xMTl5WUJhMGtSeXRJaHQyempfOU9GOERqcjlpQ0JWWWh6REhhdXkxa1REZll2UnJUeHVrMTc2N001RlpzekVoOGVRWmZVUEpIeXpscTFzTnhzWkdYUk1zY2Z2d9IB3AFBVV95cUxPQ18zTXFEbWVFeVR5N1BtOFdkdlZoZUYtRXFCempGVHBWbF9BeEdDYmZjMzJsVHRuOWEtY2c4RkZVTUg2MjRQTVI4MzhDc2FtdUFvMTM3cVozM3lUNFUwSzh5bDNNUzlFaURFaW5BZXFmdjYyX1kyaE9pNHFBYnAxYU1nUUk4eC1obTZQZS1JTUFISXRvSTN2ZmhDSS1EakxNU1VKZTVveU0wTVZCSEZOQVVGTlRDMVlqaC1RamltYzI1eTIxTHd6QXFXT0pFRm9KbC04aDI1end4YXJU?oc=5
SIL,Standard Industries Limited,"Reliance Consumer acquires SIL, gears up to challenge HUL, Tata in FMCG - Business Standard","<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxQcXdzNWF4VmhxVHhuVDFyUFh1eUw2My1MeTd0bTNGeFZncnQ1Q1FXNzVtUXhxdlJGTUUtQlV3ekUwcDRpTWp2cWFXZkpqSC1XeXQzM01hYnhWT285amRGX3ZvNG9kdkFYa2kzR3JRcDdjVGJlOTJVQzlCX1V2aHFPckhwRkhLOHJFRWhMRlNRWlJWdDVDcmNCQ25TV1l1QVNKRkx1dGJXMFcxVmZNNUJ3RnROVVJrVnl0R2dhNllkenNvQnhGNnI0UzZB0gHPAUFVX3lxTE1lUWZ6UkhpTUNLV1RzWV9uempDUG95aXVEZDRrZkVkdWJXZTI4RUhUaHFrWUVFd1gzRlY1a3l1cmlaLW1CemRmejJpUGsxSWVOVVVwNTNXRm1mMWw1a3ZYeFQwOUx5dFplZENMampsbjk2TlZ0dGhyMUY5U09TV2NqbzhLaHh6Z2k3Q3p1ZEFpQ3hPckwzbXU5clNGOWRkRk1BcEt2NGktSUEyT3pMM1E3X2tqdGx5OV8tczVWcVB0d21LMzBQc2libm9USTFWWQ?oc=5"" target=""_blank"">Reliance Consumer acquires SIL, gears up to challenge HUL, Tata in FMCG</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-01-22 08:00:00,Business Standard,https://news.google.com/rss/articles/CBMiygFBVV95cUxQcXdzNWF4VmhxVHhuVDFyUFh1eUw2My1MeTd0bTNGeFZncnQ1Q1FXNzVtUXhxdlJGTUUtQlV3ekUwcDRpTWp2cWFXZkpqSC1XeXQzM01hYnhWT285amRGX3ZvNG9kdkFYa2kzR3JRcDdjVGJlOTJVQzlCX1V2aHFPckhwRkhLOHJFRWhMRlNRWlJWdDVDcmNCQ25TV1l1QVNKRkx1dGJXMFcxVmZNNUJ3RnROVVJrVnl0R2dhNllkenNvQnhGNnI0UzZB0gHPAUFVX3lxTE1lUWZ6UkhpTUNLV1RzWV9uempDUG95aXVEZDRrZkVkdWJXZTI4RUhUaHFrWUVFd1gzRlY1a3l1cmlaLW1CemRmejJpUGsxSWVOVVVwNTNXRm1mMWw1a3ZYeFQwOUx5dFplZENMampsbjk2TlZ0dGhyMUY5U09TV2NqbzhLaHh6Z2k3Q3p1ZEFpQ3hPckwzbXU5clNGOWRkRk1BcEt2NGktSUEyT3pMM1E3X2tqdGx5OV8tczVWcVB0d21LMzBQc2libm9USTFWWQ?oc=5
SIL,Standard Industries Limited,"Ambuja Cements to buy 56.7% stake in Sanghi at a valuation of Rs 5,000 cr - Business Standard","<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxNcHkyd0otS05vdmZkVnRHM3pTal9RMEFyWDNjc2M0TlVyLTFvRjBoWXctYk9ZX1R6ejV2Vk9PRXpRb3d1WVZTSnJCaGMyZmRBSHBVeGlLdVptTkNPLWoyVV9Sc2JzWFBTXy1tQ3V2YnhvZWZwVjIxUVE4Z0xkZkluczNncWotUHJWd0JENmVCZk93TUlzU2xUWUo2ZlVsaDgxLVBFQkloR3JqMjMxQVJzMUxWNzM2bEdYQk1EcC1iMV91ZWFWdTRqRnZocmVndGhIX1ctOGpnQ2nSAd4BQVVfeXFMTlpkS0JqU2tyRnVXblRKUGZvcmFFUjJfWjNjT2lncnVDc0cyTGVrcTZRTWZfa3NnSHgzYnE5blNkbEgwejRmVlBOT25COGxkUFdZeS01UnFhNUdzSmVOYmI3d2wyYl9IdGpaa0l5OHF5Unp3Qlpva1hSYmFrOHQ4MzV5SWMwd2RjM0I4SFc0bFFWY0NiczBHb0cyRTNaTkh6MWpKdnJoQmtMM3F6Q1pBcGtSdFJJejgzZ09UX29zbWxKNG9ZYmxycHpWRmlwV1hyYUdEd3JITGVIaDN5VHFR?oc=5"" target=""_blank"">Ambuja Cements to buy 56.7% stake in Sanghi at a valuation of Rs 5,000 cr</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2023-08-03 07:00:00,Business Standard,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNcHkyd0otS05vdmZkVnRHM3pTal9RMEFyWDNjc2M0TlVyLTFvRjBoWXctYk9ZX1R6ejV2Vk9PRXpRb3d1WVZTSnJCaGMyZmRBSHBVeGlLdVptTkNPLWoyVV9Sc2JzWFBTXy1tQ3V2YnhvZWZwVjIxUVE4Z0xkZkluczNncWotUHJWd0JENmVCZk93TUlzU2xUWUo2ZlVsaDgxLVBFQkloR3JqMjMxQVJzMUxWNzM2bEdYQk1EcC1iMV91ZWFWdTRqRnZocmVndGhIX1ctOGpnQ2nSAd4BQVVfeXFMTlpkS0JqU2tyRnVXblRKUGZvcmFFUjJfWjNjT2lncnVDc0cyTGVrcTZRTWZfa3NnSHgzYnE5blNkbEgwejRmVlBOT25COGxkUFdZeS01UnFhNUdzSmVOYmI3d2wyYl9IdGpaa0l5OHF5Unp3Qlpva1hSYmFrOHQ4MzV5SWMwd2RjM0I4SFc0bFFWY0NiczBHb0cyRTNaTkh6MWpKdnJoQmtMM3F6Q1pBcGtSdFJJejgzZ09UX29zbWxKNG9ZYmxycHpWRmlwV1hyYUdEd3JITGVIaDN5VHFR?oc=5
