scrip,company,headline,summary,published_date,source,url
TRITURBINE,Triveni Turbine Limited,Insiders were the biggest winners as Triveni Turbine Limited's (NSE:TRITURBINE) market cap grew by ₹13b last week - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxNTklSRG8xUjUyczdrN3dJSW1jeGl5TjZjNTE2MWdaZW96Yk1GWU91WWpEUVRsU2w4bFBYWjBWNEQ3TVNieUM4clVXLS1jREpYY2lObHN4MTFhMi1wblNRcldZX0QySTlCdVpwcEZHSnExNEttWENoblZ4OS1FX0owMDJWRndnQzAydU5hVlpzOEVIX3hpVzN0bDB6ZkxEUWMxRm1rQ1EyMGh0RV9xendNUHBzbmlFeUM5aFlyUWY3b3V2ZEtRcTdjVGk1SG5vVTNHLWtuYm9nZUtVWnBLZ296am5FY9IB6AFBVV95cUxOQmQwLTJYeWtaWGI3anBqMXI2UUZvR0ZTbWtESThIMjhRS0RJWjA1V25USHRGZlEyM0VzNDVyMUlHRWFhV0NSdDdteHhCSENiOXVMZld1azBZZ2VkVnFVRFI2bjRuNnhnMm0xQ0JoMGxRUXRnZFhJcU0zeTIxQWlkakdyUTVzQjlYcVktTW9WT2llWWhwRG9yOGxiUlZueGJNY3VzM19xMTJpSGJfaVVNaG5jVkpZR3M4dFI1Z05NaFk3WGJSNTdBcHBQZDlMRHZTVUdXNWVHYXZ1YVJTM1ZaTFBPT3JRTExp?oc=5"" target=""_blank"">Insiders were the biggest winners as Triveni Turbine Limited's (NSE:TRITURBINE) market cap grew by ₹13b last week</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-31 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4wFBVV95cUxNTklSRG8xUjUyczdrN3dJSW1jeGl5TjZjNTE2MWdaZW96Yk1GWU91WWpEUVRsU2w4bFBYWjBWNEQ3TVNieUM4clVXLS1jREpYY2lObHN4MTFhMi1wblNRcldZX0QySTlCdVpwcEZHSnExNEttWENoblZ4OS1FX0owMDJWRndnQzAydU5hVlpzOEVIX3hpVzN0bDB6ZkxEUWMxRm1rQ1EyMGh0RV9xendNUHBzbmlFeUM5aFlyUWY3b3V2ZEtRcTdjVGk1SG5vVTNHLWtuYm9nZUtVWnBLZ296am5FY9IB6AFBVV95cUxOQmQwLTJYeWtaWGI3anBqMXI2UUZvR0ZTbWtESThIMjhRS0RJWjA1V25USHRGZlEyM0VzNDVyMUlHRWFhV0NSdDdteHhCSENiOXVMZld1azBZZ2VkVnFVRFI2bjRuNnhnMm0xQ0JoMGxRUXRnZFhJcU0zeTIxQWlkakdyUTVzQjlYcVktTW9WT2llWWhwRG9yOGxiUlZueGJNY3VzM19xMTJpSGJfaVVNaG5jVkpZR3M4dFI1Z05NaFk3WGJSNTdBcHBQZDlMRHZTVUdXNWVHYXZ1YVJTM1ZaTFBPT3JRTExp?oc=5
TRITURBINE,Triveni Turbine Limited,Triveni Turbine Stock Price Rallies on Record ₹22.2B Order Book - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxOOXpYY1E2UFBTZUFoMGNXZVhsLVRDSkZaeWVLTVV2V2wxbFlDRnh2SGQzcDlUVEF0cUE1NUYyOW42QW5raDU2eWVObmY2UkZ6N3JKYV92UDNweGdJQ0RNSDljdWZLNWZwU1lTWFVyWFY2X0VFam9RLVRySDVWQlFSVTdwLUtPRzg4Z3NkZG1NUUhYNUtBclo3RThvMEZlMDJlWnB5TEVn?oc=5"" target=""_blank"">Triveni Turbine Stock Price Rallies on Record ₹22.2B Order Book</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-11-11 08:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMipgFBVV95cUxOOXpYY1E2UFBTZUFoMGNXZVhsLVRDSkZaeWVLTVV2V2wxbFlDRnh2SGQzcDlUVEF0cUE1NUYyOW42QW5raDU2eWVObmY2UkZ6N3JKYV92UDNweGdJQ0RNSDljdWZLNWZwU1lTWFVyWFY2X0VFam9RLVRySDVWQlFSVTdwLUtPRzg4Z3NkZG1NUUhYNUtBclo3RThvMEZlMDJlWnB5TEVn?oc=5
TRITURBINE,Triveni Turbine Limited,Triveni Turbine Shares Rallies 9.15% on Strong FY25 Earnings - Groww,"<a href=""https://news.google.com/rss/articles/CBMigwFBVV95cUxPNDd6Z29SZmFaa25Ud0VfNV8xbHpPTHJfb1ZZNE1CTW56NkRnTzdnOWZMY0RxSTFEVGFEU0VGZWFYb3IwelZGUFZGallsbTlCb1hfV091ci0tY2xHM085akNrcmRYREpyWkF3bm1qUXc1bEYyVUlaTk9ZQUlScE5fMFFiTQ?oc=5"" target=""_blank"">Triveni Turbine Shares Rallies 9.15% on Strong FY25 Earnings</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Groww</font>",2025-05-12 07:00:00,Groww,https://news.google.com/rss/articles/CBMigwFBVV95cUxPNDd6Z29SZmFaa25Ud0VfNV8xbHpPTHJfb1ZZNE1CTW56NkRnTzdnOWZMY0RxSTFEVGFEU0VGZWFYb3IwelZGUFZGallsbTlCb1hfV091ci0tY2xHM085akNrcmRYREpyWkF3bm1qUXc1bEYyVUlaTk9ZQUlScE5fMFFiTQ?oc=5
TRITURBINE,Triveni Turbine Limited,"Triveni Turbine Limited (NSE:TRITURBINE) Just Reported Earnings, And Analysts Cut Their Target Price - simplywall.st","<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxPaHRIcVJpeEVHTjF4Y1JNcEdXQWJMbnFkR1dDQWJpalhMWHdGdHlYcVF6SjZ3UnBtMTFFZk54eWRERGNCU0ZjeFNnejFWaEVQNmJtbGE0b25VR0JBN1dtX1ZCQ2hRVVBLVHBjUHpmQUthWUhPbjB0MUhIN2lYLTAydm9BS2gtTkJJclFORFdGeTJ6T01fRDVDTW1mLVpObVMwTWVseDBXUHRQQ3RTdFFvRDB1bFc1UFpIeFZSZTU5Y1A3ZFRGX00yTmxzX0lxSEk0V3paMHB0cUZ5NE1mVENWOGl4ONIB6AFBVV95cUxNQng0SVE3SzFraTUwRV8xSWhobUN1OXBYTXMzOUlwc0RJTlhvbUp3X3dHX183SG4wWTd6a0h0UTQ0bE1PcENGcVVwX0N3djQyUXpuMkF4UU1FS25ZanRSYmZJY0VxTlpTVUVpYWJIN1ZaVnpJTWZGVDM4QkpnUkdwd2tiZ0w2ek4yUjYwb2tQS2tHaGtmNzNhanlxLV9LR0s4ZzBBUG0tWkY1S2lvT1E5MnJ4c1VkbU5JQmIwcjB3cnJvbF8zMU11cGtaYjJobTdkN256VDZhcThMR2JGWHg5amxLV1BndGpP?oc=5"" target=""_blank"">Triveni Turbine Limited (NSE:TRITURBINE) Just Reported Earnings, And Analysts Cut Their Target Price</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-14 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4wFBVV95cUxPaHRIcVJpeEVHTjF4Y1JNcEdXQWJMbnFkR1dDQWJpalhMWHdGdHlYcVF6SjZ3UnBtMTFFZk54eWRERGNCU0ZjeFNnejFWaEVQNmJtbGE0b25VR0JBN1dtX1ZCQ2hRVVBLVHBjUHpmQUthWUhPbjB0MUhIN2lYLTAydm9BS2gtTkJJclFORFdGeTJ6T01fRDVDTW1mLVpObVMwTWVseDBXUHRQQ3RTdFFvRDB1bFc1UFpIeFZSZTU5Y1A3ZFRGX00yTmxzX0lxSEk0V3paMHB0cUZ5NE1mVENWOGl4ONIB6AFBVV95cUxNQng0SVE3SzFraTUwRV8xSWhobUN1OXBYTXMzOUlwc0RJTlhvbUp3X3dHX183SG4wWTd6a0h0UTQ0bE1PcENGcVVwX0N3djQyUXpuMkF4UU1FS25ZanRSYmZJY0VxTlpTVUVpYWJIN1ZaVnpJTWZGVDM4QkpnUkdwd2tiZ0w2ek4yUjYwb2tQS2tHaGtmNzNhanlxLV9LR0s4ZzBBUG0tWkY1S2lvT1E5MnJ4c1VkbU5JQmIwcjB3cnJvbF8zMU11cGtaYjJobTdkN256VDZhcThMR2JGWHg5amxLV1BndGpP?oc=5
TRITURBINE,Triveni Turbine Limited,Triveni Turbine Limited Strengthens Operations with Key Appointments and Office Relocation - TipRanks,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxNbDV4WW1WMTJuZDdUdGNidDFvOHVFU3B6WkE2RUNFbjZGT0RJUDVHRExVWFcwRUNBSllpVG9RVjdkMENVZUJRZ3RVeHdfVzdISXFOMGZJVzdNNDhQUl8zbm4xWTJNOEZudUhnWVVObGM5a1Q4ZmtTMFRxOW5zcGc5em9VTVFXUnN5czN5Q3VLREVFMEpuUFFSSW9jalBOUjFUSVE0d1dOU3U5NjdaS1Rxa1oxQ0xPMVg5V3BFbTlhVW5Xb25UUURiSzIydHQ0elQ5TTMzUTg2NG9LUQ?oc=5"" target=""_blank"">Triveni Turbine Limited Strengthens Operations with Key Appointments and Office Relocation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TipRanks</font>",2025-11-10 08:00:00,TipRanks,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNbDV4WW1WMTJuZDdUdGNidDFvOHVFU3B6WkE2RUNFbjZGT0RJUDVHRExVWFcwRUNBSllpVG9RVjdkMENVZUJRZ3RVeHdfVzdISXFOMGZJVzdNNDhQUl8zbm4xWTJNOEZudUhnWVVObGM5a1Q4ZmtTMFRxOW5zcGc5em9VTVFXUnN5czN5Q3VLREVFMEpuUFFSSW9jalBOUjFUSVE0d1dOU3U5NjdaS1Rxa1oxQ0xPMVg5V3BFbTlhVW5Xb25UUURiSzIydHQ0elQ5TTMzUTg2NG9LUQ?oc=5
TRITURBINE,Triveni Turbine Limited,Analyst Forecasts Just Became More Bearish On Triveni Turbine Limited (NSE:TRITURBINE) - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxOdjJ3MUhjSHhObDdOWldrYl8xUHQxQm9BdEhVbmllaUl3RmRlS3ZTejJCUFBPaFhESVNLZGV6ZzgzeS1lcFVqRG00MzRCYnZ2ZnpEWEhHZm85ejRIc1BWcGhDeHl3cmhnZ1dZY1RsQjBMVmpIVXRvck5BeURLb19LbnZFNnZ4X2JGTXQwcmlsT2ljSkJORjQ5bXJqVmUxUUZINWFkRUFVTG40QjhIX0V6aFd0ajI1Z3o0by1GN2tUbGNfcWtidnd0UXVocGNxTmpTY0lUUXV2UV9pREJERmRNRFd2TQ?oc=5"" target=""_blank"">Analyst Forecasts Just Became More Bearish On Triveni Turbine Limited (NSE:TRITURBINE)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-08-14 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4wFBVV95cUxOdjJ3MUhjSHhObDdOWldrYl8xUHQxQm9BdEhVbmllaUl3RmRlS3ZTejJCUFBPaFhESVNLZGV6ZzgzeS1lcFVqRG00MzRCYnZ2ZnpEWEhHZm85ejRIc1BWcGhDeHl3cmhnZ1dZY1RsQjBMVmpIVXRvck5BeURLb19LbnZFNnZ4X2JGTXQwcmlsT2ljSkJORjQ5bXJqVmUxUUZINWFkRUFVTG40QjhIX0V6aFd0ajI1Z3o0by1GN2tUbGNfcWtidnd0UXVocGNxTmpTY0lUUXV2UV9pREJERmRNRFd2TQ?oc=5
TRITURBINE,Triveni Turbine Limited,"Triveni Turbine shares rise 27% in a week, here's what brokerages say - Business Today","<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxOVk9uZW1RZGtpaXRPTG42Q1NFQ0xHTFV3NDZTMm85NVlTSmcxdDR6MmJ2SG1KQ2RHRHpBb1FGM2drQld6QnZEQUNmZjk1bjhpRF80V1IyU1F0aXdlV0l2SkNkZFJOVkZyODhKRjgyVkFCUTRYNUpELW9HT1U4NWdVbVl2M1hRZjl5eUtPeXhQWFFvNHhwSERZOVlxZVdYX3d1RHVSeHNBcEFMN1dINVhYdnc5X0lVdGdGSnJXUlR2Um5FdmY0M25MckFObm5jQdIB0wFBVV95cUxQRzRSelBEQ3pYQ0ZDdXVVT00yeHMxOHhtU2lvMmtlaWRrcU9lZ09pampPeVE3OFJvazA1azBzVHFnOHhlSURnajlFeDE0YUV4RXhfSk9HOWJER0g5UTBiNDlMc1gzMHB4X3N6bXMxMG1XbGJkYmV3dUgzaVFpX2dMTEw1QUc5aVEyVlFjaFZmVnVHbmNtN0VrUXF0ZEFlMGtJSkM0UERvMU5BUTNlNmhicmNuMEU2OWFKOFdYcDcyZ3MyeFNzQXZINzRBUDVuQXZUbjNj?oc=5"" target=""_blank"">Triveni Turbine shares rise 27% in a week, here's what brokerages say</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2025-03-07 08:00:00,Business Today,https://news.google.com/rss/articles/CBMizgFBVV95cUxOVk9uZW1RZGtpaXRPTG42Q1NFQ0xHTFV3NDZTMm85NVlTSmcxdDR6MmJ2SG1KQ2RHRHpBb1FGM2drQld6QnZEQUNmZjk1bjhpRF80V1IyU1F0aXdlV0l2SkNkZFJOVkZyODhKRjgyVkFCUTRYNUpELW9HT1U4NWdVbVl2M1hRZjl5eUtPeXhQWFFvNHhwSERZOVlxZVdYX3d1RHVSeHNBcEFMN1dINVhYdnc5X0lVdGdGSnJXUlR2Um5FdmY0M25MckFObm5jQdIB0wFBVV95cUxQRzRSelBEQ3pYQ0ZDdXVVT00yeHMxOHhtU2lvMmtlaWRrcU9lZ09pampPeVE3OFJvazA1azBzVHFnOHhlSURnajlFeDE0YUV4RXhfSk9HOWJER0g5UTBiNDlMc1gzMHB4X3N6bXMxMG1XbGJkYmV3dUgzaVFpX2dMTEw1QUc5aVEyVlFjaFZmVnVHbmNtN0VrUXF0ZEFlMGtJSkM0UERvMU5BUTNlNmhicmNuMEU2OWFKOFdYcDcyZ3MyeFNzQXZINzRBUDVuQXZUbjNj?oc=5
TRITURBINE,Triveni Turbine Limited,TRITURBINE Forecast — Price Target — Prediction for 2027 - TradingView,"<a href=""https://news.google.com/rss/articles/CBMibEFVX3lxTFBvUjg2SEt0ay1XRHZsTTJSZEMxQmdobm5MT284VDdWMXVPV0huRlpLQm5yWWU3bGdfUHp5dXE4YTZLVlNLWnNZS0NPVHdqdXR4QW5SV204VDBXb0Y2QmdpMUc1ODhEdWt0Q1NCMw?oc=5"" target=""_blank"">TRITURBINE Forecast — Price Target — Prediction for 2027</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TradingView</font>",2022-09-13 04:37:58,TradingView,https://news.google.com/rss/articles/CBMibEFVX3lxTFBvUjg2SEt0ay1XRHZsTTJSZEMxQmdobm5MT284VDdWMXVPV0huRlpLQm5yWWU3bGdfUHp5dXE4YTZLVlNLWnNZS0NPVHdqdXR4QW5SV204VDBXb0Y2QmdpMUc1ODhEdWt0Q1NCMw?oc=5
TRITURBINE,Triveni Turbine Limited,TRITURBINE Share Price | Triveni Turbine Ltd. Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMid0FVX3lxTFAzOG1HamR5S0dIVnY3YWZON1ZBaWVRRFNCZTNRckxIYmVjZnhJV3lTb0FoQTNYN2pGdFlWclU3b0x3dUwtdzRyMjBHVTdVM3VhLURfM2JLWnN2YzZ3UGhEWVBKdHJYNVhlcEhKNXpTeGFqak0yYUtj?oc=5"" target=""_blank"">TRITURBINE Share Price | Triveni Turbine Ltd. Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2024-02-06 05:54:04,Markets Mojo,https://news.google.com/rss/articles/CBMid0FVX3lxTFAzOG1HamR5S0dIVnY3YWZON1ZBaWVRRFNCZTNRckxIYmVjZnhJV3lTb0FoQTNYN2pGdFlWclU3b0x3dUwtdzRyMjBHVTdVM3VhLURfM2JLWnN2YzZ3UGhEWVBKdHJYNVhlcEhKNXpTeGFqak0yYUtj?oc=5
TRITURBINE,Triveni Turbine Limited,Triveni Turbine Limited's (NSE:TRITURBINE) Popularity With Investors Is Under Threat From Overpricing - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxNTHE4c2JSRzcwUEwwaWtIdHFMcHNKeW1ZTloyRm5GWmc1M1dWQlRtRU9RR0V2c2FvX3JXNGZld1BGLVlubC1rLUl6UlVBQXpBXzc3R1lBYkF2czhLQTZWSDBBeTdVTXY1MkRSSFlpSnhqMEhCMEVLdHV0Ymx6c1dFUTlzX21fdHg0Q1oyN2pBYlZvZ1Rid2pmdnhTYzRuRUpqeGp5N0VQRVc0V2ZCZWFoOVVGRVN4bWZXMTNKNkJXTW5yeno4RVpUekxzUG1URlRHS2Y2YjdQcElaQVVHV294RGZGeTFPZ9IB6wFBVV95cUxPMUVvTEJxa3NuMTJGbWhkRlBfTTJTTm0tYXpzOGNPMGlzU3J5TDVzVW9Ibzh1Qm9KQmNNTV9PajYyYXdmOWlscFB0ejBEQUlvOUEteHBHLW16OTduVGxrS2tPbU9jYzdHbVVlS2RhV1FtQTRaTDdXaDZKV1g3UDhyOXlRcnNGU2RiOUs1bDE3c0ZmME1MaXVReGREX2hUQnhDczYwUjVxQjdSV2VBdnpON19xM2VrRmVlV3ZZX1Q5TnFHdVJCMHBveVNBVk5CNWNLQ3FGUWtabGN0MFlaNW9BR0pLejBaWUhNdmw0?oc=5"" target=""_blank"">Triveni Turbine Limited's (NSE:TRITURBINE) Popularity With Investors Is Under Threat From Overpricing</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-09-29 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5gFBVV95cUxNTHE4c2JSRzcwUEwwaWtIdHFMcHNKeW1ZTloyRm5GWmc1M1dWQlRtRU9RR0V2c2FvX3JXNGZld1BGLVlubC1rLUl6UlVBQXpBXzc3R1lBYkF2czhLQTZWSDBBeTdVTXY1MkRSSFlpSnhqMEhCMEVLdHV0Ymx6c1dFUTlzX21fdHg0Q1oyN2pBYlZvZ1Rid2pmdnhTYzRuRUpqeGp5N0VQRVc0V2ZCZWFoOVVGRVN4bWZXMTNKNkJXTW5yeno4RVpUekxzUG1URlRHS2Y2YjdQcElaQVVHV294RGZGeTFPZ9IB6wFBVV95cUxPMUVvTEJxa3NuMTJGbWhkRlBfTTJTTm0tYXpzOGNPMGlzU3J5TDVzVW9Ibzh1Qm9KQmNNTV9PajYyYXdmOWlscFB0ejBEQUlvOUEteHBHLW16OTduVGxrS2tPbU9jYzdHbVVlS2RhV1FtQTRaTDdXaDZKV1g3UDhyOXlRcnNGU2RiOUs1bDE3c0ZmME1MaXVReGREX2hUQnhDczYwUjVxQjdSV2VBdnpON19xM2VrRmVlV3ZZX1Q5TnFHdVJCMHBveVNBVk5CNWNLQ3FGUWtabGN0MFlaNW9BR0pLejBaWUhNdmw0?oc=5
TRITURBINE,Triveni Turbine Limited,Declining Stock and Solid Fundamentals: Is The Market Wrong About Triveni Turbine Limited (NSE:TRITURBINE)? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxOTE1rU0RWVU5pNWNMRXByRXE4Z2FpMUZWNWpLd2dmX2FrMjNqUENoV054UUFoazBwanY2SVpneXlQN0JpYm8xUHV1WkxhOTVjZVBleEgzZ0FNZkpFcG5YN0ZQbi15VHk1d0VIQWZqTVlYQlR3MFdIR1NpMUdpMzA4NjlXUnYyNlc0Y3FFQ3lDenFhYmZkZkNxY3ZuV2s0NW1hQ051VU9oY2wwN3Nib3NMbmptdUVTQ0JZLXpLMlZTam5faWhkV1Vjb2VsOUE1eXl5MDRsa3N2MkpLdTctVXBWSnp2RVFwOUcwQXc?oc=5"" target=""_blank"">Declining Stock and Solid Fundamentals: Is The Market Wrong About Triveni Turbine Limited (NSE:TRITURBINE)?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-12-17 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi6gFBVV95cUxOTE1rU0RWVU5pNWNMRXByRXE4Z2FpMUZWNWpLd2dmX2FrMjNqUENoV054UUFoazBwanY2SVpneXlQN0JpYm8xUHV1WkxhOTVjZVBleEgzZ0FNZkpFcG5YN0ZQbi15VHk1d0VIQWZqTVlYQlR3MFdIR1NpMUdpMzA4NjlXUnYyNlc0Y3FFQ3lDenFhYmZkZkNxY3ZuV2s0NW1hQ051VU9oY2wwN3Nib3NMbmptdUVTQ0JZLXpLMlZTam5faWhkV1Vjb2VsOUE1eXl5MDRsa3N2MkpLdTctVXBWSnp2RVFwOUcwQXc?oc=5
TRITURBINE,Triveni Turbine Limited,Triveni Turbine's (NSE:TRITURBINE) earnings growth rate lags the 42% CAGR delivered to shareholders - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxQdkR4TW1vLWpZTWxLQXhmdGx2SXdHN0lLejNqQ0ZBUjdSY2czbldndUlaMzBoXzNDZERIeFlnaUdlMHlMRDVCZVBOOVl3aElIVjFnSTVIYW5BN3R0WW9GYl8zZTdTZklvOXBPZlA2R2VJVXpXeHM2ZURYRnhHNmMzMTU0WjJodlBhSEZXT0N0bnZHTjl6amJVRWdLbEpfLXFxLTM3djkwbjlIa3Y5MEVrd0FYRF9UYmxDbVptTzhodk8ySTlZV0t0cURHYUQyWnlOeDh2YTlKalJIRWgxbFdnN3duONIB6AFBVV95cUxQUWo1NDFvUWJGZE80aDhHRGJZazhZU3ZHOWlVQlk1bDlLX042WEhZYlVxMzhjZExLUFp2ZkI5SnowQXFyUTZEejJHbEcybnR2WTZiSE5DSjRiNjNwRnFTaTBVNG5ydHJqRDR3ZVlKSzU0NXVRRmxtanFjcWxBNTNsbmc3dnEtNGR0ZzBmN1c1YUxNY2pPRlo4VTUwdFlULVdKQ0MxSFFkajhRVktoeUJtNWJqZEw2b1JaZlVIVE1sbkgxVnJVbnBpMnNDcnNZb3dsckxEaHM0VW9jaG5jUXNwRjZtTWNVbWc0?oc=5"" target=""_blank"">Triveni Turbine's (NSE:TRITURBINE) earnings growth rate lags the 42% CAGR delivered to shareholders</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-11 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4wFBVV95cUxQdkR4TW1vLWpZTWxLQXhmdGx2SXdHN0lLejNqQ0ZBUjdSY2czbldndUlaMzBoXzNDZERIeFlnaUdlMHlMRDVCZVBOOVl3aElIVjFnSTVIYW5BN3R0WW9GYl8zZTdTZklvOXBPZlA2R2VJVXpXeHM2ZURYRnhHNmMzMTU0WjJodlBhSEZXT0N0bnZHTjl6amJVRWdLbEpfLXFxLTM3djkwbjlIa3Y5MEVrd0FYRF9UYmxDbVptTzhodk8ySTlZV0t0cURHYUQyWnlOeDh2YTlKalJIRWgxbFdnN3duONIB6AFBVV95cUxQUWo1NDFvUWJGZE80aDhHRGJZazhZU3ZHOWlVQlk1bDlLX042WEhZYlVxMzhjZExLUFp2ZkI5SnowQXFyUTZEejJHbEcybnR2WTZiSE5DSjRiNjNwRnFTaTBVNG5ydHJqRDR3ZVlKSzU0NXVRRmxtanFjcWxBNTNsbmc3dnEtNGR0ZzBmN1c1YUxNY2pPRlo4VTUwdFlULVdKQ0MxSFFkajhRVktoeUJtNWJqZEw2b1JaZlVIVE1sbkgxVnJVbnBpMnNDcnNZb3dsckxEaHM0VW9jaG5jUXNwRjZtTWNVbWc0?oc=5
TRITURBINE,Triveni Turbine Limited,Triveni Turbine Stock Price Forecast. Should You Buy TRITURBINE.NS? - StockInvest.us,"<a href=""https://news.google.com/rss/articles/CBMiVEFVX3lxTE5NaE5PelAzRmphVU1vR2ZqT0o2bjlhcGpoOVd2NnVFMVFhbXN6Z1hjenJhS2k4MDFxMm9XXzk0WEpHV3VXSmRsUmNzaE01WEEwTFNRUw?oc=5"" target=""_blank"">Triveni Turbine Stock Price Forecast. Should You Buy TRITURBINE.NS?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">StockInvest.us</font>",2020-12-15 13:10:08,StockInvest.us,https://news.google.com/rss/articles/CBMiVEFVX3lxTE5NaE5PelAzRmphVU1vR2ZqT0o2bjlhcGpoOVd2NnVFMVFhbXN6Z1hjenJhS2k4MDFxMm9XXzk0WEpHV3VXSmRsUmNzaE01WEEwTFNRUw?oc=5
TRITURBINE,Triveni Turbine Limited,There Are Some Reasons To Suggest That Triveni Turbine's (NSE:TRITURBINE) Earnings Are A Poor Reflection Of Profitability - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxPS0xXendHazZoc0w2WmU2bm13aXVoTFQxV21jTzRNdGtDMHAteFl0T1dhbGV6azdxVENtRjBiTHp3LXFvVi1zNXFvSVBfb3hpclJEYlpGa2xQRkZ6OS1XQXNQMnAzcndpZG9KTlplcVVjQzdLc19GcFBYMUxaOUxnTlRCY3JqcUNKdWxjczZRbWctUUUtc25heVN5SXAxanlkVEFyQ1FuMGx5Y0ZFNU0tQUFQRWlna1c2NUJoeEZjZlZkMWYyVW00UVZNWWxuaDJBZzJkWEpJSHdQZ09ya29iMEM5WdIB6AFBVV95cUxNSlAwb3Z5YXRFSWtlODZ2UUxzaEp6eXNyNUM0ZkozQU1HNFlDU3E3MHlzU2VsQXpnR3FvNEloMTFISGMzb3Fkb3pZSXltTGJLRDUybDZ6cko1Zk10WnFQREZyY21heWJ6ZkhBSXBpTFU0RGZkT0NHaUFqaE9ONXdpRHEwNUFneGVQYmlHbE5tMmlfaVM5MkczOWxTcmxEajJ1WklWSlhrZkJGV29DMzJzTjNkNnBGd0F3bnhidVFFSG9UblZPZ2pKVlJuSG56SFhhemVJZnZiRTQ4bjV3Vm51UTNjMjQ4RU1a?oc=5"" target=""_blank"">There Are Some Reasons To Suggest That Triveni Turbine's (NSE:TRITURBINE) Earnings Are A Poor Reflection Of Profitability</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-23 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4wFBVV95cUxPS0xXendHazZoc0w2WmU2bm13aXVoTFQxV21jTzRNdGtDMHAteFl0T1dhbGV6azdxVENtRjBiTHp3LXFvVi1zNXFvSVBfb3hpclJEYlpGa2xQRkZ6OS1XQXNQMnAzcndpZG9KTlplcVVjQzdLc19GcFBYMUxaOUxnTlRCY3JqcUNKdWxjczZRbWctUUUtc25heVN5SXAxanlkVEFyQ1FuMGx5Y0ZFNU0tQUFQRWlna1c2NUJoeEZjZlZkMWYyVW00UVZNWWxuaDJBZzJkWEpJSHdQZ09ya29iMEM5WdIB6AFBVV95cUxNSlAwb3Z5YXRFSWtlODZ2UUxzaEp6eXNyNUM0ZkozQU1HNFlDU3E3MHlzU2VsQXpnR3FvNEloMTFISGMzb3Fkb3pZSXltTGJLRDUybDZ6cko1Zk10WnFQREZyY21heWJ6ZkhBSXBpTFU0RGZkT0NHaUFqaE9ONXdpRHEwNUFneGVQYmlHbE5tMmlfaVM5MkczOWxTcmxEajJ1WklWSlhrZkJGV29DMzJzTjNkNnBGd0F3bnhidVFFSG9UblZPZ2pKVlJuSG56SFhhemVJZnZiRTQ4bjV3Vm51UTNjMjQ4RU1a?oc=5
