scrip,company,headline,summary,published_date,source,url
CUB,City Union Bank Limited,"City Union Bank Limited's (NSE:CUB) high institutional ownership speaks for itself as stock continues to impress, up 9.5% over last week - simplywall.st","<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxONS0wT2tzTHZvbkQwRlcyWmVwYlZQNng2SGd1YmhDNEdQRTYyM2JDTjhLXzhUcXdFQThnYlZjeTVaMEJFVDBPUU1Tcy11LW5LS2VyaEhWbXNKLUU5V1NGajJvRVlWa2EwZk1aS1dxUWx1WlMzOTlMMmxwVGpTTXFKRTZWTW9XRjhOY1JzMTBKenU0WkJTWlNnZ0g1SDNuWVBBZzRpU0ZERlpraWZfUWRwT0prMTFOSTR2dENiWGhSWlZZSjNZN2h0WmI5UmNNWTjSAdQBQVVfeXFMT2hnV25PdTVjUlV6MlNONTdDVVF0WExLVm1wUmR4aHJrVTlVZ3ZtUDZJckF0dmNNWVNjRHFBQUVfTWNNUUxXS1BPci1WR0hNREpZRVlyZjJweTk3Tk5jSmdxY2YzSDZhNk9fS1FXY3lrblUyRmJ2S3NvVEtoU2cxajhGS09nTzh4RXpXSDVjeEd1SVlBRUZKM2lwM1JqNGMzX3VHU2NESWVOamRjaXNjVUx1eE1FX1JiT084MU9XX3hkdktiRmlXOFFLN2NzdTNvMXJyZXI?oc=5"" target=""_blank"">City Union Bank Limited's (NSE:CUB) high institutional ownership speaks for itself as stock continues to impress, up 9.5% over last week</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-01 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMizwFBVV95cUxONS0wT2tzTHZvbkQwRlcyWmVwYlZQNng2SGd1YmhDNEdQRTYyM2JDTjhLXzhUcXdFQThnYlZjeTVaMEJFVDBPUU1Tcy11LW5LS2VyaEhWbXNKLUU5V1NGajJvRVlWa2EwZk1aS1dxUWx1WlMzOTlMMmxwVGpTTXFKRTZWTW9XRjhOY1JzMTBKenU0WkJTWlNnZ0g1SDNuWVBBZzRpU0ZERlpraWZfUWRwT0prMTFOSTR2dENiWGhSWlZZSjNZN2h0WmI5UmNNWTjSAdQBQVVfeXFMT2hnV25PdTVjUlV6MlNONTdDVVF0WExLVm1wUmR4aHJrVTlVZ3ZtUDZJckF0dmNNWVNjRHFBQUVfTWNNUUxXS1BPci1WR0hNREpZRVlyZjJweTk3Tk5jSmdxY2YzSDZhNk9fS1FXY3lrblUyRmJ2S3NvVEtoU2cxajhGS09nTzh4RXpXSDVjeEd1SVlBRUZKM2lwM1JqNGMzX3VHU2NESWVOamRjaXNjVUx1eE1FX1JiT084MU9XX3hkdktiRmlXOFFLN2NzdTNvMXJyZXI?oc=5
CUB,City Union Bank Limited,City Union Bank Grants Employee Stock Options Worth ₹2.08 Crore to Senior Leadership - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxPajhjSWk1UTQyMTkwY0VhT19XSFFwemgyNVJuaXNXRkZRcEpDQ19iWmlYVlVTX1FDc0QxZWZQVjJ2NHBWb2dydnNIUnNJdVNVV3p4TnZqLVZEUWpsU1hZa1pkVmpKaXlQU3NOdUxuUkg4NUZLdWVJTFpOQmVVelpuT2U3SzlMdEREUWtFNFFvS01laTg5OXBxMlRjcGptMFpqWnNDa05nRm02YWl1dG1sYTZWUGtIYUV2dy1QYkhIRUNRTEFiMGNzWjNlMUNCREdGVTRmcWlGVTJyYWo0dkRTVGtB?oc=5"" target=""_blank"">City Union Bank Grants Employee Stock Options Worth ₹2.08 Crore to Senior Leadership</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-27 12:34:01,scanx.trade,https://news.google.com/rss/articles/CBMi4gFBVV95cUxPajhjSWk1UTQyMTkwY0VhT19XSFFwemgyNVJuaXNXRkZRcEpDQ19iWmlYVlVTX1FDc0QxZWZQVjJ2NHBWb2dydnNIUnNJdVNVV3p4TnZqLVZEUWpsU1hZa1pkVmpKaXlQU3NOdUxuUkg4NUZLdWVJTFpOQmVVelpuT2U3SzlMdEREUWtFNFFvS01laTg5OXBxMlRjcGptMFpqWnNDa05nRm02YWl1dG1sYTZWUGtIYUV2dy1QYkhIRUNRTEFiMGNzWjNlMUNCREdGVTRmcWlGVTJyYWo0dkRTVGtB?oc=5
CUB,City Union Bank Limited,City Union Bank zooms 101% from April low; hits new high; upside left? - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxPWWQ0Zi1HWXhVNDZfdHVlZWhSMmpvMTVqSDA0NDhuSVBIUTVRX0JfajJOUzJxVklJcjNDQ1lTcGYyT3lLVEJsM1FScWo1V1hqTW8zV0dvRmNmMGI5eHp2YTZ4ZUFkM0dkZFJMbHZXcFNzTFE3MkJyakk5d0JKNk9SVmptZ1pxb0FlY1JRLVdjdmE4WThmeW1PQ1pzc2ZfN0h5THhNdmVFOEI2czdDbFNZTFFzU3d6M3NrUE8zbnAwaEhrNmI5cWEwdWR5NC1NcmNFMkt1MTB6TVlGckk0bnfSAeMBQVVfeXFMT3dvSHpBaXNlT3I2ZW9ZTll6MUkwX0lFWFFEV3dHdTZhRUwzUWNJYXVFaHJDakllNXRRV3pwb2xJVTQ2b3NHTWZOREQ0YTBfbDJPM2hjaEJJczF4Z1ZtbmtSbkNZV25uakN2LW5BQTFmd21SUnEwLUFKaEJPUm11aFI5eDd3cmZMS2FXTG5yMFk1UDlPczZjSjdXeEhqekZneEYxYnFXLUdvTENjMDBCLXc3LUZ4S2ZOejZUME9zNG90czY3bldKNlpBdXRRd0EtT1hNajBWN0NnakJmdFR1eG0taDg?oc=5"" target=""_blank"">City Union Bank zooms 101% from April low; hits new high; upside left?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-12-24 08:00:00,Business Standard,https://news.google.com/rss/articles/CBMi3gFBVV95cUxPWWQ0Zi1HWXhVNDZfdHVlZWhSMmpvMTVqSDA0NDhuSVBIUTVRX0JfajJOUzJxVklJcjNDQ1lTcGYyT3lLVEJsM1FScWo1V1hqTW8zV0dvRmNmMGI5eHp2YTZ4ZUFkM0dkZFJMbHZXcFNzTFE3MkJyakk5d0JKNk9SVmptZ1pxb0FlY1JRLVdjdmE4WThmeW1PQ1pzc2ZfN0h5THhNdmVFOEI2czdDbFNZTFFzU3d6M3NrUE8zbnAwaEhrNmI5cWEwdWR5NC1NcmNFMkt1MTB6TVlGckk0bnfSAeMBQVVfeXFMT3dvSHpBaXNlT3I2ZW9ZTll6MUkwX0lFWFFEV3dHdTZhRUwzUWNJYXVFaHJDakllNXRRV3pwb2xJVTQ2b3NHTWZOREQ0YTBfbDJPM2hjaEJJczF4Z1ZtbmtSbkNZV25uakN2LW5BQTFmd21SUnEwLUFKaEJPUm11aFI5eDd3cmZMS2FXTG5yMFk1UDlPczZjSjdXeEhqekZneEYxYnFXLUdvTENjMDBCLXc3LUZ4S2ZOejZUME9zNG90czY3bldKNlpBdXRRd0EtT1hNajBWN0NnakJmdFR1eG0taDg?oc=5
CUB,City Union Bank Limited,City Union Bank Shares Price Jump Nearly 5% After Strong Q2FY26 Results - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMieEFVX3lxTE1rVVVxa2dKZXVWc2NfeWk3MVhUdUFZcVVTdDVyWlAyMjZkNS02T3dmTmkwMnFMbnkxSHgzUjNLQWdvRkdtck9LY2ZkeWJHUVZNM3JNRkxON0J5MTNrQ1FtdzdLcWdUNjdWTVJmWlMyeEVJQ2lhSElQXw?oc=5"" target=""_blank"">City Union Bank Shares Price Jump Nearly 5% After Strong Q2FY26 Results</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-11-04 08:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMieEFVX3lxTE1rVVVxa2dKZXVWc2NfeWk3MVhUdUFZcVVTdDVyWlAyMjZkNS02T3dmTmkwMnFMbnkxSHgzUjNLQWdvRkdtck9LY2ZkeWJHUVZNM3JNRkxON0J5MTNrQ1FtdzdLcWdUNjdWTVJmWlMyeEVJQ2lhSElQXw?oc=5
CUB,City Union Bank Limited,"City Union Bank Ltd. Trades 8.56 Million Shares, Total Value Hits Rs 21,315 Lakhs - Markets Mojo","<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxNN0ZnV013WW1zcWRINWF5LVo0QzFKdDg2b1MzUm55V3V1YjZnWUtNcExfSVVLRlk0Y2x1c2dCRkNGanNELW9FU05wQ0tIUjNBeEs4TWQyU2VrbU5uZHQ4VXVTWVJ4ZklfZGd4eEttRElIbDN3YkdjWWN5bWJLOUY2dDNNQmlsM2c4enJ5RHU2RXBRZEZOTDNoZlVWdDZHTlV5YnNsUmpZWVhsV1dVTnowdUsxM0dkTzNhZE03VlZhV3ZmUUhxLVh3YncyeFFsblhG?oc=5"" target=""_blank"">City Union Bank Ltd. Trades 8.56 Million Shares, Total Value Hits Rs 21,315 Lakhs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-11-04 05:07:44,Markets Mojo,https://news.google.com/rss/articles/CBMi0AFBVV95cUxNN0ZnV013WW1zcWRINWF5LVo0QzFKdDg2b1MzUm55V3V1YjZnWUtNcExfSVVLRlk0Y2x1c2dCRkNGanNELW9FU05wQ0tIUjNBeEs4TWQyU2VrbU5uZHQ4VXVTWVJ4ZklfZGd4eEttRElIbDN3YkdjWWN5bWJLOUY2dDNNQmlsM2c4enJ5RHU2RXBRZEZOTDNoZlVWdDZHTlV5YnNsUmpZWVhsV1dVTnowdUsxM0dkTzNhZE03VlZhV3ZmUUhxLVh3YncyeFFsblhG?oc=5
CUB,City Union Bank Limited,RBI Approves R. Vijay Anandh’s appointment as MD & CEO of City Union Bank - CNBC TV18,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxPQUtoN0FXbXQ3Q1RrYy1QTjdiQU0yWDMxWTNOZUc5d2lYMlNYQ1ZQZHBMY2Zod1hKbmlzTXNUOGUzYzlBZkF5U0tlcll1aXNwQzVybEFtVXZWdDU1ZUV4LU1tZkxRcVlWU19BQm1ZM3A4Ukg2ZTVTZEVWVUxObTBrMjUzTDNBSE1ma0ZVRTNOYjhTd3VUYUpOdmZGVDlfU1hVQnpEOTdJVUdaSUw3NGFzcmUyb9IBuAFBVV95cUxOTlQtSDdXQnAtUzZVa2gzMXZNS1ZuUGFkOTZXa1V6aVl4cUVvd3duMzdOQ192bVF1cFFxQ216Uml0M2xhVFlmMk1PMmxSRXJ5UEFzcHdCd212M05jNlVpa203MTAwdTYzclJ4MDc3OVB4RFVpQ2tmdnVPc0pxeW1ZeFc4cmVJN044ZGVPMlNrVFpmZ0lGT3lLdzRFOWl5cGUycFpaNkJfNFFVQTFpLTN5QkxnWVdISHNa?oc=5"" target=""_blank"">RBI Approves R. Vijay Anandh’s appointment as MD & CEO of City Union Bank</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",2026-02-09 08:00:00,CNBC TV18,https://news.google.com/rss/articles/CBMiswFBVV95cUxPQUtoN0FXbXQ3Q1RrYy1QTjdiQU0yWDMxWTNOZUc5d2lYMlNYQ1ZQZHBMY2Zod1hKbmlzTXNUOGUzYzlBZkF5U0tlcll1aXNwQzVybEFtVXZWdDU1ZUV4LU1tZkxRcVlWU19BQm1ZM3A4Ukg2ZTVTZEVWVUxObTBrMjUzTDNBSE1ma0ZVRTNOYjhTd3VUYUpOdmZGVDlfU1hVQnpEOTdJVUdaSUw3NGFzcmUyb9IBuAFBVV95cUxOTlQtSDdXQnAtUzZVa2gzMXZNS1ZuUGFkOTZXa1V6aVl4cUVvd3duMzdOQ192bVF1cFFxQ216Uml0M2xhVFlmMk1PMmxSRXJ5UEFzcHdCd212M05jNlVpa203MTAwdTYzclJ4MDc3OVB4RFVpQ2tmdnVPc0pxeW1ZeFc4cmVJN044ZGVPMlNrVFpmZ0lGT3lLdzRFOWl5cGUycFpaNkJfNFFVQTFpLTN5QkxnWVdISHNa?oc=5
CUB,City Union Bank Limited,City Union Bank: NIM Surge Amidst Gold Loan Boom Faces Scrutiny - Whalesbook,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxNY0tEbmdYSmVFcjBIUGlhbVY1cEZWWERjdzFmbFprdjh5ZWRpZ3NfZl8yYkhBTUN1YW5ITW9kMEF6YjMyOU9laGd3eUxkUEg3eFViYk8yeTVRaWdzMGZmajlQVDZKQlZtMjZMcUVyRXlEZHpaaUJUZ3RuOGFUb3I3WG0zMVNDaVNURXRKOUJjaWRudFF5VlBGYnU3d1hHU3VVRFgydWZveUszQU9ac3ZBYXZRX3RZZUV5RVc2c09vNXpYeVRLRlYxN3dQSGtDVXRTNnZQRk0yTHUtdw?oc=5"" target=""_blank"">City Union Bank: NIM Surge Amidst Gold Loan Boom Faces Scrutiny</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Whalesbook</font>",2026-02-04 08:00:00,Whalesbook,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNY0tEbmdYSmVFcjBIUGlhbVY1cEZWWERjdzFmbFprdjh5ZWRpZ3NfZl8yYkhBTUN1YW5ITW9kMEF6YjMyOU9laGd3eUxkUEg3eFViYk8yeTVRaWdzMGZmajlQVDZKQlZtMjZMcUVyRXlEZHpaaUJUZ3RuOGFUb3I3WG0zMVNDaVNURXRKOUJjaWRudFF5VlBGYnU3d1hHU3VVRFgydWZveUszQU9ac3ZBYXZRX3RZZUV5RVc2c09vNXpYeVRLRlYxN3dQSGtDVXRTNnZQRk0yTHUtdw?oc=5
CUB,City Union Bank Limited,Here's Why Shareholders May Want To Be Cautious With Increasing City Union Bank Limited's (NSE:CUB) CEO Pay Packet - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxNdGU3b2pHRWNBb0ZIU2VDQ0RRSkxTaW5JTk9TVkpISmVIdzFITkRCMjZldllPYVk5TEFib2d1eUlKMnZqZzVub2VWU1ZVNEpTYlNjdW1BX0xVS1NNMjgtLU8zYkRlSFlwZXphVnNCVmMwSmhzTlE1MWtxeHJFUXo0NXMwSGpETnhEWXo1RDZmbngzUmJVQmNvTm84U29IMDhXeWdCd1VTQnNhNFNvelFCWl82LXlPTHRyLWNUOFVfdWRoei00VFVmbktTLUJsbTFhcWRnRw?oc=5"" target=""_blank"">Here's Why Shareholders May Want To Be Cautious With Increasing City Union Bank Limited's (NSE:CUB) CEO Pay Packet</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-08-07 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi1AFBVV95cUxNdGU3b2pHRWNBb0ZIU2VDQ0RRSkxTaW5JTk9TVkpISmVIdzFITkRCMjZldllPYVk5TEFib2d1eUlKMnZqZzVub2VWU1ZVNEpTYlNjdW1BX0xVS1NNMjgtLU8zYkRlSFlwZXphVnNCVmMwSmhzTlE1MWtxeHJFUXo0NXMwSGpETnhEWXo1RDZmbngzUmJVQmNvTm84U29IMDhXeWdCd1VTQnNhNFNvelFCWl82LXlPTHRyLWNUOFVfdWRoei00VFVmbktTLUJsbTFhcWRnRw?oc=5
CUB,City Union Bank Limited,City Union Bank Targets Double-Digit Growth with SME Focus and Digital Expansion - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxOcW10M1FENkhhX0VVYmxCU2lrd044ZVloa1FuN3pUZUFKQ2VtYllac1luWUtUdDZtNWJPMmJkWmUwVlZaQ01BY18xQi1KZUV2WU96cU9RdGFPTUozY2VHdUszZ2IydXBOUkRWOGhBQ3FQRHhMd2UwN3pfYzdCS2pSMExJLVQ2M2xkTS05YVJvZThNUlN4dEdWUkRwbUZMcE9WNTFoYlNYY0ZEbXRpcE5Sb0Q2V1Boc3R2TDhmOHV6M05oSnFuRUtjTU1IM2otSVdHQlE?oc=5"" target=""_blank"">City Union Bank Targets Double-Digit Growth with SME Focus and Digital Expansion</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-03 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOcW10M1FENkhhX0VVYmxCU2lrd044ZVloa1FuN3pUZUFKQ2VtYllac1luWUtUdDZtNWJPMmJkWmUwVlZaQ01BY18xQi1KZUV2WU96cU9RdGFPTUozY2VHdUszZ2IydXBOUkRWOGhBQ3FQRHhMd2UwN3pfYzdCS2pSMExJLVQ2M2xkTS05YVJvZThNUlN4dEdWUkRwbUZMcE9WNTFoYlNYY0ZEbXRpcE5Sb0Q2V1Boc3R2TDhmOHV6M05oSnFuRUtjTU1IM2otSVdHQlE?oc=5
CUB,City Union Bank Limited,City Union Bank Skyrockets to New Highs: Is the Rally Just Getting Started? - Whalesbook,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxOMFBmb19iY0VMWHBDSExuLUFsTE50Ny0tb21ONzJGNElITmEwTUFMcW41MlRZVUFaRjRUQ3NrQi15a0J3dFowV2JRY0x3SjRaYnY1ajlzZEZJcC1HLXlyN3JCLUppU01tUzZ5UWdtXzhFWGN0RXFYUUZ5QWFmYVQ4NGpTVDR0V0lxSXh5ZThvSkZicEpWbGl5U1VyYWVSRjNjNGY3M3laUGVScDZJT0hwRmIxSTU2SFR2NjJQU0xlYXlsT3hRalhGQm5YclhyMG45SmJyRkFrdlR6VmVhcExLaEpzQ1R4clZn?oc=5"" target=""_blank"">City Union Bank Skyrockets to New Highs: Is the Rally Just Getting Started?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Whalesbook</font>",2025-12-24 08:00:00,Whalesbook,https://news.google.com/rss/articles/CBMi6AFBVV95cUxOMFBmb19iY0VMWHBDSExuLUFsTE50Ny0tb21ONzJGNElITmEwTUFMcW41MlRZVUFaRjRUQ3NrQi15a0J3dFowV2JRY0x3SjRaYnY1ajlzZEZJcC1HLXlyN3JCLUppU01tUzZ5UWdtXzhFWGN0RXFYUUZ5QWFmYVQ4NGpTVDR0V0lxSXh5ZThvSkZicEpWbGl5U1VyYWVSRjNjNGY3M3laUGVScDZJT0hwRmIxSTU2SFR2NjJQU0xlYXlsT3hRalhGQm5YclhyMG45SmJyRkFrdlR6VmVhcExLaEpzQ1R4clZn?oc=5
CUB,City Union Bank Limited,City Union Bank's (NSE:CUB) one-year earnings growth trails the favorable shareholder returns - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxOdzk3UURIcER5MlFycXNiYS1OVzZacjY1TjhJcFNuUkN6RVN6Unl6c2lTR3JZYjJLaWhZOE5jWXl6aHl3VW90QXJiOHM3M3FEM2VyckloV1hpTElYNFBLQVA1RnlJNTlRWjgwaW5oZU1mNnZobGROVXM1djdBenhrZHNoZms4M1RvRGktTmxzYWlrUWFfVTc0WmxDY1NvRVV4Y2VWNTZGYnNsZFJ6S1pWVDRPSjBJVGxUZnhsT2ExVnNjbG9WNDE4WnpnOExZdw?oc=5"" target=""_blank"">City Union Bank's (NSE:CUB) one-year earnings growth trails the favorable shareholder returns</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-12-27 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMizgFBVV95cUxOdzk3UURIcER5MlFycXNiYS1OVzZacjY1TjhJcFNuUkN6RVN6Unl6c2lTR3JZYjJLaWhZOE5jWXl6aHl3VW90QXJiOHM3M3FEM2VyckloV1hpTElYNFBLQVA1RnlJNTlRWjgwaW5oZU1mNnZobGROVXM1djdBenhrZHNoZms4M1RvRGktTmxzYWlrUWFfVTc0WmxDY1NvRVV4Y2VWNTZGYnNsZFJ6S1pWVDRPSjBJVGxUZnhsT2ExVnNjbG9WNDE4WnpnOExZdw?oc=5
CUB,City Union Bank Limited,"City Union Bank Reports Financial Results for Quarter Ended September 30, 2025 - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxNNmhnMXBYRlFKYTFsamRsSWt6T1pLQ05xUkRQVVBYRnV5TzBUQWRMQ0F0TlExNmUzSWdkdUFQcFhPWURFbTFuNG9ZWXhqcFN4UzhfMWdncDlYTVN5b3Jic3lJNDFHZjR1X3QxQk40UHdDMV9qRWNHcnpEbzFSSG0tdnFNWHIwZjdMUVNVX09pckw2eVlRS1N2THlKSEU3cl83VlRvWnBPVDhiZXZCZjhkaDB2aUZMaVFmSmNubmR2LWdEYW0zc1Br?oc=5"" target=""_blank"">City Union Bank Reports Financial Results for Quarter Ended September 30, 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-03 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMixwFBVV95cUxNNmhnMXBYRlFKYTFsamRsSWt6T1pLQ05xUkRQVVBYRnV5TzBUQWRMQ0F0TlExNmUzSWdkdUFQcFhPWURFbTFuNG9ZWXhqcFN4UzhfMWdncDlYTVN5b3Jic3lJNDFHZjR1X3QxQk40UHdDMV9qRWNHcnpEbzFSSG0tdnFNWHIwZjdMUVNVX09pckw2eVlRS1N2THlKSEU3cl83VlRvWnBPVDhiZXZCZjhkaDB2aUZMaVFmSmNubmR2LWdEYW0zc1Br?oc=5
CUB,City Union Bank Limited,Does City Union Bank (NSE:CUB) Deserve A Spot On Your Watchlist? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxPbG1BTEFhS0YxTEJ1WXQxamNjWU1yWTNzTjZNSm5MZFBWUmVUX2RhN0dsY0ttajdaR3gwZlBuRjMtTFlLZ1hjZ3FPTTVfUFFtY2U2SzhUbFZFUXhUQkYtWEpwOC0xQ2g0Zk9ob1NPeExueUF5a2syclBkSUVVRFJfTXJwZ0pONXlvOW1CeFFJOGFEcWRWYVBmQktZdU9MemViR0tZUjJaYnlYbDNMa3llSlRCdWRiRnN5WGZFNGRESXllQTlzdzdDNy1BWlgwdmc?oc=5"" target=""_blank"">Does City Union Bank (NSE:CUB) Deserve A Spot On Your Watchlist?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-22 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMizwFBVV95cUxPbG1BTEFhS0YxTEJ1WXQxamNjWU1yWTNzTjZNSm5MZFBWUmVUX2RhN0dsY0ttajdaR3gwZlBuRjMtTFlLZ1hjZ3FPTTVfUFFtY2U2SzhUbFZFUXhUQkYtWEpwOC0xQ2g0Zk9ob1NPeExueUF5a2syclBkSUVVRFJfTXJwZ0pONXlvOW1CeFFJOGFEcWRWYVBmQktZdU9MemViR0tZUjJaYnlYbDNMa3llSlRCdWRiRnN5WGZFNGRESXllQTlzdzdDNy1BWlgwdmc?oc=5
CUB,City Union Bank Limited,City Union Bank Receives Credit Rating Upgrade from ICRA Limited - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxPUVhUMjJBUFVhN2ZldVJ4YmM3TUdNZXVudnRfd3dCX1lRRXdWMFg5NjZaQ1VRUVJfbHhUSGtJa2hRLUlDc2dJWklXeVZDZFFWYllvdjNyNDBscWROYkt2NW1MMGE5UWtMOEp4SGx5b3JfMUlBemxKUTJ0TnZLYlBucmhMSUJOMmtQVkhMVF9CTy15MlBzaTFwOUJlVWVRckREandSbndKNEh1bnRVT2k0VFBMQU95RVk4Mnc?oc=5"" target=""_blank"">City Union Bank Receives Credit Rating Upgrade from ICRA Limited</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-19 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMiugFBVV95cUxPUVhUMjJBUFVhN2ZldVJ4YmM3TUdNZXVudnRfd3dCX1lRRXdWMFg5NjZaQ1VRUVJfbHhUSGtJa2hRLUlDc2dJWklXeVZDZFFWYllvdjNyNDBscWROYkt2NW1MMGE5UWtMOEp4SGx5b3JfMUlBemxKUTJ0TnZLYlBucmhMSUJOMmtQVkhMVF9CTy15MlBzaTFwOUJlVWVRckREandSbndKNEh1bnRVT2k0VFBMQU95RVk4Mnc?oc=5
CUB,City Union Bank Limited,City Union Bank Reports 16% Net Profit Growth in Q1 with Strong Balance Sheet Expansion - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxOYjVtSC1malE4TnI0RjZqcGZfckNvOVZSaElleU41X0g2REhfRHFWb1M2SUxLOHdCODdsNDBRSHp6alFyeTVOYTFwVkNkT25pSmtwUkRkMTVRUkF1amR0SzlfWXB5MXlrR1NOUDFIbUJpUncwdTdUc1hSMXJNc3VqUDVmZG56dmN6eDNjZlJObFRLUktvc2RYQm5ONlVUa2NkWndrTDVadEcwdlF1ajJCNzNKal9xTmJUakk1c0NXQk55TTlHV2xR?oc=5"" target=""_blank"">City Union Bank Reports 16% Net Profit Growth in Q1 with Strong Balance Sheet Expansion</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-07-31 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMixwFBVV95cUxOYjVtSC1malE4TnI0RjZqcGZfckNvOVZSaElleU41X0g2REhfRHFWb1M2SUxLOHdCODdsNDBRSHp6alFyeTVOYTFwVkNkT25pSmtwUkRkMTVRUkF1amR0SzlfWXB5MXlrR1NOUDFIbUJpUncwdTdUc1hSMXJNc3VqUDVmZG56dmN6eDNjZlJObFRLUktvc2RYQm5ONlVUa2NkWndrTDVadEcwdlF1ajJCNzNKal9xTmJUakk1c0NXQk55TTlHV2xR?oc=5
CUB,City Union Bank Limited,City Union Bank Expands Presence with Two New Branches in Tamil Nadu - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxOb2QyUGswal9KRkowX1htRGtsSXhOOW5GVGRPTG1hNlZHRFFtQ2xOcFNSUV9FbEp2WUk2X25hRmhEcGdfeVBwSVp4WXhXcm1QMjYteDZhd3RmZzdCX1lGb1daVFY5cUNGdVNmTVBJRWhYVjMxYWxNRmJJckx1X3cybWM2UGRJcUZMS0x2Vjl6X1F2cWRRNldYMWs5V3gzNzNzVVhSQ0c2N2VEa09mSTZGS0d1dTh2NjZseUplQVlaaw?oc=5"" target=""_blank"">City Union Bank Expands Presence with Two New Branches in Tamil Nadu</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-09-26 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMivwFBVV95cUxOb2QyUGswal9KRkowX1htRGtsSXhOOW5GVGRPTG1hNlZHRFFtQ2xOcFNSUV9FbEp2WUk2X25hRmhEcGdfeVBwSVp4WXhXcm1QMjYteDZhd3RmZzdCX1lGb1daVFY5cUNGdVNmTVBJRWhYVjMxYWxNRmJJckx1X3cybWM2UGRJcUZMS0x2Vjl6X1F2cWRRNldYMWs5V3gzNzNzVVhSQ0c2N2VEa09mSTZGS0d1dTh2NjZseUplQVlaaw?oc=5
