scrip,company,headline,summary,published_date,source,url
NCC,NCC Limited,NCC Limited's (NSE:NCC) Stock Has Shown Weakness Lately But Financial Prospects Look Decent: Is The Market Wrong? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxNdmtFemoxUmQ3MU5SYWVfc3hlVDl5dG12ZDd5Njl3VVItZXJaajVQUDQtRUJhd3FzdHNjMnVzbFNSWl91dU5TRnpKMXpyTjIxNXVDVTExZ2xnWnNHWWZ3R1ExWllQNnhaem5maWlSRmttak00bGlPSW95RDZVTEZEUnRackxqcTh6dkhHWWVqSnMyVFVyTWxSSDhRNE5tVUJMNWt2ZnlSek9IMnVLU0VYalVqUjFlZWJjTWlXS0ZCU2ZqRTNLM2c2cmJCZlnSAdIBQVVfeXFMTjJIR0FXU1ROYXRvZFFGT05YanpObFYtQl9URTFpSEVHczNMaFUteFI2cWpLZEVlT2pPaXg2aXZEX0xtMERoVWc0MkZRaEJHZkc0dS1EMHhDSjNhZjg3VU9Rb2RqOWNPcDlyc0ZBYU5FM0dEbDh4YVdKcElLRzBYM1B1U1NwSkc4RVpVVWVwd0hBbFR3ZU04dDBGeUhpb25GWEpEVTljcjZHZWZKYUZGUERCd2FtWnBFa3E5RVpBdEhOd1l5UTZzLTVBbHNNZTYwOXdB?oc=5"" target=""_blank"">NCC Limited's (NSE:NCC) Stock Has Shown Weakness Lately But Financial Prospects Look Decent: Is The Market Wrong?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-06 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMizAFBVV95cUxNdmtFemoxUmQ3MU5SYWVfc3hlVDl5dG12ZDd5Njl3VVItZXJaajVQUDQtRUJhd3FzdHNjMnVzbFNSWl91dU5TRnpKMXpyTjIxNXVDVTExZ2xnWnNHWWZ3R1ExWllQNnhaem5maWlSRmttak00bGlPSW95RDZVTEZEUnRackxqcTh6dkhHWWVqSnMyVFVyTWxSSDhRNE5tVUJMNWt2ZnlSek9IMnVLU0VYalVqUjFlZWJjTWlXS0ZCU2ZqRTNLM2c2cmJCZlnSAdIBQVVfeXFMTjJIR0FXU1ROYXRvZFFGT05YanpObFYtQl9URTFpSEVHczNMaFUteFI2cWpLZEVlT2pPaXg2aXZEX0xtMERoVWc0MkZRaEJHZkc0dS1EMHhDSjNhZjg3VU9Rb2RqOWNPcDlyc0ZBYU5FM0dEbDh4YVdKcElLRzBYM1B1U1NwSkc4RVpVVWVwd0hBbFR3ZU04dDBGeUhpb25GWEpEVTljcjZHZWZKYUZGUERCd2FtWnBFa3E5RVpBdEhOd1l5UTZzLTVBbHNNZTYwOXdB?oc=5
NCC,NCC Limited,NCC Ltd Q1FY26 PAT at ₹190 Cr; Stock Gains 1.78% to ₹214.77 - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMigwFBVV95cUxQbGNxcTVKNEZaLXpaZ3Bobl94d0U4NmxMRWk4ME9PZUhhaFNSUmhCQVJwU2hrdFE0NllHYU1LdDhGQnJrR0o2ektLcVFxSi1oYlRxdHRZT2tHRXc5VVFUU0UxX0NCRFhFbUJMWTd5YnN0MVhoUmhmSVhpYkN2RFJudTUwYw?oc=5"" target=""_blank"">NCC Ltd Q1FY26 PAT at ₹190 Cr; Stock Gains 1.78% to ₹214.77</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-08-06 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMigwFBVV95cUxQbGNxcTVKNEZaLXpaZ3Bobl94d0U4NmxMRWk4ME9PZUhhaFNSUmhCQVJwU2hrdFE0NllHYU1LdDhGQnJrR0o2ektLcVFxSi1oYlRxdHRZT2tHRXc5VVFUU0UxX0NCRFhFbUJMWTd5YnN0MVhoUmhmSVhpYkN2RFJudTUwYw?oc=5
NCC,NCC Limited,NCC Ltd Sees 11.95% Surge in Open Interest Amid Declining Stock Performance - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxQMEoxZF8zV0g2cWZSN0JJMzc3UEJjelRzSnZEUkVJMTRGeERMa1lKMWhfYVB2d2U4UkU5MS1jZnZ5VzRjbTBnMmxaX1ZMSHVPZU5FQjV2Z3NPUWdHU2pCVVZpOHFGTGQ5Unc3OXBpclNZaHRsU2twVkZyTl80bklWTE5KMXA4eTJJMUptMklsU3pkUnZTXzFYOTktT0UzQ3BVbkhXOXA3Y2dHdHRKUW1xVDExYXhlZ0p6Tld5Sm0zT2RjaE91UEFTVFA2Yw?oc=5"" target=""_blank"">NCC Ltd Sees 11.95% Surge in Open Interest Amid Declining Stock Performance</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-11-06 09:39:33,Markets Mojo,https://news.google.com/rss/articles/CBMiywFBVV95cUxQMEoxZF8zV0g2cWZSN0JJMzc3UEJjelRzSnZEUkVJMTRGeERMa1lKMWhfYVB2d2U4UkU5MS1jZnZ5VzRjbTBnMmxaX1ZMSHVPZU5FQjV2Z3NPUWdHU2pCVVZpOHFGTGQ5Unc3OXBpclNZaHRsU2twVkZyTl80bklWTE5KMXA4eTJJMUptMklsU3pkUnZTXzFYOTktT0UzQ3BVbkhXOXA3Y2dHdHRKUW1xVDExYXhlZ0p6Tld5Sm0zT2RjaE91UEFTVFA2Yw?oc=5
NCC,NCC Limited,"NHAI debars NCC, subsidiary OB Infra from tenders for 2 years from February 17 - CNBC TV18","<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxQNXJUN0tKbjloRG5GeTVnRk9CS2JKV1pIa2tPbnZPS2pncFZRaTJINm8yZ3RrVGVtSEJyd1BlVFlaVjV3WnZUMjJnY2wwTDM1Zjd0NXJsZzNEdkRIUHppZ00tUW1oNXJncWVtQ1p2T2toZC1pUEtaVWR2RzFDRW5CNDA0VXp4TUJ3cHRpZHBwVC1ySDBuMU0tNDQ5ejg2VFdCZFh1MXR4aldNVmZoWVZsdUJUWTh3SU9EcUYzekZOaUZJbXRId1VDMkZOVDR1Ti1MS2VISTBpZkpPYU4w0gHiAUFVX3lxTE5GNU0yQXRqSkFZSjlJTFRHNXNXVkV6QUo1eXhGbFB0bzRydEJock1DdHpyM1BLSnUzOEF4dU15R2NNYVQzZGtwQWFYV0tfNktGeUdSd1BRYXlSOGFCQllfUVg1RnZXWUo0b2VWZFBLY2FwVGhXTVZrWVNQMlJoT0IxdWVkODhnNFZEYmYzWUJkWkpNZXVKR0Q0by1ZaDRrQkZKMU5ielZZSzBvM09XdUpBRHRGYkU3T0lZRG42c2tESk1WTFdqenJjUDV4ZVZMaE8xNU54LVJhcWttR1o2Rm5ub0E?oc=5"" target=""_blank"">NHAI debars NCC, subsidiary OB Infra from tenders for 2 years from February 17</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",2026-02-18 08:00:00,CNBC TV18,https://news.google.com/rss/articles/CBMi3AFBVV95cUxQNXJUN0tKbjloRG5GeTVnRk9CS2JKV1pIa2tPbnZPS2pncFZRaTJINm8yZ3RrVGVtSEJyd1BlVFlaVjV3WnZUMjJnY2wwTDM1Zjd0NXJsZzNEdkRIUHppZ00tUW1oNXJncWVtQ1p2T2toZC1pUEtaVWR2RzFDRW5CNDA0VXp4TUJ3cHRpZHBwVC1ySDBuMU0tNDQ5ejg2VFdCZFh1MXR4aldNVmZoWVZsdUJUWTh3SU9EcUYzekZOaUZJbXRId1VDMkZOVDR1Ti1MS2VISTBpZkpPYU4w0gHiAUFVX3lxTE5GNU0yQXRqSkFZSjlJTFRHNXNXVkV6QUo1eXhGbFB0bzRydEJock1DdHpyM1BLSnUzOEF4dU15R2NNYVQzZGtwQWFYV0tfNktGeUdSd1BRYXlSOGFCQllfUVg1RnZXWUo0b2VWZFBLY2FwVGhXTVZrWVNQMlJoT0IxdWVkODhnNFZEYmYzWUJkWkpNZXVKR0Q0by1ZaDRrQkZKMU5ielZZSzBvM09XdUpBRHRGYkU3T0lZRG42c2tESk1WTFdqenJjUDV4ZVZMaE8xNU54LVJhcWttR1o2Rm5ub0E?oc=5
NCC,NCC Limited,NCC Limited Announces Demise of Senior Executive N Bangar Raju - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxNWHduRnAxNHRvaGZCTDltMTZOQW5YamU5ZFpiUHMtakwxbkppNlN4WUxuamZ0Z21kMzA2b0hKN2RzZ2h2emliVnY4NXJNR0JHV2hSMEpMZUJJYVVrTzBwMW91alItaXBHUEk3QndOSWU2T1NOMWUwdmV4TzBSd0tDNDRXNlRFZXdWSVBGRER3eTlfQ1hGYkRaTGE0bkJ3ZExuVU9iV1VHYXZKdHdSdXFFeXdpOWRvZjg?oc=5"" target=""_blank"">NCC Limited Announces Demise of Senior Executive N Bangar Raju</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-16 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMitwFBVV95cUxNWHduRnAxNHRvaGZCTDltMTZOQW5YamU5ZFpiUHMtakwxbkppNlN4WUxuamZ0Z21kMzA2b0hKN2RzZ2h2emliVnY4NXJNR0JHV2hSMEpMZUJJYVVrTzBwMW91alItaXBHUEk3QndOSWU2T1NOMWUwdmV4TzBSd0tDNDRXNlRFZXdWSVBGRER3eTlfQ1hGYkRaTGE0bkJ3ZExuVU9iV1VHYXZKdHdSdXFFeXdpOWRvZjg?oc=5
NCC,NCC Limited,NCC Ltd shares advance up to 5%; here is what investors need to know - Upstox,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxNeXFCM3JrVDVLZGUyOXlVRjhNNjg5VFFHcEJWWmJYclh3YzliWGZNV3g3WGRHMnRtSFJTb3VORDYtM0VXNUNDWTk4UGVHWDgzTlZJeG1YVzNFOHNwOFNJU2dnWW9CMGE2NHlFWDdkNXNyWU9iM2Fhai1RYkVZS3dLdG9sRDE1bHJUay1BY3Bka3VPTDQzZlU0VTgwbVJTUlROanJJOF9aSjVHR2dHOFNPUXJiQkNreFNpZXpmMF9HendVOWs?oc=5"" target=""_blank"">NCC Ltd shares advance up to 5%; here is what investors need to know</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2025-09-15 07:00:00,Upstox,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNeXFCM3JrVDVLZGUyOXlVRjhNNjg5VFFHcEJWWmJYclh3YzliWGZNV3g3WGRHMnRtSFJTb3VORDYtM0VXNUNDWTk4UGVHWDgzTlZJeG1YVzNFOHNwOFNJU2dnWW9CMGE2NHlFWDdkNXNyWU9iM2Fhai1RYkVZS3dLdG9sRDE1bHJUay1BY3Bka3VPTDQzZlU0VTgwbVJTUlROanJJOF9aSjVHR2dHOFNPUXJiQkNreFNpZXpmMF9HendVOWs?oc=5
NCC,NCC Limited,"₹64,326 Cr Order Book: Will NCC stock be able to cross the ₹200 mark? Check the details - Trade Brains","<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxNcEJsbzUxa1F6YmNxLUpSbksyNFNLZDI5cnhqZ2xieDVoc2lmT3dYMlBwVUJKY2lvUlVsU1hyVVNHZU1YblU2dG9wTXdEcXg4b0Y5amM5V1JrY1RrLTZHYWEwbVQ2SXVRSDJ1YXdkdnFPUDNZdFpIZUhHbDRIbjVGMFBybGJTajQzSV91UXpoUnpLOFFsY1BRVzFIN0haRW1LbW9yWFpIRmZodw?oc=5"" target=""_blank"">₹64,326 Cr Order Book: Will NCC stock be able to cross the ₹200 mark? Check the details</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Trade Brains</font>",2026-01-15 08:00:00,Trade Brains,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNcEJsbzUxa1F6YmNxLUpSbksyNFNLZDI5cnhqZ2xieDVoc2lmT3dYMlBwVUJKY2lvUlVsU1hyVVNHZU1YblU2dG9wTXdEcXg4b0Y5amM5V1JrY1RrLTZHYWEwbVQ2SXVRSDJ1YXdkdnFPUDNZdFpIZUhHbDRIbjVGMFBybGJTajQzSV91UXpoUnpLOFFsY1BRVzFIN0haRW1LbW9yWFpIRmZodw?oc=5
NCC,NCC Limited,NCC Historical Data - Equitypandit,"<a href=""https://news.google.com/rss/articles/CBMiXEFVX3lxTE92MjBZcmhvNlZodjVuZlloX3JyQklSckM4dkdqMjQ0Mjg0VUh2djRINlF1aVJSYXoxamZ1T1p1YmtrQnlvM3NpcURLM0Y5S21iOW8xN1BxUVVnbDFz?oc=5"" target=""_blank"">NCC Historical Data</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Equitypandit</font>",2025-09-30 12:28:50,Equitypandit,https://news.google.com/rss/articles/CBMiXEFVX3lxTE92MjBZcmhvNlZodjVuZlloX3JyQklSckM4dkdqMjQ0Mjg0VUh2djRINlF1aVJSYXoxamZ1T1p1YmtrQnlvM3NpcURLM0Y5S21iOW8xN1BxUVVnbDFz?oc=5
NCC,NCC Limited,Benign Growth For NCC Limited (NSE:NCC) Underpins Its Share Price - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxQT1dLX1F3THN3LTBXUEFlM2FFT0tWQUZYdzRaMU1PZTV0aDNZVVZqYU5VSmxNSzlSMm5iZjdHWldadkdWTHpFZlFod0IyNkxhN3FKaGJnSzBSUEtpay1kaTlNY2pwanBtMFJiT29QWDRSVHg3ejVjRzVPZmtJMEs5ZWw2WjN2cDc4ZkhhOE5qajVsRElrV0hId0N6aXp2MzJudGgtblgyYm80QTczMzRLNnJnV1JNTzdsbk0zSzU5WVJvWkZkcjFGcVJn0gHPAUFVX3lxTFBReVdIcEx4Z0owMk9SamdCeXFJYVJZa3NYemlIUkxJQ3ZpTVU2dmpFN0J4V0RvNWctS2xTTnhwc0VSR2haclUwd0N5YWI1YjlTb1Z4N3J1YXZ1aE9SRXVUa3haTEpkbkdMWEljRTBrWVBTaUgxNnFua2JFM3FwcmlpZk9nZHFCMF9yS1JnNURST0NvUERPOTdLOHJ0eTdZTTlkSWw1WGt3UVpwUC0tM0gzbHNRWU1uX2s1SVVGUHh3cllUVTl0d3Jtdk54VDB6aw?oc=5"" target=""_blank"">Benign Growth For NCC Limited (NSE:NCC) Underpins Its Share Price</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-04 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMiygFBVV95cUxQT1dLX1F3THN3LTBXUEFlM2FFT0tWQUZYdzRaMU1PZTV0aDNZVVZqYU5VSmxNSzlSMm5iZjdHWldadkdWTHpFZlFod0IyNkxhN3FKaGJnSzBSUEtpay1kaTlNY2pwanBtMFJiT29QWDRSVHg3ejVjRzVPZmtJMEs5ZWw2WjN2cDc4ZkhhOE5qajVsRElrV0hId0N6aXp2MzJudGgtblgyYm80QTczMzRLNnJnV1JNTzdsbk0zSzU5WVJvWkZkcjFGcVJn0gHPAUFVX3lxTFBReVdIcEx4Z0owMk9SamdCeXFJYVJZa3NYemlIUkxJQ3ZpTVU2dmpFN0J4V0RvNWctS2xTTnhwc0VSR2haclUwd0N5YWI1YjlTb1Z4N3J1YXZ1aE9SRXVUa3haTEpkbkdMWEljRTBrWVBTaUgxNnFua2JFM3FwcmlpZk9nZHFCMF9yS1JnNURST0NvUERPOTdLOHJ0eTdZTTlkSWw1WGt3UVpwUC0tM0gzbHNRWU1uX2s1SVVGUHh3cllUVTl0d3Jtdk54VDB6aw?oc=5
NCC,NCC Limited,NCC Limited Receives ESG Rating of 68.8 from SES ESG Research Private Limited - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxQSUVaVWJBNUg2NFNWTkdneGJpWjU1VXBrdlFFaTVsZmVpX0E3RDlHY1M4UmQta3NrOTV2ZkZpNkt2c2huTzh0U1ZsUzFSN0dXUkxKTWM2eDZ5M0VRS0ZTV0ZKTHg5TXB2dHlBMDVndEF0SDdjSzBkYkFCNEk2Qy1BS282b18tczFWZzZwWnN4RUhSYmduVTlSMEF3emo1SDJmNHE4dFhnNTFqRXV4bVI4Tjh1bHBiZUd6YWxmZGJ4ZkVFMnA1a21lRkl6QQ?oc=5"" target=""_blank"">NCC Limited Receives ESG Rating of 68.8 from SES ESG Research Private Limited</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-26 09:42:03,scanx.trade,https://news.google.com/rss/articles/CBMiywFBVV95cUxQSUVaVWJBNUg2NFNWTkdneGJpWjU1VXBrdlFFaTVsZmVpX0E3RDlHY1M4UmQta3NrOTV2ZkZpNkt2c2huTzh0U1ZsUzFSN0dXUkxKTWM2eDZ5M0VRS0ZTV0ZKTHg5TXB2dHlBMDVndEF0SDdjSzBkYkFCNEk2Qy1BS282b18tczFWZzZwWnN4RUhSYmduVTlSMEF3emo1SDJmNHE4dFhnNTFqRXV4bVI4Tjh1bHBiZUd6YWxmZGJ4ZkVFMnA1a21lRkl6QQ?oc=5
NCC,NCC Limited,NCC Ltd Technical Momentum Shifts Amid Mixed Market Signals - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxON0o5WGVsZEMxekttUVdqb01Hc0JqYVdRMEVoRXEwbThSSGdiQm51SHZtWDJUVkRob09aTGdZcXpQNFNkQzh4NWU3SlcwR0tycUtFSm1WVXRwUUFtdU1Vb2hWNTFVcjlQdVRVdmUzd1hsYUNoU2Z2ZXNoczlwXzVvaTJWTHpOOWRlTUJZQzZxQmQyY0R5VHZOeHd5V3NXS1NUVG9JMzRlb2tsdHoxbS1udFByWm5hMnBB?oc=5"" target=""_blank"">NCC Ltd Technical Momentum Shifts Amid Mixed Market Signals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-24 03:32:04,Markets Mojo,https://news.google.com/rss/articles/CBMiuAFBVV95cUxON0o5WGVsZEMxekttUVdqb01Hc0JqYVdRMEVoRXEwbThSSGdiQm51SHZtWDJUVkRob09aTGdZcXpQNFNkQzh4NWU3SlcwR0tycUtFSm1WVXRwUUFtdU1Vb2hWNTFVcjlQdVRVdmUzd1hsYUNoU2Z2ZXNoczlwXzVvaTJWTHpOOWRlTUJZQzZxQmQyY0R5VHZOeHd5V3NXS1NUVG9JMzRlb2tsdHoxbS1udFByWm5hMnBB?oc=5
NCC,NCC Limited,"Bajaj Finserv, NCC and 3 Other Stocks Where Promoters Bought Stakes This Week - Trade Brains","<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxOcXFfaFE2NnBRNjd6QXJydVZVUUR1WWFteWZ2aTVSV1AxSUwwNGw0aFgxaXNCQ1ByczI1MjFvcU5INVBTb05mU1B1VmNxYm52Z19ZRmtpWnozVzNaV1hOYVlsbS1YRmdEWWhCYXg1Q0ZiYmJaQzJkYWl4N3ZmNmMzNy1adWZwR3EzdDVzMEhQUnFhWVBCRldzQmhWc0lLVG8wekE?oc=5"" target=""_blank"">Bajaj Finserv, NCC and 3 Other Stocks Where Promoters Bought Stakes This Week</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Trade Brains</font>",2026-02-27 08:18:00,Trade Brains,https://news.google.com/rss/articles/CBMiogFBVV95cUxOcXFfaFE2NnBRNjd6QXJydVZVUUR1WWFteWZ2aTVSV1AxSUwwNGw0aFgxaXNCQ1ByczI1MjFvcU5INVBTb05mU1B1VmNxYm52Z19ZRmtpWnozVzNaV1hOYVlsbS1YRmdEWWhCYXg1Q0ZiYmJaQzJkYWl4N3ZmNmMzNy1adWZwR3EzdDVzMEhQUnFhWVBCRldzQmhWc0lLVG8wekE?oc=5
NCC,NCC Limited,It's Unlikely That NCC Limited's (NSE:NCC) CEO Will See A Huge Pay Rise This Year - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxPUG1GZkdNZks5dVZxemlWenVER2pjZTRDb0ppNU5jZHowbm5PTGtLZmhfeWQ3UWw1cTBmVkRDSFFweGxpd1YweFdPbTloX0FUWVZyMDR2UkdNM0VnRXI0dEdyZlRiU2ZmRFRtblBkZ0RlaHhMcHJhdjlTSWlKcWxNTC1mTGVJZUZmN0JyekhOcmQ5X2NsbXRLNGF0X1BKX0RCRU5OblRRVmlSb3p3TUxUbDVsdTdlcFpBWkpTZ21Fa2d4RUZCdnQyZHZB0gHPAUFVX3lxTFBGdmFjV0hHVkJxRWlkLWk0clM3LTg0cjF5d1VTQXhrdXZLTWhtS0tnbW5oRWFZZ0QwWERIaFR3MWdOUFhxVXl4LWlJSTY4WXBuaTM3WGs2STRjQUZTX25vdHFET1kzTl93YmRzRkp0Y2lFVWJraEQ3czVmaHhudVJNa1JuTTJ4OF9QMXo1aWVuQUdxaWJ6eGtFZmtES3RqdmhsRjlJcmdsdkZycTJLNDdqVnZlWXhhWWFrMnpxcjhqTVhJb280MUg1WlZ1VENyMA?oc=5"" target=""_blank"">It's Unlikely That NCC Limited's (NSE:NCC) CEO Will See A Huge Pay Rise This Year</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-08-23 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMiygFBVV95cUxPUG1GZkdNZks5dVZxemlWenVER2pjZTRDb0ppNU5jZHowbm5PTGtLZmhfeWQ3UWw1cTBmVkRDSFFweGxpd1YweFdPbTloX0FUWVZyMDR2UkdNM0VnRXI0dEdyZlRiU2ZmRFRtblBkZ0RlaHhMcHJhdjlTSWlKcWxNTC1mTGVJZUZmN0JyekhOcmQ5X2NsbXRLNGF0X1BKX0RCRU5OblRRVmlSb3p3TUxUbDVsdTdlcFpBWkpTZ21Fa2d4RUZCdnQyZHZB0gHPAUFVX3lxTFBGdmFjV0hHVkJxRWlkLWk0clM3LTg0cjF5d1VTQXhrdXZLTWhtS0tnbW5oRWFZZ0QwWERIaFR3MWdOUFhxVXl4LWlJSTY4WXBuaTM3WGs2STRjQUZTX25vdHFET1kzTl93YmRzRkp0Y2lFVWJraEQ3czVmaHhudVJNa1JuTTJ4OF9QMXo1aWVuQUdxaWJ6eGtFZmtES3RqdmhsRjlJcmdsdkZycTJLNDdqVnZlWXhhWWFrMnpxcjhqTVhJb280MUg1WlZ1VENyMA?oc=5
NCC,NCC Limited,NCC Ltd is Rated Sell by MarketsMOJO - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxOZTdvYjJzVmd0YXRJeWRzNmZDSzZUQWFtejN1WjhObFM3Sk95WnZrTzd2ZnVIYnI4dWYyU3lQQnVlczdvWjJ1LVhHdEhlZFM4Q2NKeVN5QnE1aDU1WnZyY0tscUdmNERTMlQ4WmZXV3JObzA0LVRaMmoxRmtlTjYwV1lRaVFEcTl4LWZaaHVScm5UY3Mza2pNUGFWb1p6a1E?oc=5"" target=""_blank"">NCC Ltd is Rated Sell by MarketsMOJO</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-11 05:14:28,Markets Mojo,https://news.google.com/rss/articles/CBMinwFBVV95cUxOZTdvYjJzVmd0YXRJeWRzNmZDSzZUQWFtejN1WjhObFM3Sk95WnZrTzd2ZnVIYnI4dWYyU3lQQnVlczdvWjJ1LVhHdEhlZFM4Q2NKeVN5QnE1aDU1WnZyY0tscUdmNERTMlQ4WmZXV3JObzA0LVRaMmoxRmtlTjYwV1lRaVFEcTl4LWZaaHVScm5UY3Mza2pNUGFWb1p6a1E?oc=5
NCC,NCC Limited,Insiders were the key beneficiaries as NCC Limited's (NSE:NCC) market cap rises to ₹136b - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxNclBtVmpkY282MEN0RUJ4WVY3QUtTbm5PNEg3WnpyV3hjNGVxbkx5S2xydVpLOUhOU0p1ckNLenMycjBXblVWWWVGMGtFNklNMFFMbGhQTkpJczlLaEdYRnd5QXFzR3h5bTAtOW5jX2RsSzBvWmEyY05LM09rdkZMYVZYQ1VkczZDWTVuODJNcnFQTWktMFlnOU9ZRGV0RmEzVUN1a1p5bHlYVlAzZDQ0bURjcEJsdU16QW5MRURFNDFhMTd5dVk5aVlB?oc=5"" target=""_blank"">Insiders were the key beneficiaries as NCC Limited's (NSE:NCC) market cap rises to ₹136b</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-09-17 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMiygFBVV95cUxNclBtVmpkY282MEN0RUJ4WVY3QUtTbm5PNEg3WnpyV3hjNGVxbkx5S2xydVpLOUhOU0p1ckNLenMycjBXblVWWWVGMGtFNklNMFFMbGhQTkpJczlLaEdYRnd5QXFzR3h5bTAtOW5jX2RsSzBvWmEyY05LM09rdkZMYVZYQ1VkczZDWTVuODJNcnFQTWktMFlnOU9ZRGV0RmEzVUN1a1p5bHlYVlAzZDQ0bURjcEJsdU16QW5MRURFNDFhMTd5dVk5aVlB?oc=5
NCC,NCC Limited,NCC Secures Additional Orders From Central Coalfield - Equitypandit,"<a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxPaTlzT0p5eVVRWEpvcHRhQ1FYeFRLazBOUVhFRnhMbTAtSTZPS0thay1lOWJzbVkwc1BLbXdfREFHRGpTSWkyLVNtcktqa0F1VVZGaEJZNkJqRDcxNGllNXZFNk1WY0d2V2U4dHJkSng0TEtxTVBaUjNtMFFqczJSakxIaUpVZWlOWkE?oc=5"" target=""_blank"">NCC Secures Additional Orders From Central Coalfield</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Equitypandit</font>",2025-11-04 08:00:00,Equitypandit,https://news.google.com/rss/articles/CBMiigFBVV95cUxPaTlzT0p5eVVRWEpvcHRhQ1FYeFRLazBOUVhFRnhMbTAtSTZPS0thay1lOWJzbVkwc1BLbXdfREFHRGpTSWkyLVNtcktqa0F1VVZGaEJZNkJqRDcxNGllNXZFNk1WY0d2V2U4dHJkSng0TEtxTVBaUjNtMFFqczJSakxIaUpVZWlOWkE?oc=5
